scientific_notation,unit_dimension,name,description,comment,prefixed_id
none,none,unitless,no unit,unit of unambiguous dimensionless quantities,90172266-7953-4d77-ad32-62bd2e26c530
kg,mass,kilogram,,,41a83d57-eea2-457a-97f2-47a14e0abbb8
tonnes,mass,metric tonne,,also known as t,45954e1e-1a2a-4861-a1b1-b6343160db5e
Mt,mass,megatonne,,,de9917b6-6aa0-4d27-85cd-e069e93eb64f
EUR,currency,euro,,in current prices in a given year,77dbf086-79c8-41a0-8319-e656acc8fe10
Meur,currency,million euro,,in current prices in a given year,3230c0ba-189c-46cf-bfef-e15003325880
EUR/kg,price,euro per kg,currency per mass,same as MEUR/t,b4a77a4e-7bc9-4272-b696-7c95513f433f
kg/EUR,intensity,kg per euro,mass per currency,same as t/MEUR,9fcb6371-e550-4a8e-a510-d2589986cf51
kg/kg,ratio,kg per kg,relative size of two quantities of different types measured in the same unit,If the flowobjects in the numerator and denominator are different. Otherwise it would be unitless!,e8fb2497-ac14-40be-ac06-1ea085b41c80
yr,time,year,,,7fb67acc-dc91-4762-8038-b909ed7c4df7
kg/yr,rate,kilogram per year,change in one quantity with respect to another quantity,,0af743d6-89c3-4916-abf7-7eeb5ea0bc31
items,none,number of items,act as a unit because they give context to the number,unit of dimensionless quantities,674030c2-20eb-4586-8c7e-50bb8510a98a
TJ,energy,terrajoule,,,b6768eaf-cf6f-4495-8f70-967b80d91b7f
1000_persons,none,1000 persons,act as a unit because they give context to the number,unit of dimensionless quantities,47360ac1-35f9-409d-aa7a-47714631cb4d
million_hours,time,1 million hours,,,deade42e-9062-4997-ab1d-5fc59a7cf59d
ha-weighted,area,hectar weighted,,,92dec5f5-09ea-465d-bba7-f44355adf313
