code,name,description,comment,prefixed_id
lognormal,lognormal distribution,,http://en.wikipedia.org/wiki/Log-normal_distribution,c07f978a-5442-440b-9cc7-1675b4e66e3f
normal,normal distribution,,https://en.wikipedia.org/wiki/Normal_distribution,141fa209-4a88-4d33-8e6c-c21be6f2baa3
uniform,uniform distribution,,https://en.wikipedia.org/wiki/Continuous_uniform_distribution,f5b4c067-762c-40a3-a59b-da063128ac6c
triangular,triangular distribution,,https://en.wikipedia.org/wiki/Triangular_distribution,49fa873b-54d8-4e10-8db3-4f2a2cda645a
beta,beta distribution,,https://en.wikipedia.org/wiki/Beta_distribution,f10f2bfc-f184-49fd-9cff-d8162f1c0dd1
truncnormal,truncated normal distribution,,https://en.wikipedia.org/wiki/Truncated_normal_distribution,d9d8e977-5323-48fc-8545-a3cf3bf3ff4c
