"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"Skulls,Queen,Checkers,Abs,Stripes,PN532,LCD";"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical";7;"Conn_01x04_Pin";;;
2;"OrangePi Header";"PinHeader_2x13_P2.54mm_Vertical";1;"Conn_02x13_Odd_Even";;;
