activitytype_from,flowobject_from,activitytype_to,flowobject_to,classification_from,classification_to,accounttype,comment,skos_uri,prefixed_id
ai_051_1,fi_11010_1,01,0110,bonsai,undata_energy_stats,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch,81795ad6-ad6c-4938-8f71-5a481f579488
ai_051_2,fi_11010_3,01,0121,bonsai,undata_energy_stats,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch,93cdc53d-2a13-4b70-b195-e0a81c8c3da4
ai_051_3,fi_11010_2,01,0129,bonsai,undata_energy_stats,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch,2f5a0e58-43b2-4326-8825-0664805206a6
ai_052_2,fi_11030_2,01,0210,bonsai,undata_energy_stats,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch,bc966cb5-b6a0-4805-b805-512021e5cef0
ai_052_1,fi_11030_1,01,0220,bonsai,undata_energy_stats,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch,5fb7279c-3a96-4ac0-96d7-e28bceeef767
ai_1910,fi_33100,01,0311,bonsai,undata_energy_stats,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch,ac8af852-5fd4-45d7-8869-1884e5cead00
ai_1910_3,fi_33429_2,01,0312,bonsai,undata_energy_stats,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch,187a2754-2c91-42b5-a114-44813858504e
ai_051_4,fi_11020,01,0320,bonsai,undata_energy_stats,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch,49b695ee-7c0c-471e-8884-57d3c8462f3d
ai_1910_3,fi_33429_1,01,0350,bonsai,undata_energy_stats,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch,33a2158d-f0b2-459b-8bb2-87e1ef7ed760
ai_3520_2,fi_17200_3,01,0360,bonsai,undata_energy_stats,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch,fc2d8fbb-3b34-49ef-b16e-c7b665f8b568
ai_2410_1,fi_17200_1,01,0371,bonsai,undata_energy_stats,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch,2b8af94b-f029-4d42-b278-1c0c3198b762
ai_2410_2,fi_17200_2,01,0379,bonsai,undata_energy_stats,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch,e9c8f514-f98b-4a16-bc4d-620e85ef282e
ai_0892,fi_11050,01,1100,bonsai,undata_energy_stats,supply,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,a93062f1-a54e-4aca-aec2-127fc2d05ddd
ai_0892,fi_11050,01,1200,bonsai,undata_energy_stats,supply,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,89fb8552-42b1-4ad9-8ad2-a743a97c84ce
ai_0610_1,fi_12010,01,2000,bonsai,undata_energy_stats,supply,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,2e9fd1ed-8201-48f2-84d8-3453cc55fa69
ai_1920_6,fi_12020_1,01,3000,bonsai,undata_energy_stats,supply,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,29faff30-bd48-4306-a632-196e26da9c23
ai_0610_1,fi_12010,01,4100,bonsai,undata_energy_stats,supply,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,a5ac6f17-bef2-42a2-a01a-0c738679e4ac
ai_1920_6,fi_12020_1,01,4200,bonsai,undata_energy_stats,supply,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,f1fa77ef-9193-4551-a08f-0fa32aa23194
ai_1920_14,fi_33370_1,01,4300,bonsai,undata_energy_stats,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch,f348efbc-d861-429e-b78f-fbe5fc01f4b2
ai_2029_01,fi_35430,01,4400,bonsai,undata_energy_stats,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch,66870773-24bb-4eba-9a70-db6096ea10ad
ai_2011_1,fi_17200_5,01,4500,bonsai,undata_energy_stats,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch,880d12ca-ce3d-441b-9fbe-26f76f1151e1
ai_1920_16,fi_33429_4,01,4610,bonsai,undata_energy_stats,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch,d91cf410-aee3-45bd-b999-5e7917e73e8b
ai_1920_17,fi_33429_5,01,4620,bonsai,undata_energy_stats,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch,7db95d4a-eba4-4a2f-81b6-6a80e029627c
ai_1920_4,fi_33429_3,01,4630,bonsai,undata_energy_stats,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch,c147af64-d1d7-42fc-ad1e-11047c253f56
ai_1920_12,fi_33330,01,4640,bonsai,undata_energy_stats,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch,9bad83c7-db60-4d0f-ba90-3371e4e40de5
ai_1920_11,fi_3331_2,01,4651,bonsai,undata_energy_stats,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch,db0686d4-f668-47c9-b93a-fc55d430276e
ai_1920_10,fi_3331_1,01,4652,bonsai,undata_energy_stats,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch,679ed4b1-274e-49d8-b644-eee5c5d23007
ai_1920_8,fi_33320,01,4653,bonsai,undata_energy_stats,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch,4fd2c899-d028-4867-bbbd-a57ac3c2ffa0
ai_1920_9,fi_3334_1,01,4661,bonsai,undata_energy_stats,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch,ac811c8a-c13c-4cee-adad-c40aae519791
ai_1920_12,fi_3334_2,01,4669,bonsai,undata_energy_stats,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch,2fbc5526-3595-415c-b206-02472d4c48f3
ai_1920_14,fi_33360,01,4670,bonsai,undata_energy_stats,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch,e7224a85-f4b8-4a0b-a293-3ab8436e762e
ai_1920_15,fi_33370_2,01,4680,bonsai,undata_energy_stats,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch,4db1825f-f450-4542-b95c-e2a39f70027e
ai_1920_13,fi_33350,01,4691,bonsai,undata_energy_stats,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch,f8ab54ce-0dea-4702-94a8-65379e0ea7d6
ai_1920_5,fi_33380,01,4692,bonsai,undata_energy_stats,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch,2c13a994-7051-477e-8fa6-937f17fa5084
ai_1920_19,fi_33500_3,01,4693,bonsai,undata_energy_stats,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch,4e50d5f7-ba2c-48c3-9901-6c8aa2770f7e
ai_1920_19,fi_33500_2,01,4694,bonsai,undata_energy_stats,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch,d4b623cd-f3c1-44e1-a530-43cf93a4ee56
ai_1920_18,fi_33500_1,01,4695,bonsai,undata_energy_stats,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch,82cd767d-976e-4b1b-a9d4-83b1a9364b23
ai_0220_1,fi_0313,01,5110,bonsai,undata_energy_stats,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch,1868db3b-72d6-4e66-801e-fd7b48f89eef
ai_1072,fi_3914,01,5120,bonsai,undata_energy_stats,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch,c30c51d5-8338-4f07-adcd-5391e87c6e4c
ai_0220_2,fi_34510,01,5160,bonsai,undata_energy_stats,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch,b3499e00-302f-4a3c-9aed-db034c5b9330
ai_1920_2,fi_3331_3,01,5210,bonsai,undata_energy_stats,supply,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,f50e2f9f-970c-46b9-9be1-382d22e1b95d
ai_1920_2,fi_3331_3,01,5212,bonsai,undata_energy_stats,supply,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,ee7cb648-d8f3-4fb1-be1f-abff6dca1ab6
ai_1920_1,fi_35491,01,5220,bonsai,undata_energy_stats,supply,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,4a7f0af7-df74-41ea-aef1-ffb94d59575c
ai_1920_1,fi_35491,01,5222,bonsai,undata_energy_stats,supply,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,c5156eeb-95da-4cc7-99cb-bb45652e9404
ai_1920_1,fi_35491,01,5230,bonsai,undata_energy_stats,supply,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,604bb675-9645-42f9-bae0-49f60fe9e269
ai_1920_1,fi_35491,01,5232,bonsai,undata_energy_stats,supply,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,c1ffb241-3f38-4b68-bece-cd0d8442bf1b
ai_1920_7,fi_35491_1,01,5290,bonsai,undata_energy_stats,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch,7eec17ff-684f-427a-8e75-4977e3f4983d
