activitytype_from,flowobject_from,activitytype_to,flowobject_to,classification_from,classification_to,comment,skos_uri,prefixed_id
A_ANTH,C_ANTH,INDPROD,ANTCOAL,bonsai,iea_energy_balance,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch,0a041e88-3bb4-4a49-97aa-533320d3c346
A_COKC,C_COKC,INDPROD,COKCOAL,bonsai,iea_energy_balance,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch,a7a4d313-a341-4f6c-801a-875e19965cfb
A_OTBC,C_OTBC,INDPROD,BITCOAL,bonsai,iea_energy_balance,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch,ed80a983-067c-4957-9b21-99b151169722
A_SUBC,C_SUBC,INDPROD,SUBCOAL,bonsai,iea_energy_balance,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch,f778d7fa-ab1a-4b5c-8b04-4f1c99b7a881
A_LIBC,C_LIBC,INDPROD,LIGNITE,bonsai,iea_energy_balance,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch,c5f94991-f4e0-4523-b792-8bef04df8485
A_PATF,C_PATF,INDPROD,PATFUEL,bonsai,iea_energy_balance,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch,b6b57245-4272-4f19-99a6-ff58c848e445
A_COKE,C_COKE,INDPROD,OVENCOKE,bonsai,iea_energy_balance,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,71eb62da-f561-41e0-b980-a2f44fa0f7af
A_GCOK,C_GCOK,INDPROD,GASCOKE,bonsai,iea_energy_balance,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch,deec3c25-a0ba-4fb6-9b4d-cedec2a6e567
A_COTA,C_COTA,INDPROD,COALTAR,bonsai,iea_energy_balance,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch,e26ea978-4815-411d-9769-96cce57e45b0
A_BKBP,C_BKBP,INDPROD,BKB,bonsai,iea_energy_balance,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,1260d6bb-67b6-48a4-8f4d-f85414faa44d
A_MGWG,C_MGWG,INDPROD,GASWKSGS,bonsai,iea_energy_balance,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,0bc86f02-65b5-47be-bc8f-432d06d1cba1
A_COOG,C_COOG,INDPROD,COKEOVGS,bonsai,iea_energy_balance,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch,3bf47a6e-952c-4325-8489-095979bca56c
A_MBFG,C_MBFG,INDPROD,BLFURGS,bonsai,iea_energy_balance,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch,02b6dc17-5133-4492-852c-2ef5e7a0f140
A_MOSG,C_MOSG,INDPROD,OGASES,bonsai,iea_energy_balance,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch,5165f867-7f46-4bca-80f9-017091260055
A_PEAT,C_PEAT,INDPROD,PEAT,bonsai,iea_energy_balance,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch,9706cba9-806b-4c36-a1ee-dce570c3c0fa
A_BKBP,C_BKBP,INDPROD,PEATPROD,bonsai,iea_energy_balance,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,9dc6d16b-1ae4-4857-99a4-96b6e5342144
A_COIL,C_COIL,INDPROD,OILSHALE,bonsai,iea_energy_balance,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,68730ff5-73f3-4448-8901-f4021113ee52
A_GASE,C_GASE,INDPROD,NATGAS,bonsai,iea_energy_balance,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch,adf370c1-60ff-4b8e-8fb5-67fd5781035e
A_COIL,C_COIL,INDPROD,CRUDEOIL,bonsai,iea_energy_balance,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,f115bff3-9bc4-48a0-8ff4-af0bd9569092
A_GASL,C_GASL,INDPROD,NGL,bonsai,iea_energy_balance,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch,2f0f3518-52e8-410a-bf32-63741de16e94
A_REFF,C_REFF,INDPROD,REFFEEDS,bonsai,iea_energy_balance,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch,e28593db-1316-41fb-8e32-393196b6ba65
A_ADDC,C_ADDC,INDPROD,ADDITIVE,bonsai,iea_energy_balance,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch,f0e895cf-27b5-4619-94fd-3f7129b702f7
A_OGPL,C_OGPL,INDPROD,NONCRUDE,bonsai,iea_energy_balance,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,5e57d9cb-e4be-4481-9305-8dff8d4313e3
A_RGAS,C_RGAS,INDPROD,REFINGAS,bonsai,iea_energy_balance,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch,855ccd14-51f8-4bbc-9ad1-08a442be11c8
A_ETHA,C_ETHA,INDPROD,ETHANE,bonsai,iea_energy_balance,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch,df5a62e0-4fa4-42e3-89cb-b63b059478a4
A_LPGA,C_LPGA,INDPROD,LPG,bonsai,iea_energy_balance,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch,1d17d478-e574-43b2-b2b5-07227d993cd8
A_MGSL,C_MGSL,INDPROD,NONBIOGASO,bonsai,iea_energy_balance,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch,21bd92b4-6a50-477f-b467-3e47766ebef2
A_AGSL,C_AGSL,INDPROD,AVGAS,bonsai,iea_energy_balance,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch,19e924e8-c7c8-435c-b0ef-76d0d17c7994
A_GJET,C_GJET,INDPROD,JETGAS,bonsai,iea_energy_balance,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch,e0a6b32c-c124-47be-ad6f-446c8a7af930
