activitytype_from,activitytype_to,comment,prefixed_id,skos_uri,classification_from,classification_to
A_Bambs,1111B0,many-to-one correspondence,a102fa17-9e98-43e3-8899-7a1120221f23,http://www.w3.org/2004/02/skos/core#broadMatch,bonsai,bea
A_Barly,1111B0,many-to-one correspondence,1b1b72d0-5737-4147-ba78-6ba28b2919ed,http://www.w3.org/2004/02/skos/core#broadMatch,bonsai,bea
A_Beann,1111B0,many-to-one correspondence,6b9f0613-842a-4111-ad61-95c63509cad1,http://www.w3.org/2004/02/skos/core#broadMatch,bonsai,bea
A_Ceres,1111B0,many-to-one correspondence,5f35d84c-e0e6-4b45-9121-0d9da13fd49b,http://www.w3.org/2004/02/skos/core#broadMatch,bonsai,bea
A_Buckt,1111B0,many-to-one correspondence,76ca9c93-3a28-4a00-be66-0bf27168b866,http://www.w3.org/2004/02/skos/core#broadMatch,bonsai,bea
A_Wheat,1111B0,many-to-one correspondence,2d4073bc-1e61-4058-b203-b59fc36edc6b,http://www.w3.org/2004/02/skos/core#broadMatch,bonsai,bea
A_Soybs,1111A0,many-to-one correspondence,107b074f-7319-487c-bb3c-8016aba23ddc,http://www.w3.org/2004/02/skos/core#broadMatch,bonsai,bea
A_Ryee,1111B0,many-to-one correspondence,95a8dce5-3a26-4e33-80db-a04b77445e6d,http://www.w3.org/2004/02/skos/core#broadMatch,bonsai,bea
A_Saffd,1111A0,many-to-one correspondence,ce87e83d-83f5-4ea0-8b2f-e31625b6f186,http://www.w3.org/2004/02/skos/core#broadMatch,bonsai,bea
A_Sesad,1111A0,many-to-one correspondence,7dcc8672-dc6d-4933-8640-721656ce69a1,http://www.w3.org/2004/02/skos/core#broadMatch,bonsai,bea
A_Sorgm,1111B0,many-to-one correspondence,2e6261de-8a6f-4d2c-a840-a4dcb1b067d3,http://www.w3.org/2004/02/skos/core#broadMatch,bonsai,bea
A_Germe,1111B0,many-to-many correspondence,75eb12db-f3d3-4496-ab5a-6818958d1772,http://www.w3.org/2004/02/skos/core#relatedMatch,bonsai,bea
A_Germe,111400,many-to-many correspondence,5f361584-710b-45f5-bc5b-4774eed7e857,http://www.w3.org/2004/02/skos/core#relatedMatch,bonsai,bea
A_Germt,1111B0,many-to-one correspondence,5514130e-50c9-42b0-a91e-8b8e633dfc87,http://www.w3.org/2004/02/skos/core#broadMatch,bonsai,bea
A_Castd,1111B0,many-to-one correspondence,b7d21651-1f97-4427-8a8e-ac04b48b94d6,http://www.w3.org/2004/02/skos/core#broadMatch,bonsai,bea
A_Linsd,1111A0,many-to-one correspondence,9f8c3597-46cf-4cdb-bead-c3608814735c,http://www.w3.org/2004/02/skos/core#broadMatch,bonsai,bea
A_Lupis,1111B0,many-to-one correspondence,62f8a00d-e990-44ee-8220-ed74c10a9551,http://www.w3.org/2004/02/skos/core#broadMatch,bonsai,bea
A_Maize,1111B0,many-to-one correspondence,86733d6e-6444-43de-9ab8-263d84a269f5,http://www.w3.org/2004/02/skos/core#broadMatch,bonsai,bea
A_Maizn,1111B0,many-to-one correspondence,a4b7bba6-8390-43ec-a5ec-19f2cf3cf74e,http://www.w3.org/2004/02/skos/core#broadMatch,bonsai,bea
A_Oilss,1111A0,many-to-one correspondence,c5923e4a-000f-4e50-9519-be572100ba20,http://www.w3.org/2004/02/skos/core#broadMatch,bonsai,bea
A_Groul,111900,many-to-one correspondence,d7285940-c44b-43f2-b3be-8540879dae2c,http://www.w3.org/2004/02/skos/core#broadMatch,bonsai,bea
A_Raped,1111A0,many-to-one correspondence,7d23bc6b-489c-4a6d-b44a-8fb1ca795e60,http://www.w3.org/2004/02/skos/core#broadMatch,bonsai,bea
A_Mustd,1111A0,many-to-one correspondence,b6b270b4-3363-4abd-93a1-37e5ee9697da,http://www.w3.org/2004/02/skos/core#broadMatch,bonsai,bea
A_Vegleg_nes,111200,many-to-many correspondence,0541647e-1820-458b-9eae-e5aa2f9d6b4a,http://www.w3.org/2004/02/skos/core#relatedMatch,bonsai,bea
A_Vegleg_nes,111400,many-to-many correspondence,8bf6a4b5-419f-427b-a2a2-f2d7bb26932c,http://www.w3.org/2004/02/skos/core#relatedMatch,bonsai,bea
A_Millt,1111B0,many-to-one correspondence,0c000661-970b-4304-8823-4ddcad98a399,http://www.w3.org/2004/02/skos/core#broadMatch,bonsai,bea
A_Fonio,111400,many-to-one correspondence,d6b1d68a-534c-4b73-802f-9162434b49f7,http://www.w3.org/2004/02/skos/core#broadMatch,bonsai,bea
A_Oatss,1111B0,many-to-one correspondence,0680526b-afb5-46d9-9300-d79cde80bd27,http://www.w3.org/2004/02/skos/core#broadMatch,bonsai,bea
A_Okraa,111200,many-to-many correspondence,a314e931-acfa-406d-879d-e05b56706f04,http://www.w3.org/2004/02/skos/core#relatedMatch,bonsai,bea
