level,code,name,parent_code,prefixed_id
0,TOTAL,Total,,bce0780e-a9df-457e-becd-921a606fb10d
1,01,Agricultural and hunting products and services,TOTAL,379b9464-40b1-4399-8640-b94454069fa1
1,02,"Products of forestry, logging and related services",TOTAL,7e7bbc17-533b-48f9-b10d-c68116613197
1,05,Fish and other fishing products; services incidental to fishing,TOTAL,7d5a547f-356c-4c9d-943a-3790d62ab8ce
1,10,Coal and brown coal; peat,TOTAL,ee340483-4cdb-43d2-872e-07bf900c6cde
1,11,"Oil and natural gas; services incidental to oil and gas extraction, excluding surveying",TOTAL,40288bc2-650e-48d0-9382-ddfad3fc25f3
1,12,Uranium and thorium ores,TOTAL,0734cdb0-0069-4137-89e0-ac1d9566547f
1,13,Metal ores,TOTAL,df930943-a905-48ed-a8ec-a3922954a1cd
1,14,Other mining and quarrying products,TOTAL,e7b49528-55b8-4496-98dc-05ba9b40fa49
1,15,Food products and beverages,TOTAL,b9627a71-3c6a-4e7a-8d90-b0196b68b23f
1,16,Tobacco products,TOTAL,69d21ab4-c69d-4608-bdb4-76198ace7b3e
1,17,Textiles,TOTAL,31829bf0-02f3-49e1-bc8b-a73aa615e575
1,18,Wearing apparel; furs,TOTAL,137d1e92-2dba-44d9-8d0a-937d1d765b75
1,19,Leather and leather products,TOTAL,27ecaad3-f139-485d-9ebc-7da348351f85
1,20,"Wood and products of wood and cork, articles of straw and plaiting materials",TOTAL,147e6485-28b8-4e20-9adf-e96c2d27d97b
1,21,"Cellulose, paper, and paperboard",TOTAL,2ef6b0b5-b781-42ce-aa65-9331f2851dd1
1,22,Printed products and media recorded,TOTAL,ca987726-de53-4c84-9163-20ad25cd7e12
1,23,Coke oven products and petroleum products,TOTAL,2038c192-08b8-496d-aad6-4e728af0dace
1,24,"Basic chemicals, chemical products and fibers",TOTAL,2c4765f1-3108-447b-b8c2-08f5b6c4351b
1,25,Rubber and plastic products,TOTAL,8b72c099-e61b-44a6-8edd-b121e412e138
1,26,Other mineral nonmetallic products,TOTAL,ffe56c8c-a1e6-4698-ba1c-0fa72a260c4f
1,27,Metals,TOTAL,0885eec8-3f5d-493f-9ae5-051d4172aa17
1,28,"Fabricated metal products, except machinery and equipment",TOTAL,f6f23e08-cd4a-4bac-bf72-18afbc3ce7b6
1,29,Machinery and equipment n.e.c.,TOTAL,d551f9c4-fb1d-41ba-90dc-38eed548f11e
1,30,Office machinery and computers,TOTAL,fd7ffc09-f6fe-4fd4-b387-a4a2a27c7261
1,31,Electrical machinery and apparatus n.e.c.,TOTAL,4f1edd2b-016c-4228-826a-ccd83a61d88b
1,32,"Radio, television and communication equipment and apparatus",TOTAL,d83f6124-4536-41cc-aa0a-74d219825a11
1,33,"Medical equipment; Instruments and appliances for measuring, checking, testing, navigating and other purposes; optical instruments and photographic equipment; watches and clocks",TOTAL,18a6fd87-e94e-419a-ac1a-ee9971a44558
1,34,"Motor vehicles, trailers and semi-trailers",TOTAL,73afbb8a-a653-4758-83f6-f7afc80f2ea7
1,35,Other transport equipment,TOTAL,75b1de12-04c3-4744-a3e0-dc52539b763f
1,36,Furniture; other manufactured goods n.e.c.,TOTAL,3bb77d12-a767-4fdd-9604-4bfa416856e3
1,37,Secondary raw materials,TOTAL,c4496e71-d8b5-4b18-a308-ee9069ecb2ed
1,40,"Electricity, gas, steam and hot water",TOTAL,460f6f9f-d204-4d93-84ac-32fd03c00a51
1,41,Collected and purified water; distribution services of water,TOTAL,55d0b672-c890-4534-a4bb-64e1a92f6458
1,45,Construction work,TOTAL,72379d48-966f-436a-b91b-4ef057239c7b
1,50,"Trade, maintenance and repair services of motor vehicles and motorcycles",TOTAL,cfc68c67-b842-4b79-8f1a-8fd3e049c3af
1,51,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles",TOTAL,5b4bf5bd-c379-458c-85ac-e35540b521aa
1,52,"Retail trade services, except of motor vehicles and motorcycles; repair services of personal and household goods; retail trade services of motor fuel",TOTAL,6ec85af4-7897-4a7d-9648-b0320bbab9de
1,55,Hotel and restaurant services,TOTAL,3e2e4c5a-23f0-4fc8-bd2b-6e94869a31be
1,60,Land and pipeline transportation services,TOTAL,2cbf21b1-70ac-4cb6-b125-049c0589f3d9
1,61,Water transport services,TOTAL,6b844bae-1c69-4b0d-8c7d-496b15e4a5d9
1,62,Air transport services,TOTAL,ecf6372c-6ded-49f2-9291-20c4a687a0f5
1,63,Supporting and auxiliary transport services; travel agency services,TOTAL,00fd340f-6ffb-4cfd-9306-bad971f1a1fa
1,64,Post and telecommunication services,TOTAL,b79c9335-115e-47df-b21f-367ff7d1d3d1
1,65,"Financial intermediation services, except insurance and pension funding services",TOTAL,f619175a-7c7d-4eaa-b951-b43c319a5bcc
1,66,"Insurance and pension funding services, except compulsory social security services",TOTAL,44eabb56-6d8e-481a-b1ff-187ab0967dbc
1,67,Services auxiliary to financial intermediation,TOTAL,7c1b1d14-3390-460a-9711-694e070e8506
1,70,Real estate services,TOTAL,f3aa8a7b-a94b-4e7b-84dc-d30680a6f5a2
1,71,Renting services of machinery and equipment without operator and of personal and household goods,TOTAL,2dbdd92d-0b14-4964-b96d-f3aa34447ef2
1,72,Computer and related services,TOTAL,87a1df9f-4450-477e-bb73-e0a092b5c5da
1,73,Research and development services,TOTAL,d0e040c2-bbfb-49bf-a262-b8aacbf0839d
1,74,Other business services,TOTAL,e777f8fc-f2ad-4132-9230-be4b42304b8b
1,75,Public administration and defense services; compulsory social security services,TOTAL,bf6612ce-1c92-42c9-a6e4-f4d818195a8e
1,80,Education services,TOTAL,f369fc76-3181-4bb3-951c-b035d3a93445
1,85,Health and social work services,TOTAL,85291bdf-ac20-4a58-a0ae-a2770afeda4c
1,90,"Sewage and refuse disposal services, sanitation and similar services",TOTAL,87b38cea-904e-4100-9b66-42b6a58ff387
1,91,Membership organization services n.e.c.,TOTAL,ebde740d-36b1-45a9-a9db-f8d6a6f93391
1,92,"Recreational, cultural and sporting services",TOTAL,68dede3e-d0cb-49e4-8776-820971f509e1
1,93,Other personal services,TOTAL,85492840-b0f9-4bb6-8a5c-b2582c35c3ff
1,95,Services of households as employers,TOTAL,c93e84fd-d219-4e91-98b5-01889bfdc070
2,01.11,Growing of cereals and other crops n.e.c.,01,8e4ccd11-4102-434f-8157-09665aeda415
2,01.12,"Growing of vegetables, horticultural specialities and nursery products",01,b515853b-77ed-411b-ae1b-109dab6ecb77
2,01.13,"Growing of fruit, nuts, beverage and spice crops",01,8140bdc2-7c8c-4388-b1bc-5f061e29aae8
2,01.21,"Farming of cattle, dairy farming",01,64b7ccf3-e62e-4567-b68f-de47ec8b80ae
2,01.22,"Farming of sheep, goats, horses, asses, mules and hinnies",01,6c210aef-2508-44cc-b65a-c7aa90183687
2,01.23,Farming of swine,01,1e2c1ed4-9534-4660-8678-4319d3458f79
2,01.24,Farming of poultry,01,742421e1-0599-45e5-a919-d19c59c0d4a2
2,01.25,Other farming of animals,01,bdb348d5-c611-42d7-b688-2c2cc1398fe0
2,01.30,Growing of crops combined with farming of animals (mixed farming),01,0fb32914-d94c-4898-80b5-25f4bf98036a
2,01.41,Agricultural service activities; landscape gardening,01,43b6cb71-e253-47c8-bf4a-ffde982aaa5a
2,01.42,"Animal husbandry service activities, except veterinary activities",01,7993c205-4d8c-46c2-89c3-3c42283c3949
2,01.50,"Hunting, trapping and game propagation, including related service activities",01,a6821d50-7cee-4be3-b3da-5645d92f6a9b
2,02.01,Forestry and logging,02,f5f0f224-edf5-4eab-b1a9-fa6bb0fb93f5
2,02.02,Forestry and logging related service activities,02,e2a4e2a0-35fe-48ff-b9c8-197eff1fa33f
2,05.01,Fishing,05,8b0d8986-85cd-4797-b726-32195da1f0db
2,05.02,Fish farming,05,5de12819-5d08-4f52-9105-3ad60dd17de0
2,10.10,Mining and agglomeration of hard coal,10,77d2b1f6-6674-4306-9837-edc18f903733
2,10.20,Mining and agglomeration of lignite,10,821bdd21-7049-44bb-8eeb-054ba52c0d68
2,10.30,Extraction and agglomeration of peat,10,3a8b19fe-97e4-47b8-9952-9e2e33d9379c
2,11.10,Extraction of crude petroleum and natural gas,11,47cabf02-43ef-458d-9893-a0d49b30eace
2,11.20,"Service activities incidental to oil and gas extraction, excluding surveying",11,835b5bf7-e180-42e3-b4d8-3c85aaf0ff98
2,12.00,Mining of uranium and thorium ores,12,579b4cb3-8c3e-4354-98f3-f4bebcd709f3
2,13.10,Mining of iron ores,13,74cce9c8-ddab-4f7a-bbb2-732e77e57f6c
2,13.20,"Mining of non-ferrous metal ores, except uranium and thorium ores",13,157fd20b-40b5-496a-b47b-6c0177df4357
