unit,reference_unit,conversion_factor,prefixed_id
t,kg,1000.0,47ba0321-5eeb-4197-b712-8e7cb1de42cc
Mt,kg,1000000.0,30471fa0-4e7e-411e-9810-a1b10b572417
MEUR,EUR,1000.0,d1feb6a4-3a8b-41c2-ab78-36899d5b1758
