location_from,location_to,classification_from,classification_to,comment,prefixed_id,skos_uri
004,AF,baci,iso_3166_1,one-to-one correspondence,391f947e-0a2c-4d4b-b05c-c7b1d322a3ce,http://www.w3.org/2004/02/skos/core#exactMatch
008,AL,baci,iso_3166_1,one-to-one correspondence,226e840a-4bb0-46f8-b391-c003b56411ae,http://www.w3.org/2004/02/skos/core#exactMatch
012,DZ,baci,iso_3166_1,one-to-one correspondence,45ef3546-84ae-43d8-ba06-4cca1f90873b,http://www.w3.org/2004/02/skos/core#exactMatch
016,AS,baci,iso_3166_1,one-to-one correspondence,7974918c-a27a-47d7-917a-f734f41aeae3,http://www.w3.org/2004/02/skos/core#exactMatch
020,AD,baci,iso_3166_1,one-to-one correspondence,bce8ecae-6e86-4131-9dbd-0a31d549a324,http://www.w3.org/2004/02/skos/core#exactMatch
024,AO,baci,iso_3166_1,one-to-one correspondence,6335e9b3-9869-4b31-b94c-042cdf7f7c8d,http://www.w3.org/2004/02/skos/core#exactMatch
028,AG,baci,iso_3166_1,one-to-one correspondence,152b9d70-58dd-4035-896e-3d948268d7dc,http://www.w3.org/2004/02/skos/core#exactMatch
031,AZ,baci,iso_3166_1,one-to-one correspondence,8e694835-533c-41fa-9208-5ef8367c422d,http://www.w3.org/2004/02/skos/core#exactMatch
032,AR,baci,iso_3166_1,one-to-one correspondence,d8415b20-6559-4337-b0c6-a73f18411652,http://www.w3.org/2004/02/skos/core#exactMatch
036,AU,baci,iso_3166_1,one-to-one correspondence,0df99ef7-8925-4a9c-bd20-955a2e1d0f5b,http://www.w3.org/2004/02/skos/core#exactMatch
040,AT,baci,iso_3166_1,one-to-one correspondence,df821979-bed4-4820-9740-035543734771,http://www.w3.org/2004/02/skos/core#exactMatch
044,BS,baci,iso_3166_1,one-to-one correspondence,9a8fcc65-076f-4f14-8406-f30a3cda51c1,http://www.w3.org/2004/02/skos/core#exactMatch
048,BH,baci,iso_3166_1,one-to-one correspondence,b046b00a-6228-470a-8471-90e4a03913fb,http://www.w3.org/2004/02/skos/core#exactMatch
050,BD,baci,iso_3166_1,one-to-one correspondence,55a31cd4-4265-4253-99f2-733f6054ce0c,http://www.w3.org/2004/02/skos/core#exactMatch
051,AM,baci,iso_3166_1,one-to-one correspondence,a14d8380-6362-4419-b11d-ee70120b80bd,http://www.w3.org/2004/02/skos/core#exactMatch
052,BB,baci,iso_3166_1,one-to-one correspondence,2959a388-7105-4353-b1aa-17bfb0a59573,http://www.w3.org/2004/02/skos/core#exactMatch
