location_from,location_to,classification_from,classification_to,comment,prefixed_id,skos_uri
001,FR,prodcom,iso_3166_1,one-to-one correspondence,dc8cd1a9-5c87-48f0-92ed-5cd30d4db677,http://www.w3.org/2004/02/skos/core#exactMatch
003,NL,prodcom,iso_3166_1,one-to-one correspondence,cd8ed245-4606-409e-9a90-aa07c839bd0f,http://www.w3.org/2004/02/skos/core#exactMatch
004,DE,prodcom,iso_3166_1,one-to-one correspondence,ae44e96f-e29f-4170-8cb1-7aa95c3489c3,http://www.w3.org/2004/02/skos/core#exactMatch
005,IT,prodcom,iso_3166_1,one-to-one correspondence,9752b20d-7e64-4ab6-8469-dd3ff2cf8da8,http://www.w3.org/2004/02/skos/core#exactMatch
006,GB,prodcom,iso_3166_1,one-to-one correspondence,8ba432e4-376b-46ca-9713-c478fa56aa07,http://www.w3.org/2004/02/skos/core#exactMatch
007,IE,prodcom,iso_3166_1,one-to-one correspondence,f35aa705-8718-4687-86c6-1b5146c5d97f,http://www.w3.org/2004/02/skos/core#exactMatch
008,DK,prodcom,iso_3166_1,one-to-one correspondence,61bf170a-2934-4f32-930c-334609c2f4f5,http://www.w3.org/2004/02/skos/core#exactMatch
009,GR,prodcom,iso_3166_1,one-to-one correspondence,7df97148-8522-4340-a3a4-a7d8f8705707,http://www.w3.org/2004/02/skos/core#exactMatch
010,PT,prodcom,iso_3166_1,one-to-one correspondence,9252a290-44e7-4d7b-bbb6-375e137d73fe,http://www.w3.org/2004/02/skos/core#exactMatch
011,ES,prodcom,iso_3166_1,one-to-one correspondence,25644bd5-751a-4b76-a36f-6cf233340547,http://www.w3.org/2004/02/skos/core#exactMatch
017,BE,prodcom,iso_3166_1,one-to-one correspondence,ed1c078e-7784-4f7e-8e14-9f12e44a8083,http://www.w3.org/2004/02/skos/core#exactMatch
018,LU,prodcom,iso_3166_1,one-to-one correspondence,dccffccc-68df-4078-bd94-07a05cb67585,http://www.w3.org/2004/02/skos/core#exactMatch
028,NO,prodcom,iso_3166_1,one-to-one correspondence,624fa56b-1d62-4ada-a9c1-8074cd5c1736,http://www.w3.org/2004/02/skos/core#exactMatch
030,SE,prodcom,iso_3166_1,one-to-one correspondence,0d94f32f-fcb7-47fc-b1fe-b64f76c2c2bc,http://www.w3.org/2004/02/skos/core#exactMatch
032,FI,prodcom,iso_3166_1,one-to-one correspondence,23de0cd3-83ce-49f2-82f5-819444536154,http://www.w3.org/2004/02/skos/core#exactMatch
038,AT,prodcom,iso_3166_1,one-to-one correspondence,6ddbeef5-2abe-41ad-aded-6a34a763b51d,http://www.w3.org/2004/02/skos/core#exactMatch
039,CH,prodcom,iso_3166_1,one-to-one correspondence,ef40d439-9747-4609-8c52-e0dda6afb838,http://www.w3.org/2004/02/skos/core#exactMatch
046,MT,prodcom,iso_3166_1,one-to-one correspondence,74640cb4-b757-4117-a71a-3065801bc3cf,http://www.w3.org/2004/02/skos/core#exactMatch
052,TR,prodcom,iso_3166_1,one-to-one correspondence,787b086f-989a-4f12-95ce-0d9587d3d64d,http://www.w3.org/2004/02/skos/core#exactMatch
053,EE,prodcom,iso_3166_1,one-to-one correspondence,907a8832-b81e-4701-a12a-bdd55110e36e,http://www.w3.org/2004/02/skos/core#exactMatch
054,LV,prodcom,iso_3166_1,one-to-one correspondence,49912b9f-e2d6-46e8-870e-c3327b1ac8fc,http://www.w3.org/2004/02/skos/core#exactMatch
055,LT,prodcom,iso_3166_1,one-to-one correspondence,fc404ef0-ceb7-42f0-aaa0-9ce5118a9c8c,http://www.w3.org/2004/02/skos/core#exactMatch
060,PL,prodcom,iso_3166_1,one-to-one correspondence,60c901fb-6c90-4866-a6f2-4f37b1b479fd,http://www.w3.org/2004/02/skos/core#exactMatch
061,CZ,prodcom,iso_3166_1,one-to-one correspondence,de7f6ccd-ac04-4c73-b8ba-40758cadd001,http://www.w3.org/2004/02/skos/core#exactMatch
063,SK,prodcom,iso_3166_1,one-to-one correspondence,cc8c6264-5e98-4701-86b4-28073c998570,http://www.w3.org/2004/02/skos/core#exactMatch
064,HU,prodcom,iso_3166_1,one-to-one correspondence,bfd529a6-65da-4b0a-beca-b8203afaf17a,http://www.w3.org/2004/02/skos/core#exactMatch
066,RO,prodcom,iso_3166_1,one-to-one correspondence,e568cf07-fcc1-469a-9951-98c3314e8eeb,http://www.w3.org/2004/02/skos/core#exactMatch
068,BG,prodcom,iso_3166_1,one-to-one correspondence,833cd72f-0928-419f-bf92-92ce92be12c9,http://www.w3.org/2004/02/skos/core#exactMatch
091,SI,prodcom,iso_3166_1,one-to-one correspondence,b7bc02f3-4bff-4af8-933a-90991c49d7e7,http://www.w3.org/2004/02/skos/core#exactMatch
092,HR,prodcom,iso_3166_1,one-to-one correspondence,d34d6811-3fdc-40e2-9c50-3e06370016a9,http://www.w3.org/2004/02/skos/core#exactMatch
600,CY,prodcom,iso_3166_1,one-to-one correspondence,651ac47e-97bf-44e8-a081-defdb70867e1,http://www.w3.org/2004/02/skos/core#exactMatch
