location_from,location_to,classification_from,classification_to,comment,prefixed_id,skos_uri
AF,WA,iso_3166_1,exiohybrid4_reg,many-to-one correspondence,414b7a38-c0e1-49c6-9c05-7da86e2c72ef,http://www.w3.org/2004/02/skos/core#broadMatch
AX,WE,iso_3166_1,exiohybrid4_reg,many-to-one correspondence,81d419d6-fcf3-4fb9-9b4d-3656fcc6c63d,http://www.w3.org/2004/02/skos/core#broadMatch
AL,WE,iso_3166_1,exiohybrid4_reg,many-to-one correspondence,92afdf67-08ca-4fa7-a23c-bd974ae3b9d0,http://www.w3.org/2004/02/skos/core#broadMatch
DZ,WF,iso_3166_1,exiohybrid4_reg,many-to-one correspondence,99137119-2aca-4735-a4dd-788ee131e0ed,http://www.w3.org/2004/02/skos/core#broadMatch
AS,WA,iso_3166_1,exiohybrid4_reg,many-to-one correspondence,3f0b3d1f-bb3f-4db5-b771-75c4207a01a6,http://www.w3.org/2004/02/skos/core#broadMatch
AD,WE,iso_3166_1,exiohybrid4_reg,many-to-one correspondence,4dcdf350-285f-472d-9433-ed406bc773fc,http://www.w3.org/2004/02/skos/core#broadMatch
AO,WF,iso_3166_1,exiohybrid4_reg,many-to-one correspondence,ddb5f4ff-4fa4-4cfa-8286-99eb4bd3798b,http://www.w3.org/2004/02/skos/core#broadMatch
AI,WL,iso_3166_1,exiohybrid4_reg,many-to-one correspondence,d630d117-c275-49b7-9c8b-8c65da224c1d,http://www.w3.org/2004/02/skos/core#broadMatch
AQ,WA,iso_3166_1,exiohybrid4_reg,many-to-one correspondence,f6a018e7-7f02-4000-b278-67222fcae100,http://www.w3.org/2004/02/skos/core#broadMatch
AG,WL,iso_3166_1,exiohybrid4_reg,many-to-one correspondence,f16b87c5-9c13-437c-97b2-a7843dd6c6fb,http://www.w3.org/2004/02/skos/core#broadMatch
AR,WL,iso_3166_1,exiohybrid4_reg,many-to-one correspondence,7446f038-9757-4ab0-8541-d02369c67103,http://www.w3.org/2004/02/skos/core#broadMatch
AM,WA,iso_3166_1,exiohybrid4_reg,many-to-one correspondence,9b835cb1-92f9-40d3-b181-7838f6a1cdde,http://www.w3.org/2004/02/skos/core#broadMatch
AW,WL,iso_3166_1,exiohybrid4_reg,many-to-one correspondence,0aee0ef1-165b-40af-898f-f8d689e6aeef,http://www.w3.org/2004/02/skos/core#broadMatch
AU,AU,iso_3166_1,exiohybrid4_reg,one-to-one correspondence,f8efa722-bc57-4412-ad25-e80074b99a9e,http://www.w3.org/2004/02/skos/core#exactMatch
AT,AT,iso_3166_1,exiohybrid4_reg,one-to-one correspondence,f3d4d6d4-5615-49ec-bbd2-db7d4a8566e6,http://www.w3.org/2004/02/skos/core#exactMatch
AZ,WA,iso_3166_1,exiohybrid4_reg,many-to-one correspondence,7f9a1e2f-8afb-44ca-8a67-6270f27655e0,http://www.w3.org/2004/02/skos/core#broadMatch
BS,WL,iso_3166_1,exiohybrid4_reg,many-to-one correspondence,5bd6b66f-1a18-4701-b73a-19799b60e2b5,http://www.w3.org/2004/02/skos/core#broadMatch
BH,WM,iso_3166_1,exiohybrid4_reg,many-to-one correspondence,f55e1d19-146f-47bc-92c8-092fcd3d4a53,http://www.w3.org/2004/02/skos/core#broadMatch
BD,WA,iso_3166_1,exiohybrid4_reg,many-to-one correspondence,93c43dee-1492-42c8-832a-64e57764bb1b,http://www.w3.org/2004/02/skos/core#broadMatch
BB,WL,iso_3166_1,exiohybrid4_reg,many-to-one correspondence,e937250e-16ee-431e-818a-5c5fe774135a,http://www.w3.org/2004/02/skos/core#broadMatch
BY,WE,iso_3166_1,exiohybrid4_reg,many-to-one correspondence,57fd72d1-9504-41de-aa58-9f7b7da39781,http://www.w3.org/2004/02/skos/core#broadMatch
BE,BE,iso_3166_1,exiohybrid4_reg,one-to-one correspondence,9b56cc96-81ef-4eac-a291-355ac2f4a1c3,http://www.w3.org/2004/02/skos/core#exactMatch
BZ,WL,iso_3166_1,exiohybrid4_reg,many-to-one correspondence,96763a36-e447-4735-8d43-c287ac86788e,http://www.w3.org/2004/02/skos/core#broadMatch
BJ,WF,iso_3166_1,exiohybrid4_reg,many-to-one correspondence,4b9673e8-259a-4425-88e9-dce31ac1709c,http://www.w3.org/2004/02/skos/core#broadMatch
BM,WL,iso_3166_1,exiohybrid4_reg,many-to-one correspondence,8a1293c0-b283-4ec1-9850-7589401e5c6e,http://www.w3.org/2004/02/skos/core#broadMatch
BT,WA,iso_3166_1,exiohybrid4_reg,many-to-one correspondence,04cff48d-abcd-4c8d-a972-276ed6c15785,http://www.w3.org/2004/02/skos/core#broadMatch
BO,WL,iso_3166_1,exiohybrid4_reg,many-to-one correspondence,50ce85ac-6ede-4668-9d56-05569f262904,http://www.w3.org/2004/02/skos/core#broadMatch
BQ,WL,iso_3166_1,exiohybrid4_reg,many-to-one correspondence,aaf6231d-68be-4ce2-bb3e-e899f01ebf23,http://www.w3.org/2004/02/skos/core#broadMatch
BA,WE,iso_3166_1,exiohybrid4_reg,many-to-one correspondence,197677e3-574d-4022-be66-96b6b11df5bc,http://www.w3.org/2004/02/skos/core#broadMatch
BW,WF,iso_3166_1,exiohybrid4_reg,many-to-one correspondence,00c59950-8682-4eae-8c07-c705d451ee9c,http://www.w3.org/2004/02/skos/core#broadMatch
BV,WA,iso_3166_1,exiohybrid4_reg,many-to-one correspondence,8f4d64d8-e0ae-4c69-8cdd-c89fc592e83a,http://www.w3.org/2004/02/skos/core#broadMatch
BR,BR,iso_3166_1,exiohybrid4_reg,one-to-one correspondence,45f7fe69-d747-4e6f-bb23-f9f0d932be46,http://www.w3.org/2004/02/skos/core#exactMatch
IO,WA,iso_3166_1,exiohybrid4_reg,many-to-one correspondence,d993f14c-6c1f-41d2-be5b-e42a51532fa3,http://www.w3.org/2004/02/skos/core#broadMatch
VG,WL,iso_3166_1,exiohybrid4_reg,many-to-one correspondence,b7985232-f35c-4393-9261-3b4d202bbcdc,http://www.w3.org/2004/02/skos/core#broadMatch
BN,WA,iso_3166_1,exiohybrid4_reg,many-to-one correspondence,8871489f-8678-49de-aa9b-cde910a6e2b1,http://www.w3.org/2004/02/skos/core#broadMatch
BG,BG,iso_3166_1,exiohybrid4_reg,one-to-one correspondence,d2d827a9-bd58-4dfe-a896-2d217fd5b56c,http://www.w3.org/2004/02/skos/core#exactMatch
BF,WF,iso_3166_1,exiohybrid4_reg,many-to-one correspondence,e77e071d-6b62-4c55-a602-b81698784217,http://www.w3.org/2004/02/skos/core#broadMatch
BI,WF,iso_3166_1,exiohybrid4_reg,many-to-one correspondence,f9e02cd8-b645-4544-a9ea-4c6879d98afd,http://www.w3.org/2004/02/skos/core#broadMatch
CV,WF,iso_3166_1,exiohybrid4_reg,many-to-one correspondence,cb88c953-a6ea-4dcc-9d77-8761a765c8a4,http://www.w3.org/2004/02/skos/core#broadMatch
KH,WA,iso_3166_1,exiohybrid4_reg,many-to-one correspondence,84c1fdc1-35a8-439c-a59a-13fffae366d6,http://www.w3.org/2004/02/skos/core#broadMatch
CM,WF,iso_3166_1,exiohybrid4_reg,many-to-one correspondence,63f44498-bc57-4e86-b81f-dec48205a147,http://www.w3.org/2004/02/skos/core#broadMatch
CA,CA,iso_3166_1,exiohybrid4_reg,one-to-one correspondence,be360584-f7c3-48d3-8b74-dea371933ca9,http://www.w3.org/2004/02/skos/core#exactMatch
KY,WL,iso_3166_1,exiohybrid4_reg,many-to-one correspondence,04aaf2c4-5f7c-4e79-8e52-e26f34b6756a,http://www.w3.org/2004/02/skos/core#broadMatch
CF,WF,iso_3166_1,exiohybrid4_reg,many-to-one correspondence,66e2e981-a598-465b-9541-9f27e1a4a378,http://www.w3.org/2004/02/skos/core#broadMatch
TD,WF,iso_3166_1,exiohybrid4_reg,many-to-one correspondence,0eb9f24b-e0c0-447b-87ba-042dd6cbb78f,http://www.w3.org/2004/02/skos/core#broadMatch
CL,WL,iso_3166_1,exiohybrid4_reg,many-to-one correspondence,74ce170a-849f-4b4f-b83a-c62e7878df9c,http://www.w3.org/2004/02/skos/core#broadMatch
CN,CN,iso_3166_1,exiohybrid4_reg,one-to-one correspondence,f34dbc11-b8f6-4d3e-947f-367b16956172,http://www.w3.org/2004/02/skos/core#exactMatch
CX,WA,iso_3166_1,exiohybrid4_reg,many-to-one correspondence,036d42a2-9dcd-4a03-8d76-b37f09f436d8,http://www.w3.org/2004/02/skos/core#broadMatch
CC,WA,iso_3166_1,exiohybrid4_reg,many-to-one correspondence,238cd890-6514-43fa-b01f-7b85d7e26ea0,http://www.w3.org/2004/02/skos/core#broadMatch
CO,WL,iso_3166_1,exiohybrid4_reg,many-to-one correspondence,8a9a4757-5d0b-4317-bec9-8bbf492799a4,http://www.w3.org/2004/02/skos/core#broadMatch
KM,WF,iso_3166_1,exiohybrid4_reg,many-to-one correspondence,8c2b5aaa-48fa-4cb2-ba5f-4eecdcf0195d,http://www.w3.org/2004/02/skos/core#broadMatch
CG,WF,iso_3166_1,exiohybrid4_reg,many-to-one correspondence,76de32ba-c225-41f3-b957-7d594b031d18,http://www.w3.org/2004/02/skos/core#broadMatch
CK,WA,iso_3166_1,exiohybrid4_reg,many-to-one correspondence,fbb10d7d-9209-4316-ba88-0d9212591722,http://www.w3.org/2004/02/skos/core#broadMatch
CR,WL,iso_3166_1,exiohybrid4_reg,many-to-one correspondence,dad3263b-a6dd-4adc-bc4a-992298b17e87,http://www.w3.org/2004/02/skos/core#broadMatch
CI,WF,iso_3166_1,exiohybrid4_reg,many-to-one correspondence,2ee5d605-b520-4176-8801-90c9e1a34c7a,http://www.w3.org/2004/02/skos/core#broadMatch
HR,HR,iso_3166_1,exiohybrid4_reg,one-to-one correspondence,a2dd8495-a13b-44b5-a8d4-c618efcfbf8e,http://www.w3.org/2004/02/skos/core#exactMatch
CU,WL,iso_3166_1,exiohybrid4_reg,many-to-one correspondence,3de9851e-fe59-4c16-a6ad-ebb53adefaee,http://www.w3.org/2004/02/skos/core#broadMatch
CW,WL,iso_3166_1,exiohybrid4_reg,many-to-one correspondence,02bc99d9-ce96-41e2-90c7-6051ae800f68,http://www.w3.org/2004/02/skos/core#broadMatch
CY,CY,iso_3166_1,exiohybrid4_reg,one-to-one correspondence,814cfe18-e0be-4773-882c-a95896764bc5,http://www.w3.org/2004/02/skos/core#exactMatch
CZ,CZ,iso_3166_1,exiohybrid4_reg,one-to-one correspondence,79e97c52-357e-4b69-9524-c8cd0a94058d,http://www.w3.org/2004/02/skos/core#exactMatch
DK,DK,iso_3166_1,exiohybrid4_reg,one-to-one correspondence,13d52d5d-ac8e-4a31-a73b-ba59e85fb5a3,http://www.w3.org/2004/02/skos/core#exactMatch
DJ,WF,iso_3166_1,exiohybrid4_reg,many-to-one correspondence,9e425552-25dc-44b7-a22d-94f0a1b9ee57,http://www.w3.org/2004/02/skos/core#broadMatch
DM,WL,iso_3166_1,exiohybrid4_reg,many-to-one correspondence,6517a494-9cde-44e5-a54d-b86f332c0629,http://www.w3.org/2004/02/skos/core#broadMatch
DO,WL,iso_3166_1,exiohybrid4_reg,many-to-one correspondence,6908ec59-598d-4192-9a11-5f557e51746b,http://www.w3.org/2004/02/skos/core#broadMatch
CD,WF,iso_3166_1,exiohybrid4_reg,many-to-one correspondence,62e6e435-384a-4ceb-9458-07b2e1624c29,http://www.w3.org/2004/02/skos/core#broadMatch
EC,WL,iso_3166_1,exiohybrid4_reg,many-to-one correspondence,7c631297-960f-453f-8d0b-ef629f9b41a7,http://www.w3.org/2004/02/skos/core#broadMatch
EG,WM,iso_3166_1,exiohybrid4_reg,many-to-one correspondence,9f540802-36ec-42ee-ad91-a91c2128dc1c,http://www.w3.org/2004/02/skos/core#broadMatch
SV,WL,iso_3166_1,exiohybrid4_reg,many-to-one correspondence,2748ba2f-11e3-4d8f-971c-28d8e4dfe07a,http://www.w3.org/2004/02/skos/core#broadMatch
GQ,WF,iso_3166_1,exiohybrid4_reg,many-to-one correspondence,a3984321-7d4d-402f-82bb-e86ff7a7831b,http://www.w3.org/2004/02/skos/core#broadMatch
ER,WF,iso_3166_1,exiohybrid4_reg,many-to-one correspondence,3eadf2b6-2573-478f-9fb1-94e99fea4d22,http://www.w3.org/2004/02/skos/core#broadMatch
EE,EE,iso_3166_1,exiohybrid4_reg,one-to-one correspondence,e069f95c-1fb1-4d02-be2f-50ff48b0366e,http://www.w3.org/2004/02/skos/core#exactMatch
SZ,WF,iso_3166_1,exiohybrid4_reg,many-to-one correspondence,381acfc9-4fb5-4357-97d1-7e081f08ab75,http://www.w3.org/2004/02/skos/core#broadMatch
ET,WF,iso_3166_1,exiohybrid4_reg,many-to-one correspondence,1c0c7369-5ecb-4c69-b472-0eeabe6c2edb,http://www.w3.org/2004/02/skos/core#broadMatch
FO,WE,iso_3166_1,exiohybrid4_reg,many-to-one correspondence,d6a18dca-1b7d-4edb-92cb-edab597b4fe8,http://www.w3.org/2004/02/skos/core#broadMatch
FK,WL,iso_3166_1,exiohybrid4_reg,many-to-one correspondence,023ae1e9-0b8c-416b-8a7e-cd59ce1de1f5,http://www.w3.org/2004/02/skos/core#broadMatch
FJ,WA,iso_3166_1,exiohybrid4_reg,many-to-one correspondence,445098f5-439d-4e51-b9ac-88073d1096d3,http://www.w3.org/2004/02/skos/core#broadMatch
FI,FI,iso_3166_1,exiohybrid4_reg,one-to-one correspondence,4850cb07-6663-47d7-a416-3c465910bd83,http://www.w3.org/2004/02/skos/core#exactMatch
FR,FR,iso_3166_1,exiohybrid4_reg,one-to-one correspondence,fd754fb9-22e9-4070-8ded-963cb053766c,http://www.w3.org/2004/02/skos/core#exactMatch
GF,WL,iso_3166_1,exiohybrid4_reg,many-to-one correspondence,b4f405c5-ddd4-400f-9c0f-8a33385b3e6f,http://www.w3.org/2004/02/skos/core#broadMatch
