code,parent_code,name,level,prefixed_id
em_total,,emissions to all compartments,0,b48cca5f-3400-41a9-967d-057e888daf3f
air,em_total,emissions to air,1,9d951232-dbf1-46d4-92a7-cac5097a8668
soil,em_total,emissions to soil,1,22d53cc3-3b93-4cde-b0d8-8fe74f34d0f4
water,em_total,emissions to water,1,2f1847a3-574d-408a-8484-ccf7e8d26435
undef,em_total,emissions to undefined compartment,1,387109de-df0f-49cc-b9fa-33f3319148a0
res_total,,rosources from all compartments,0,badec2f7-4fef-4848-a6af-7730521626fc
from_ground,res_total,resources from ground,1,5d0b7bd1-1c02-478a-b783-05063c4bf800
landuse,res_total,land use,1,b6ab3e06-5e5e-4896-bd67-321bc29f484d
