code,name,description,prefixed_id
0,entry_point,Entry point of the classification tree (total),5cd5ed9d-d0d7-4e51-aae3-3f940b1093ad
1,1st_layer,First layer with categories in the classification tree,4d9488fd-47c0-4b70-8f22-17402a7e7583
2,2nd_layer,Second layer with categories in the classification tree,2773990a-3d59-4d13-8973-ed8dc59112dc
3,3rd_layer,Third layer with categories in the classification tree,0ed7609c-207e-4132-9b53-78d3139d2c9e
4,4th_layer,Fourth layer with categories in the classification tree,e9cc6ae4-2e19-4029-857b-6a0193e03ec6
5,5th_layer,Fifth layer with categories in the classification tree,754fe75c-c2b2-4ab8-9bfd-9cf37c8397b6
6,6th_layer,Sixth layer with categories in the classification tree,b15358e1-3c6a-4185-8714-e48c02a9f6ea
7,7th_layer,Seventh layer with categories in the classification tree,849c193f-2c35-4169-80ed-5c33de12c511
8,8th_layer,Eight layer with categories in the classification tree,c8d754e6-01b0-4109-bad2-f7ecaf31120d
9,9th_layer,Nineth layer with categories in the classification tree,d8902624-2835-4acb-a8b7-6e0b33e66736
