code,name,parent_code,level,prefixed_id
total,Total,,0,af079920-a682-46b8-b08e-6dc105c725e9
01,Chemical compound wastes,total,1,cdafb304-cee8-4cc5-bf65-50639f0ee70a
01.1,Spent solvents,01,2,8390f14e-c214-4383-a45b-24ad7cffe953
01.11,Halogenated spent solvents,01.1,3,7a02ecc3-9604-4fcb-a943-53030f749aaa
01.11.1,"Halogenated spent solvents, hazardous",01.11,4,6e8c0aea-b9b6-47b5-a2d7-1feed08bfd21
01.12,Non-halogenated spent solvents,01.1,3,59323eb2-6902-44fb-b03a-d27586d3922e
01.12.1,"Non-halogenated spent solvents, hazardous",01.12,4,256dc079-8e3f-4d37-917e-c7ae256488d3
01.2,"Acid, alkaline or saline wastes",01,2,efbfd47d-4ffb-4ac4-b039-84382924a625
01.21,Acid wastes,01.2,3,720b227c-2195-4850-b232-0d7ceb4c3775
01.21.1,"Acid wastes, hazardous",02.21,4,f3350012-a727-4603-9389-361b6b902896
01.22,Alkaline wastes,01.2,3,30080818-f23e-4e52-8542-8e4327f8d150
01.22.0,"Alkaline wastes, hazardous",01.22,4,d13fcad5-ad3a-4a26-9fa8-fa8ecc4e2fa1
01.22.1,"Alkaline wastes, non-hazardous",01.22,4,0927c22e-1d7d-4ace-8a18-8cb6e1c074f6
01.24,Other saline wastes,01.2,3,b4e816de-0c7d-4e85-aeb2-c01173277e4f
01.24.0,"Other saline wastes, hazardous",01.24,4,1a235174-d21f-4de5-b6f5-554095f6f8c5
01.24.1,"Other saline wastes, non-hazardous",01.24,4,3c151694-6e59-4a5d-8617-bc37e6da50cb
01.3,Used oils,01,2,7d034484-8ec0-4e23-93c6-40942fa95582
01.31,Used motor oils,01.3,3,5fd277df-e28f-4062-8a42-9a07b3bd624c
01.31.1,"Used motor oils, hazardous",01.31,4,efc5b758-cbb1-4f3f-a34e-ea8e534d2515
01.32,Other used oils,01.3,3,c891c79a-ae79-4e87-96f4-bdbf6c7044d7
01.32.1,"Other used oils, hazardous",01.31,4,7ce306bd-537d-4cb3-a231-90e1e25a585d
01.4,Spent chemical catalysts,01,2,0dad9eb6-3b91-40c1-92a8-c4e582e804e3
01.41,Spent chemical catalysts,01.4,3,1e53425d-fd25-4008-8da0-d09a8d96e0a3
01.41.0,"Spent chemical catalysts, non-hazardous",01.41,4,3ec1cac4-ad17-4a8d-846f-5f5b6e8e25c1
01.41.1,"Spent chemical catalysts, hazardous",01.41,4,ab467340-e2d5-45be-97fc-54f26ad8d221
02,Chemical preparation wastes,total,1,adf81b39-5163-4a34-a8d0-7d6bf4398c06
02.1,Off-specification chemical wastes,02,2,5feeeb29-ef5a-48c3-816b-75144074f606
02.11,Agrochemical product wastes,02.1,3,65cb273f-9e20-4191-a55d-2a5215709baf
02.11.0,"Agrochemical product wastes, non-hazardous",02.11,4,6158864f-2f17-418f-a8bd-aea2897cf571
02.11.1,"Agrochemical product wastes, hazardous",02.11,4,741334b4-9c07-4a34-bda8-a047ee3631cd
02.12,Unused medicines,02.1,3,fa532440-d4e3-47d7-8656-e6e09f5639db
02.12.0,"Unused medicines, non-hazardous",02.12,4,513f62b7-6282-4ad8-8838-0fcbd2197a1a
02.12.1,"Unused medicines, hazardous",02.12,4,27c80025-72c7-41e4-92e0-50c74b76a3f8
02.13,"Paints, varnish, inks and adhesive wastes",02.1,3,7127575a-93e4-4547-9dcb-1264689cf5a3
02.13.0,"Paints, varnish, inks and adhesive wastes, non-hazardous",02.13,4,76519fdb-c6b7-4cd8-b854-0967fffa5cfb
02.13.1,"Paints, varnish, inks and adhesive wastes, hazardous",02.13,4,8a73d92d-c8e6-4846-983a-4c6b3483db02
02.14,Other chemical preparation wastes,02.1,3,bdd230c7-feca-40f2-a248-1a3c7ad0cc8c
02.14.0,"Other chemical preparation wastes, non-hazardous",02.14,4,9cc6588e-db93-4b70-a713-738655352650
02.14.1,"Other chemical preparation wastes, hazardous",02.14,4,7201a74e-9d99-46ed-bde1-acdf1bfe34cf
02.2,Unused explosives,02,2,de36bbfd-1b90-49df-a92b-f15184fb7902
02.21,Waste explosives and pyrotechnical products,02.2,3,59f04638-5b52-4ab2-b06d-55be230be665
02.21.1,"Waste explosives and pyrotechnical products, hazardous",02.21,4,a7b4a648-cf07-4b19-ba97-f4666e868763
02.22,Waste ammunition,02.2,3,d8036cfb-ecfa-4bf5-9420-f920b0d3357d
02.22.1,"Waste ammunition, hazardous",02.22,4,d61ae5cd-7537-4b0a-a754-8fb34565a24e
02.3,Mixed chemical wastes,02,2,be4c2534-dcd7-49f3-9cce-b5934dac084e
02.31,Minor mixed chemical wastes,02.3,3,2fff6e5d-f72a-49b6-aa7d-6017e0b71755
02.31.0,"Minor mixed chemical wastes, non-hazardous",02.31,4,6306e174-f814-4767-a614-c3ff77843569
02.31.1,"Minor mixed chemical wastes, hazardous",02.31,4,0eaaeb1a-faf1-44d8-8562-4e1ef1cae85c
02.33,Packaging polluted by hazardous substances,02.3,3,f18a3303-5711-43a7-8965-b7b04c7a2139
02.33.1,"Packaging polluted by hazardous substances, hazardous",02.33,4,f6763bba-3d46-4f01-93d5-a8c979c324ed
03,Other chemical wastes,total,1,2b2c7f2c-9307-421d-8796-b1b68adcf88c
03.1,Chemical deposits and residues,03,2,cc61a61a-42c9-4ac8-8742-1b8f2c453f64
03.11,Tars and carbonaceous wastes,03.1,3,e06bb887-68f4-4952-845e-fa2da5705836
03.11.0,"Tars and carbonaceous wastes, non-hazardous",03.11,4,1bd44980-6a18-401f-a86e-d3632405fa84
03.11.1,"Tars and carbonaceous wastes, hazardous",03.11,4,84424ec0-e635-4703-9309-ce4d70f172b8
03.12,Oils/water emulsions sludges,03.1,3,2bc68012-e80f-4099-9859-934db59276a3
03.12.1,"Oils/water emulsions sludges, hazardous",03.12,4,2ac9a986-852c-4c85-8916-12208154e202
03.13,Chemical reaction residues,03.1,3,c20279dd-c017-479b-86fa-f5e700ec5877
