#Log10(Mpeak/Msun) Log10(Median_SM/Msun) Log10(Median_SM/Mpeak) Err+(dex) Err-(dex)
#Mpeak: peak historical halo mass, using Bryan & Norman virial overdensity.
#Best fit chi^2: 177.876282
10.00 6.027631 -3.972369 0.054907 0.197278
10.05 6.134693 -3.915307 0.051051 0.192403
10.10 6.241751 -3.858249 0.046417 0.187528
10.15 6.348805 -3.801195 0.041782 0.182650
10.20 6.455852 -3.744148 0.037974 0.178293
10.25 6.562893 -3.687107 0.034748 0.171890
10.30 6.669928 -3.630072 0.031865 0.168006
10.35 6.776955 -3.573045 0.029270 0.163123
10.40 6.883974 -3.516026 0.025094 0.158188
10.45 6.990987 -3.459013 0.021894 0.152333
10.50 7.097997 -3.402003 0.018711 0.144210
10.55 7.205007 -3.344993 0.017410 0.142213
10.60 7.312026 -3.287974 0.012430 0.132344
10.65 7.419066 -3.230934 0.009353 0.127080
10.70 7.526146 -3.173854 0.010343 0.121409
10.75 7.633292 -3.116708 0.005109 0.117887
10.80 7.740542 -3.059458 0.004327 0.114482
10.85 7.847944 -3.002056 0.003767 0.111239
10.90 7.955562 -2.944438 0.004455 0.107072
10.95 8.063476 -2.886524 0.004075 0.100406
11.00 8.171783 -2.828217 0.004939 0.094220
11.05 8.280595 -2.769405 0.005477 0.091080
11.10 8.390037 -2.709963 0.004821 0.087114
11.15 8.500241 -2.649759 0.002848 0.085925
11.20 8.611340 -2.588660 0.000761 0.083364
11.25 8.723451 -2.526549 0.000604 0.081711
11.30 8.836661 -2.463339 -0.000350 0.082065
11.35 8.951011 -2.398989 -0.002121 0.081934
11.40 9.066469 -2.333531 -0.003664 0.082055
11.45 9.182911 -2.267089 -0.007640 0.082320
11.50 9.300101 -2.199899 -0.011423 0.081116
11.55 9.417666 -2.132334 -0.017182 0.082019
11.60 9.535091 -2.064909 -0.021280 0.082867
11.65 9.651710 -1.998290 -0.023963 0.082692
11.70 9.766717 -1.933283 -0.026181 0.083790
11.75 9.879181 -1.870819 -0.028497 0.083349
11.80 9.988080 -1.811920 -0.029341 0.084040
11.85 10.092348 -1.757652 -0.028485 0.082510
11.90 10.190926 -1.709074 -0.028264 0.079157
11.95 10.282830 -1.667170 -0.025989 0.080280
12.00 10.367207 -1.632793 -0.022439 0.075801
12.05 10.443398 -1.606602 -0.019104 0.071438
12.10 10.510985 -1.589015 -0.013986 0.065444
12.15 10.569821 -1.580179 -0.008513 0.060326
12.20 10.620043 -1.579957 -0.004325 0.052848
12.25 10.662059 -1.587941 -0.000169 0.047446
12.30 10.696520 -1.603480 0.004699 0.041544
12.35 10.724273 -1.625727 0.010111 0.037324
12.40 10.746299 -1.653701 0.017003 0.034278
12.45 10.763655 -1.686345 0.022983 0.032434
12.50 10.777408 -1.722592 0.027099 0.031605
12.55 10.788582 -1.761418 0.032448 0.030245
12.60 10.798111 -1.801889 0.036626 0.027409
12.65 10.806807 -1.843193 0.039640 0.025764
12.70 10.815342 -1.884658 0.041045 0.023267
12.75 10.824237 -1.925763 0.040592 0.022768
12.80 10.833867 -1.966133 0.042039 0.022417
12.85 10.844475 -2.005525 0.042167 0.023148
12.90 10.856189 -2.043811 0.041467 0.027135
12.95 10.869042 -2.080958 0.039454 0.028684
13.00 10.882998 -2.117002 0.038217 0.031195
13.05 10.897969 -2.152031 0.034849 0.035170
13.10 10.913839 -2.186161 0.031281 0.038569
13.15 10.930477 -2.219523 0.030514 0.041060
13.20 10.947749 -2.252251 0.028821 0.043969
13.25 10.965531 -2.284469 0.026961 0.047132
13.30 10.983709 -2.316291 0.025769 0.049542
13.35 11.002187 -2.347813 0.023779 0.055767
13.40 11.020883 -2.379117 0.022612 0.058452
13.45 11.039734 -2.410266 0.022039 0.063643
13.50 11.058689 -2.441311 0.022635 0.070355
13.55 11.077712 -2.472288 0.021512 0.076831
13.60 11.096776 -2.503224 0.019679 0.081063
13.65 11.115862 -2.534138 0.019516 0.086399
13.70 11.134956 -2.565044 0.018247 0.091960
13.75 11.154052 -2.595948 0.018118 0.099975
13.80 11.173144 -2.626856 0.017040 0.106436
13.85 11.192229 -2.657771 0.018659 0.113383
13.90 11.211307 -2.688693 0.016395 0.119852
13.95 11.230378 -2.719622 0.015436 0.126386
14.00 11.249442 -2.750558 0.019077 0.132995
14.05 11.268500 -2.781500 0.018679 0.139994
14.10 11.287552 -2.812448 0.017383 0.145706
14.15 11.306599 -2.843401 0.016447 0.150064
