#Log10(Mpeak/Msun) Log10(Median_SM/Msun) Log10(Median_SM/Mpeak) Err+(dex) Err-(dex)
#Mpeak: peak historical halo mass, using Bryan & Norman virial overdensity.
#Best fit chi^2: 156.438889
10.00 6.041065 -3.958935 0.051881 0.207638
10.05 6.148511 -3.901489 0.049621 0.201320
10.10 6.255949 -3.844051 0.045784 0.192535
10.15 6.363378 -3.786622 0.042577 0.187042
10.20 6.470797 -3.729203 0.039268 0.178078
10.25 6.578203 -3.671797 0.036074 0.172685
10.30 6.685594 -3.614406 0.032376 0.165548
10.35 6.792970 -3.557030 0.029810 0.162324
10.40 6.900327 -3.499673 0.025530 0.158009
10.45 7.007666 -3.442334 0.020630 0.151036
10.50 7.114987 -3.385013 0.021031 0.143498
10.55 7.222292 -3.327708 0.022222 0.134890
10.60 7.329588 -3.270412 0.018159 0.129902
10.65 7.436887 -3.213113 0.017280 0.124171
10.70 7.544205 -3.155795 0.015691 0.119759
10.75 7.651574 -3.098426 0.012485 0.115169
10.80 7.759033 -3.040967 0.010778 0.113260
10.85 7.866640 -2.983360 0.010656 0.106965
10.90 7.974474 -2.925526 0.011407 0.101418
10.95 8.082631 -2.867369 0.011376 0.097272
11.00 8.191233 -2.808767 0.012328 0.093114
11.05 8.300423 -2.749577 0.013133 0.089259
11.10 8.410362 -2.689638 0.011942 0.083069
11.15 8.521220 -2.628780 0.010154 0.083060
11.20 8.633166 -2.566834 0.008555 0.082350
11.25 8.746346 -2.503654 0.008308 0.080980
11.30 8.860864 -2.439136 0.005109 0.079857
11.35 8.976752 -2.373248 0.002085 0.080173
11.40 9.093946 -2.306054 -0.000552 0.082197
11.45 9.212249 -2.237751 -0.005086 0.085655
11.50 9.331310 -2.168690 -0.011657 0.085485
11.55 9.450603 -2.099397 -0.016857 0.086592
11.60 9.569422 -2.030578 -0.023124 0.087546
11.65 9.686881 -1.963119 -0.028090 0.089805
11.70 9.801944 -1.898056 -0.031982 0.089803
11.75 9.913460 -1.836540 -0.035001 0.090711
11.80 10.020224 -1.779776 -0.035577 0.091083
11.85 10.121043 -1.728957 -0.034683 0.091771
11.90 10.214816 -1.685184 -0.032176 0.090616
11.95 10.300609 -1.649391 -0.025825 0.088146
12.00 10.377727 -1.622273 -0.022053 0.084740
12.05 10.445765 -1.604235 -0.014457 0.081305
12.10 10.504642 -1.595358 -0.012730 0.074586
12.15 10.554608 -1.595392 -0.004638 0.069059
12.20 10.596221 -1.603779 0.001700 0.062189
12.25 10.630306 -1.619694 0.009271 0.057730
12.30 10.657893 -1.642107 0.015814 0.049664
12.35 10.680139 -1.669861 0.021245 0.042817
12.40 10.698253 -1.701747 0.026426 0.033467
12.45 10.713420 -1.736580 0.030584 0.028093
12.50 10.726739 -1.773261 0.033651 0.024414
12.55 10.739171 -1.810829 0.038221 0.019904
12.60 10.751514 -1.848486 0.040012 0.015125
12.65 10.764381 -1.885619 0.044751 0.011501
12.70 10.778206 -1.921794 0.047071 0.008771
12.75 10.793259 -1.956741 0.045497 0.006358
12.80 10.809665 -1.990335 0.047251 0.007886
12.85 10.827435 -2.022565 0.046490 0.007105
12.90 10.846498 -2.053502 0.044918 0.008707
12.95 10.866723 -2.083277 0.044568 0.010798
13.00 10.887951 -2.112049 0.044243 0.011435
13.05 10.910010 -2.139990 0.043190 0.013666
13.10 10.932734 -2.167266 0.041195 0.015656
13.15 10.955970 -2.194030 0.039680 0.018466
13.20 10.979587 -2.220413 0.038038 0.020767
13.25 11.003474 -2.246526 0.035293 0.022898
13.30 11.027545 -2.272455 0.032834 0.024809
13.35 11.051732 -2.298268 0.030392 0.027789
13.40 11.075988 -2.324012 0.027582 0.028681
13.45 11.100277 -2.349723 0.024769 0.031263
13.50 11.124576 -2.375424 0.022701 0.033613
13.55 11.148870 -2.401130 0.020636 0.034093
13.60 11.173151 -2.426849 0.018215 0.035752
13.65 11.197416 -2.452584 0.014719 0.038509
13.70 11.221661 -2.478339 0.011878 0.041607
13.75 11.245888 -2.504112 0.011598 0.042841
13.80 11.270099 -2.529901 0.010672 0.047238
13.85 11.294293 -2.555707 0.009550 0.050495
13.90 11.318475 -2.581525 0.008072 0.054354
13.95 11.342645 -2.607355 0.006000 0.056790
14.00 11.366805 -2.633195 0.004645 0.061056
14.05 11.390957 -2.659043 0.004968 0.064002
14.10 11.415102 -2.684898 0.005134 0.066694
14.15 11.439241 -2.710759 0.005972 0.070893
14.20 11.463376 -2.736624 0.005724 0.074997
