#Log10(Mpeak/Msun) Log10(Median_SM/Msun) Log10(Median_SM/Mpeak) Err+(dex) Err-(dex)
#Mpeak: peak historical halo mass, using Bryan & Norman virial overdensity.
#Best fit chi^2: 156.438889
10.00 6.573854 -3.426146 -0.037632 0.228789
10.05 6.671623 -3.378377 -0.036320 0.220908
10.10 6.769380 -3.330620 -0.035638 0.215951
10.15 6.867122 -3.282878 -0.034494 0.207314
10.20 6.964847 -3.235153 -0.033351 0.200585
10.25 7.062552 -3.187448 -0.034727 0.191637
10.30 7.160232 -3.139768 -0.034515 0.182684
10.35 7.257885 -3.092115 -0.032964 0.178291
10.40 7.355504 -3.044496 -0.032612 0.174737
10.45 7.453085 -2.996915 -0.033250 0.168711
10.50 7.550621 -2.949379 -0.033633 0.163045
10.55 7.648106 -2.901894 -0.032432 0.159547
10.60 7.745531 -2.854469 -0.031539 0.151534
10.65 7.842889 -2.807111 -0.030771 0.144290
10.70 7.940172 -2.759828 -0.029082 0.136657
10.75 8.037372 -2.712628 -0.027717 0.129405
10.80 8.134482 -2.665518 -0.025001 0.124081
10.85 8.231495 -2.618505 -0.023373 0.117319
10.90 8.328406 -2.571594 -0.021397 0.113172
10.95 8.425213 -2.524787 -0.020157 0.107107
11.00 8.521914 -2.478086 -0.017658 0.102471
11.05 8.618510 -2.431490 -0.015284 0.097744
11.10 8.715004 -2.384996 -0.011695 0.092917
11.15 8.811394 -2.338606 -0.009341 0.088257
11.20 8.907678 -2.292322 -0.008396 0.083741
11.25 9.003843 -2.246157 -0.004900 0.079385
11.30 9.099862 -2.200138 -0.001498 0.075883
11.35 9.195687 -2.154313 0.003171 0.071058
11.40 9.291240 -2.108760 0.005598 0.064801
11.45 9.386407 -2.063593 0.009187 0.060254
11.50 9.481025 -2.018975 0.011775 0.057915
11.55 9.574881 -1.975119 0.015545 0.053753
11.60 9.667706 -1.932294 0.017292 0.048511
11.65 9.759173 -1.890827 0.019354 0.045761
11.70 9.848905 -1.851095 0.022848 0.042384
11.75 9.936480 -1.813520 0.024069 0.040252
11.80 10.021452 -1.778548 0.025710 0.037936
11.85 10.103368 -1.746632 0.026222 0.037989
11.90 10.181791 -1.718209 0.027488 0.036143
11.95 10.256326 -1.693674 0.027098 0.035797
12.00 10.326650 -1.673350 0.025358 0.034156
12.05 10.392525 -1.657475 0.021432 0.034109
12.10 10.453822 -1.646178 0.019334 0.036024
12.15 10.510528 -1.639472 0.016020 0.036842
12.20 10.562746 -1.637254 0.011831 0.039871
12.25 10.610689 -1.639311 0.008853 0.040256
12.30 10.654663 -1.645337 0.006978 0.042305
12.35 10.695048 -1.654952 0.006101 0.044112
12.40 10.732275 -1.667725 0.005637 0.045730
12.45 10.766793 -1.683207 0.003842 0.047038
12.50 10.799055 -1.700945 0.003680 0.048276
12.55 10.829487 -1.720513 0.004235 0.049294
12.60 10.858479 -1.741521 0.002618 0.050403
12.65 10.886369 -1.763631 0.003502 0.050651
12.70 10.913441 -1.786559 0.004088 0.050256
12.75 10.939920 -1.810080 0.003978 0.049507
12.80 10.965979 -1.834021 0.005290 0.049144
12.85 10.991744 -1.858256 0.006529 0.048593
12.90 11.017300 -1.882700 0.007489 0.048816
12.95 11.042701 -1.907299 0.008184 0.048304
13.00 11.067979 -1.932021 0.008223 0.048100
13.05 11.093147 -1.956853 0.009055 0.045117
13.10 11.118213 -1.981787 0.009000 0.044447
13.15 11.143176 -2.006824 0.009973 0.042802
13.20 11.168034 -2.031966 0.010928 0.042156
13.25 11.192787 -2.057213 0.011443 0.041065
13.30 11.217435 -2.082565 0.012351 0.040842
13.35 11.241981 -2.108019 0.012092 0.037816
13.40 11.266429 -2.133571 0.013099 0.035793
13.45 11.290784 -2.159216 0.014852 0.035238
13.50 11.315055 -2.184945 0.016531 0.034226
13.55 11.339249 -2.210751 0.017905 0.031944
13.60 11.363374 -2.236626 0.019293 0.030563
13.65 11.387438 -2.262562 0.020695 0.027820
13.70 11.411448 -2.288552 0.022111 0.027507
13.75 11.435413 -2.314587 0.023541 0.027936
13.80 11.459337 -2.340663 0.025257 0.026946
13.85 11.483227 -2.366773 0.026678 0.026172
13.90 11.507088 -2.392912 0.028497 0.026218
13.95 11.530924 -2.419076 0.029376 0.025966
14.00 11.554739 -2.445261 0.030873 0.024642
14.05 11.578536 -2.471464 0.033446 0.025663
14.10 11.602317 -2.497683 0.037206 0.023444
14.15 11.626086 -2.523914 0.038601 0.023911
14.20 11.649845 -2.550155 0.039827 0.022903
14.25 11.673594 -2.576406 0.041862 0.021899
14.30 11.697335 -2.602665 0.044540 0.020896
14.35 11.721070 -2.628930 0.045780 0.019593
14.40 11.744799 -2.655201 0.046899 0.018897
14.45 11.768524 -2.681476 0.048415 0.018207
14.50 11.792245 -2.707755 0.050905 0.018566
