#Log10(Mpeak/Msun) Log10(Median_SM/Msun) Log10(Median_SM/Mpeak) Err+(dex) Err-(dex)
#Mpeak: peak historical halo mass, using Bryan & Norman virial overdensity.
#Best fit chi^2: 156.438889
10.00 6.335121 -3.664879 -0.013155 0.213401
10.05 6.439203 -3.610797 -0.013053 0.205247
10.10 6.543270 -3.556730 -0.013526 0.197840
10.15 6.647321 -3.502679 -0.014274 0.190077
10.20 6.751352 -3.448648 -0.014645 0.185986
10.25 6.855360 -3.394640 -0.015016 0.178896
10.30 6.959342 -3.340658 -0.015385 0.170686
10.35 7.063293 -3.286707 -0.015293 0.168323
10.40 7.167209 -3.232791 -0.015878 0.164416
10.45 7.271088 -3.178912 -0.016786 0.158787
10.50 7.374926 -3.125074 -0.016954 0.149891
10.55 7.478722 -3.071278 -0.014886 0.138870
10.60 7.582477 -3.017523 -0.012837 0.128920
10.65 7.686196 -2.963804 -0.010817 0.121935
10.70 7.789888 -2.910112 -0.009082 0.120335
10.75 7.893570 -2.856430 -0.008313 0.114667
10.80 7.997265 -2.802735 -0.006772 0.109199
10.85 8.101009 -2.748991 -0.007517 0.105074
10.90 8.204845 -2.695155 -0.005341 0.100979
10.95 8.308828 -2.641172 -0.002405 0.094120
11.00 8.413022 -2.586978 -0.001621 0.087731
11.05 8.517494 -2.532506 0.000609 0.084370
11.10 8.622313 -2.477687 0.002900 0.081340
11.15 8.727537 -2.422463 0.005310 0.079861
11.20 8.833203 -2.366797 0.007050 0.076841
11.25 8.939310 -2.310690 0.008251 0.073358
11.30 9.045807 -2.254193 0.011662 0.069437
11.35 9.152573 -2.197427 0.012576 0.065702
11.40 9.259399 -2.140601 0.011899 0.063942
11.45 9.365978 -2.084022 0.011479 0.062955
11.50 9.471897 -2.028103 0.010246 0.060536
11.55 9.576632 -1.973368 0.011076 0.057936
11.60 9.679562 -1.920438 0.009572 0.053108
11.65 9.779986 -1.870014 0.010714 0.050418
11.70 9.877151 -1.822849 0.012805 0.047982
11.75 9.970293 -1.779707 0.012895 0.044920
11.80 10.058681 -1.741319 0.014167 0.041288
11.85 10.141662 -1.708338 0.015369 0.038511
11.90 10.218708 -1.681292 0.016825 0.033944
11.95 10.289455 -1.660545 0.018277 0.028722
12.00 10.353729 -1.646271 0.020027 0.026719
12.05 10.411559 -1.638441 0.023339 0.025162
12.10 10.463180 -1.636820 0.025039 0.022355
12.15 10.509006 -1.640994 0.027111 0.019177
12.20 10.549607 -1.650393 0.028040 0.017595
12.25 10.585664 -1.664336 0.028026 0.015450
12.30 10.617922 -1.682078 0.028308 0.014637
12.35 10.647148 -1.702852 0.030412 0.014796
12.40 10.674081 -1.725919 0.033788 0.011307
12.45 10.699402 -1.750598 0.033958 0.009082
12.50 10.723706 -1.776294 0.035849 0.008710
12.55 10.747482 -1.802518 0.038135 0.008289
12.60 10.771113 -1.828887 0.038607 0.008790
12.65 10.794877 -1.855123 0.041372 0.011115
12.70 10.818952 -1.881048 0.039490 0.012265
12.75 10.843440 -1.906560 0.042058 0.011931
12.80 10.868374 -1.931626 0.043465 0.011187
12.85 10.893741 -1.956259 0.043405 0.013362
12.90 10.919498 -1.980502 0.044289 0.014212
12.95 10.945582 -2.004418 0.042548 0.015238
13.00 10.971925 -2.028075 0.040684 0.015501
13.05 10.998459 -2.051541 0.039761 0.016266
13.10 11.025122 -2.074878 0.039245 0.017643
13.15 11.051863 -2.098137 0.037978 0.017706
13.20 11.078642 -2.121358 0.037021 0.017752
13.25 11.105426 -2.144574 0.036589 0.018807
13.30 11.132194 -2.167806 0.034208 0.018614
13.35 11.158933 -2.191067 0.033282 0.017577
13.40 11.185633 -2.214367 0.031696 0.018678
13.45 11.212291 -2.237709 0.029639 0.020202
13.50 11.238908 -2.261092 0.027674 0.019884
13.55 11.265484 -2.284516 0.025997 0.021344
13.60 11.292024 -2.307976 0.025115 0.024607
13.65 11.318530 -2.331470 0.024372 0.024620
13.70 11.345007 -2.354993 0.024014 0.025080
13.75 11.371459 -2.378541 0.022711 0.025569
13.80 11.397889 -2.402111 0.021400 0.026635
13.85 11.424300 -2.425700 0.022418 0.028702
13.90 11.450695 -2.449305 0.022213 0.031113
13.95 11.477076 -2.472924 0.021931 0.031563
14.00 11.503447 -2.496553 0.021583 0.031921
14.05 11.529807 -2.520193 0.022317 0.035358
14.10 11.556160 -2.543840 0.020993 0.037615
14.15 11.582506 -2.567494 0.022412 0.040045
14.20 11.608847 -2.591153 0.023190 0.043128
14.25 11.635183 -2.614817 0.022910 0.045691
14.30 11.661515 -2.638485 0.022389 0.048251
14.35 11.687844 -2.662156 0.023045 0.050403
14.40 11.714170 -2.685830 0.022761 0.052061
