#Log10(Mpeak/Msun) Log10(Median_SM/Msun) Log10(Median_SM/Mpeak) Err+(dex) Err-(dex)
#Mpeak: peak historical halo mass, using Bryan & Norman virial overdensity.
#Best fit chi^2: 156.438889
10.00 6.143645 -3.856355 0.026374 0.213438
10.05 6.251093 -3.798907 0.023023 0.209831
10.10 6.358530 -3.741470 0.022208 0.202629
10.15 6.465954 -3.684046 0.020127 0.194275
10.20 6.573362 -3.626638 0.018471 0.189419
10.25 6.680752 -3.569248 0.015025 0.180588
10.30 6.788121 -3.511879 0.013895 0.174234
10.35 6.895468 -3.454532 0.011820 0.168152
10.40 7.002792 -3.397208 0.009907 0.156115
10.45 7.110092 -3.339908 0.007666 0.154333
10.50 7.217372 -3.282628 0.005581 0.144725
10.55 7.324638 -3.225362 0.004690 0.138982
10.60 7.431901 -3.168099 0.004641 0.135934
10.65 7.539183 -3.110817 0.005359 0.132657
10.70 7.646512 -3.053488 0.006733 0.127323
10.75 7.753933 -2.996067 0.007209 0.123101
10.80 7.861504 -2.938496 0.006619 0.115119
10.85 7.969305 -2.880695 0.007239 0.111631
10.90 8.077433 -2.822567 0.007094 0.108422
10.95 8.186008 -2.763992 0.009746 0.100376
11.00 8.295169 -2.704831 0.009962 0.096290
11.05 8.405068 -2.644932 0.008586 0.092470
11.10 8.515859 -2.584141 0.010515 0.088543
11.15 8.627688 -2.522312 0.010220 0.089259
11.20 8.740670 -2.459330 0.009754 0.087463
11.25 8.854870 -2.395130 0.010508 0.087078
11.30 8.970271 -2.329729 0.006425 0.086555
11.35 9.086754 -2.263246 0.005099 0.085637
11.40 9.204062 -2.195938 0.001274 0.088007
11.45 9.321790 -2.128210 -0.003160 0.087855
11.50 9.439360 -2.060640 -0.008280 0.088619
11.55 9.556030 -1.993970 -0.012076 0.086943
11.60 9.670902 -1.929098 -0.015427 0.086410
11.65 9.782950 -1.867050 -0.020216 0.086889
11.70 9.891071 -1.808929 -0.020998 0.087303
11.75 9.994140 -1.755860 -0.024836 0.085534
11.80 10.091079 -1.708921 -0.023558 0.081971
11.85 10.180930 -1.669070 -0.020981 0.078199
11.90 10.262924 -1.637076 -0.017346 0.073173
11.95 10.336538 -1.613462 -0.014617 0.068716
12.00 10.401537 -1.598463 -0.010931 0.061912
12.05 10.457992 -1.592008 -0.005902 0.055424
12.10 10.506273 -1.593727 0.000515 0.050866
12.15 10.547024 -1.602976 0.007113 0.044862
12.20 10.581109 -1.618891 0.014686 0.040247
12.25 10.609549 -1.640451 0.022421 0.033599
12.30 10.633453 -1.666547 0.029236 0.028893
12.35 10.653945 -1.696055 0.033341 0.021283
12.40 10.672098 -1.727902 0.037060 0.016039
12.45 10.688884 -1.761116 0.042469 0.009342
12.50 10.705132 -1.794868 0.045800 0.006240
12.55 10.721509 -1.828491 0.047829 0.001780
12.60 10.738512 -1.861488 0.049532 -0.000177
12.65 10.756477 -1.893523 0.050982 0.000183
12.70 10.775594 -1.924406 0.052351 0.000997
12.75 10.795931 -1.954069 0.054676 0.002366
12.80 10.817464 -1.982536 0.057250 0.002124
12.85 10.840103 -2.009897 0.056826 0.003850
12.90 10.863714 -2.036286 0.053533 0.006937
12.95 10.888147 -2.061853 0.050799 0.009130
13.00 10.913246 -2.086754 0.047321 0.011037
13.05 10.938866 -2.111134 0.045821 0.011916
13.10 10.964875 -2.135125 0.043638 0.014346
13.15 10.991164 -2.158836 0.041584 0.015931
13.20 11.017644 -2.182356 0.039368 0.017091
13.25 11.044244 -2.205756 0.037342 0.018648
13.30 11.070914 -2.229086 0.034686 0.020680
13.35 11.097617 -2.252383 0.031950 0.023358
13.40 11.124327 -2.275673 0.028542 0.025632
13.45 11.151029 -2.298971 0.026349 0.028653
13.50 11.177713 -2.322287 0.022143 0.029496
13.55 11.204375 -2.345625 0.018185 0.031942
13.60 11.231013 -2.368987 0.016367 0.034649
13.65 11.257629 -2.392371 0.014797 0.036554
13.70 11.284222 -2.415778 0.012795 0.039125
13.75 11.310797 -2.439203 0.011190 0.042216
13.80 11.337354 -2.462646 0.009133 0.044894
13.85 11.363897 -2.486103 0.007840 0.047388
13.90 11.390427 -2.509573 0.007668 0.050242
13.95 11.416947 -2.533053 0.005876 0.053513
14.00 11.443458 -2.556542 0.004497 0.056419
14.05 11.469961 -2.580039 0.004379 0.059572
14.10 11.496458 -2.603542 0.004174 0.062131
14.15 11.522950 -2.627050 0.003412 0.064996
14.20 11.549438 -2.650562 0.002144 0.069452
14.25 11.575922 -2.674078 0.000738 0.072224
14.30 11.602403 -2.697597 0.000000 0.075852
