#Log10(Mpeak/Msun) Log10(Median_SM/Msun) Log10(Median_SM/Mpeak) Err+(dex) Err-(dex)
#Mpeak: peak historical halo mass, using Bryan & Norman virial overdensity.
#Best fit chi^2: 177.876282
10.00 6.074721 -3.925279 0.043326 0.207722
10.05 6.182514 -3.867486 0.040454 0.200558
10.10 6.290301 -3.809699 0.037427 0.192013
10.15 6.398080 -3.751920 0.033600 0.190382
10.20 6.505852 -3.694148 0.030221 0.186728
10.25 6.613615 -3.636385 0.029030 0.182376
10.30 6.721369 -3.578631 0.022605 0.176816
10.35 6.829113 -3.520887 0.019506 0.172221
10.40 6.936849 -3.463151 0.017192 0.165117
10.45 7.044580 -3.405420 0.014014 0.158130
10.50 7.152310 -3.347690 0.011301 0.151735
10.55 7.260048 -3.289952 0.009903 0.147004
10.60 7.367808 -3.232192 0.006238 0.140016
10.65 7.475610 -3.174390 0.003244 0.130908
10.70 7.583484 -3.116516 0.001402 0.130915
10.75 7.691469 -3.058531 0.000856 0.124951
10.80 7.799620 -3.000380 0.002332 0.122201
10.85 7.908003 -2.941997 0.004461 0.116479
10.90 8.016705 -2.883295 0.003771 0.111311
10.95 8.125826 -2.824174 0.001150 0.100166
11.00 8.235485 -2.764515 0.002563 0.096998
11.05 8.345809 -2.704191 0.003160 0.094820
11.10 8.456934 -2.643066 0.000383 0.093051
11.15 8.568989 -2.581011 0.000574 0.091650
11.20 8.682087 -2.517913 0.001026 0.092440
11.25 8.796304 -2.453696 0.000463 0.090923
11.30 8.911664 -2.388336 0.000000 0.090678
11.35 9.028111 -2.321889 -0.002963 0.089410
11.40 9.145495 -2.254505 -0.005987 0.090971
11.45 9.263542 -2.186458 -0.009199 0.092902
11.50 9.381844 -2.118156 -0.016069 0.091891
11.55 9.499847 -2.050153 -0.022164 0.090320
11.60 9.616851 -1.983149 -0.024406 0.091454
11.65 9.732022 -1.917978 -0.027163 0.087630
11.70 9.844411 -1.855589 -0.027924 0.087176
11.75 9.952998 -1.797002 -0.029115 0.086173
11.80 10.056731 -1.743269 -0.028442 0.084589
11.85 10.154590 -1.695410 -0.027154 0.082396
11.90 10.245646 -1.654354 -0.022991 0.076432
11.95 10.329118 -1.620882 -0.020288 0.072343
12.00 10.404432 -1.595568 -0.015908 0.064973
12.05 10.471258 -1.578742 -0.013477 0.060399
12.10 10.529539 -1.570461 -0.007428 0.051443
12.15 10.579491 -1.570509 -0.001721 0.043630
12.20 10.621588 -1.578412 0.003272 0.037784
12.25 10.656530 -1.593470 0.010616 0.032265
12.30 10.685191 -1.614809 0.018078 0.026896
12.35 10.708560 -1.641440 0.023168 0.024276
12.40 10.727682 -1.672318 0.029278 0.020164
12.45 10.743597 -1.706403 0.034258 0.018267
12.50 10.757290 -1.742710 0.040433 0.016813
12.55 10.769647 -1.780353 0.043116 0.014145
12.60 10.781426 -1.818574 0.045198 0.014956
12.65 10.793244 -1.856756 0.048430 0.013138
12.70 10.805570 -1.894430 0.051779 0.013178
12.75 10.818733 -1.931267 0.048006 0.012810
12.80 10.832932 -1.967068 0.047798 0.016134
12.85 10.848262 -2.001738 0.045108 0.017681
12.90 10.864729 -2.035271 0.042856 0.019424
12.95 10.882276 -2.067724 0.039354 0.023148
13.00 10.900804 -2.099196 0.035685 0.027025
13.05 10.920189 -2.129811 0.033482 0.030845
13.10 10.940296 -2.159704 0.029475 0.033969
13.15 10.960993 -2.189007 0.025592 0.037070
13.20 10.982159 -2.217841 0.023922 0.041706
13.25 11.003683 -2.246317 0.020346 0.045090
13.30 11.025474 -2.274526 0.018854 0.051130
13.35 11.047458 -2.302542 0.017565 0.057404
13.40 11.069573 -2.330427 0.015645 0.062378
13.45 11.091776 -2.358224 0.013283 0.070000
13.50 11.114032 -2.385968 0.011120 0.073897
13.55 11.136317 -2.413683 0.010781 0.077560
13.60 11.158616 -2.441384 0.009481 0.085869
13.65 11.180918 -2.469082 0.007195 0.091229
13.70 11.203216 -2.496784 0.005249 0.098943
13.75 11.225506 -2.524494 0.004350 0.106764
13.80 11.247788 -2.552212 0.003244 0.112664
13.85 11.270059 -2.579941 0.000841 0.117653
13.90 11.292322 -2.607678 0.000000 0.123073
13.95 11.314577 -2.635423 0.000125 0.130329
14.00 11.336824 -2.663176 0.000000 0.136820
14.05 11.359064 -2.690936 -0.000946 0.142056
14.10 11.381299 -2.718701 0.000375 0.147292
14.15 11.403530 -2.746470 0.001270 0.152529
14.20 11.425756 -2.774244 0.001328 0.157765
14.25 11.447979 -2.802021 0.000636 0.164200
