#Log10(Mpeak/Msun) Log10(Median_SM/Msun) Log10(Median_SM/Mpeak) Err+(dex) Err-(dex)
#Mpeak: peak historical halo mass, using Bryan & Norman virial overdensity.
#Best fit chi^2: 177.876282
10.00 6.413531 -3.586469 0.002923 0.199424
10.05 6.516135 -3.533865 0.003117 0.191690
10.10 6.618727 -3.481273 0.001309 0.183879
10.15 6.721305 -3.428695 -0.001281 0.178701
10.20 6.823867 -3.376133 -0.004354 0.173336
10.25 6.926410 -3.323590 -0.008136 0.168628
10.30 7.028930 -3.271070 -0.009596 0.162951
10.35 7.131425 -3.218575 -0.010761 0.155749
10.40 7.233892 -3.166108 -0.011948 0.152110
10.45 7.336325 -3.113675 -0.013125 0.143688
10.50 7.438724 -3.061276 -0.013058 0.138298
10.55 7.541084 -3.008916 -0.013278 0.133071
10.60 7.643404 -2.956596 -0.014673 0.128770
10.65 7.745684 -2.904316 -0.014433 0.122381
10.70 7.847925 -2.852075 -0.014728 0.116428
10.75 7.950133 -2.799867 -0.013245 0.112752
10.80 8.052315 -2.747685 -0.013648 0.107395
10.85 8.154481 -2.695519 -0.014010 0.104304
10.90 8.256644 -2.643356 -0.013391 0.099653
10.95 8.358822 -2.591178 -0.010968 0.094505
11.00 8.461030 -2.538970 -0.008455 0.092013
11.05 8.563282 -2.486718 -0.007616 0.088527
11.10 8.665589 -2.434411 -0.003792 0.085237
11.15 8.767947 -2.382053 -0.000230 0.082007
11.20 8.870337 -2.329663 0.002244 0.079038
11.25 8.972712 -2.277288 0.004185 0.076147
11.30 9.074993 -2.225007 0.005646 0.072616
11.35 9.177055 -2.172945 0.007092 0.070872
11.40 9.278724 -2.121276 0.008566 0.066945
11.45 9.379765 -2.070235 0.010218 0.063853
11.50 9.479882 -2.020118 0.013188 0.059628
11.55 9.578714 -1.971286 0.013099 0.055773
11.60 9.675841 -1.924159 0.015720 0.052214
11.65 9.770793 -1.879207 0.016687 0.045244
11.70 9.863065 -1.836935 0.019945 0.041193
11.75 9.952137 -1.797863 0.023148 0.038271
11.80 10.037499 -1.762501 0.024153 0.033744
11.85 10.118680 -1.731320 0.026497 0.030100
11.90 10.195271 -1.704729 0.029629 0.026214
11.95 10.266956 -1.683044 0.030666 0.026084
12.00 10.333530 -1.666470 0.032188 0.023499
12.05 10.394913 -1.655087 0.032939 0.021730
12.10 10.451157 -1.648843 0.032684 0.018840
12.15 10.502442 -1.647558 0.031181 0.016848
12.20 10.549061 -1.650939 0.029909 0.014979
12.25 10.591406 -1.658594 0.029154 0.013406
12.30 10.629936 -1.670064 0.027082 0.012804
12.35 10.665156 -1.684844 0.026286 0.011797
12.40 10.697586 -1.702414 0.024544 0.012146
12.45 10.727735 -1.722265 0.024128 0.012626
12.50 10.756083 -1.743917 0.023990 0.014918
12.55 10.783061 -1.766939 0.024112 0.015578
12.60 10.809043 -1.790957 0.023337 0.016783
12.65 10.834340 -1.815660 0.023194 0.018576
12.70 10.859199 -1.840801 0.022686 0.018432
12.75 10.883806 -1.866194 0.022293 0.019579
12.80 10.908297 -1.891703 0.021762 0.021429
12.85 10.932760 -1.917240 0.020192 0.022382
12.90 10.957246 -1.942754 0.019612 0.024262
12.95 10.981782 -1.968218 0.019206 0.026131
13.00 11.006371 -1.993629 0.018957 0.026999
13.05 11.031009 -2.018991 0.018600 0.028562
13.10 11.055680 -2.044320 0.018156 0.029500
13.15 11.080369 -2.069631 0.017666 0.029942
13.20 11.105059 -2.094941 0.015268 0.030102
13.25 11.129735 -2.120265 0.015443 0.031305
13.30 11.154387 -2.145613 0.015532 0.032010
13.35 11.179007 -2.170993 0.015397 0.032577
13.40 11.203589 -2.196411 0.015536 0.033379
13.45 11.228132 -2.221868 0.015485 0.032709
13.50 11.252634 -2.247366 0.015415 0.033270
13.55 11.277097 -2.272903 0.015516 0.034923
13.60 11.301525 -2.298475 0.016739 0.035139
13.65 11.325919 -2.324081 0.017617 0.036097
13.70 11.350284 -2.349716 0.017216 0.038752
13.75 11.374622 -2.375378 0.017778 0.039670
13.80 11.398938 -2.401062 0.018634 0.041148
13.85 11.423233 -2.426767 0.020243 0.043575
13.90 11.447512 -2.452488 0.020299 0.045624
13.95 11.471777 -2.478223 0.022324 0.047639
14.00 11.496029 -2.503971 0.023901 0.047925
14.05 11.520271 -2.529729 0.024928 0.048205
14.10 11.544505 -2.555495 0.026052 0.048708
14.15 11.568731 -2.581269 0.027009 0.050695
14.20 11.592951 -2.607049 0.028054 0.052017
14.25 11.617166 -2.632834 0.029624 0.053647
14.30 11.641377 -2.658623 0.031230 0.055964
14.35 11.665584 -2.684416 0.031714 0.058840
14.40 11.689789 -2.710211 0.033430 0.061185
14.45 11.713991 -2.736009 0.036153 0.063529
