#Log10(Mpeak/Msun) Log10(Median_SM/Msun) Log10(Median_SM/Mpeak) Err+(dex) Err-(dex)
#Mpeak: peak historical halo mass, using Bryan & Norman virial overdensity.
#Best fit chi^2: 177.876282
10.00 6.323904 -3.676096 0.005991 0.202518
10.05 6.428799 -3.621201 0.002731 0.196297
10.10 6.533683 -3.566317 0.000000 0.189846
10.15 6.638553 -3.511447 -0.001824 0.181903
10.20 6.743406 -3.456594 -0.003953 0.175662
10.25 6.848242 -3.401758 -0.008547 0.170481
10.30 6.953056 -3.346944 -0.011222 0.166813
10.35 7.057848 -3.292152 -0.011742 0.159486
10.40 7.162614 -3.237386 -0.012911 0.152274
10.45 7.267354 -3.182646 -0.013016 0.145459
10.50 7.372067 -3.127933 -0.013515 0.140597
10.55 7.476756 -3.073244 -0.014147 0.135815
10.60 7.581426 -3.018574 -0.011373 0.127915
10.65 7.686084 -2.963916 -0.010623 0.122011
10.70 7.790744 -2.909256 -0.011561 0.117035
10.75 7.895423 -2.854577 -0.013232 0.111122
10.80 8.000146 -2.799854 -0.013577 0.108282
10.85 8.104943 -2.745057 -0.009971 0.104190
10.90 8.209851 -2.690149 -0.010925 0.100885
10.95 8.314911 -2.635089 -0.007951 0.097697
11.00 8.420166 -2.579834 -0.003887 0.093394
11.05 8.525656 -2.524344 -0.003847 0.091662
11.10 8.631412 -2.468588 -0.000504 0.088569
11.15 8.737449 -2.412551 0.001493 0.086141
11.20 8.843754 -2.356246 0.003262 0.085009
11.25 8.950278 -2.299722 0.005232 0.083186
11.30 9.056920 -2.243080 0.007182 0.079199
11.35 9.163518 -2.186482 0.007665 0.076530
11.40 9.269837 -2.130163 0.008148 0.072566
11.45 9.375564 -2.074436 0.008000 0.068163
11.50 9.480300 -2.019700 0.008769 0.064533
11.55 9.583568 -1.966432 0.008407 0.062108
11.60 9.684819 -1.915181 0.009527 0.055779
11.65 9.783449 -1.866551 0.011534 0.052167
11.70 9.878822 -1.821178 0.014497 0.047645
11.75 9.970300 -1.779700 0.017029 0.041860
11.80 10.057278 -1.742722 0.022261 0.037267
11.85 10.139217 -1.710783 0.025149 0.032175
11.90 10.215681 -1.684319 0.027408 0.026435
11.95 10.286362 -1.663638 0.028626 0.023228
12.00 10.351107 -1.648893 0.031549 0.019341
12.05 10.409922 -1.640078 0.036000 0.014562
12.10 10.462979 -1.637021 0.036810 0.009393
12.15 10.510597 -1.639403 0.038169 0.006532
12.20 10.553224 -1.646776 0.039051 0.004787
12.25 10.591407 -1.658593 0.039008 0.002565
12.30 10.625756 -1.674244 0.039420 0.000906
12.35 10.656910 -1.693090 0.038634 0.000126
12.40 10.685503 -1.714497 0.039107 -0.000734
12.45 10.712135 -1.737865 0.040513 -0.000341
12.50 10.737347 -1.762653 0.040212 0.001689
12.55 10.761612 -1.788388 0.041857 0.003072
12.60 10.785318 -1.814682 0.041768 0.004298
12.65 10.808771 -1.841229 0.042327 0.007472
12.70 10.832199 -1.867801 0.042210 0.007778
12.75 10.855757 -1.894243 0.039429 0.011069
12.80 10.879540 -1.920460 0.038136 0.015734
12.85 10.903595 -1.946405 0.036800 0.017740
12.90 10.927930 -1.972070 0.034625 0.020734
12.95 10.952528 -1.997472 0.032292 0.023870
13.00 10.977359 -2.022641 0.030859 0.024769
13.05 11.002379 -2.047621 0.028173 0.026780
13.10 11.027548 -2.072452 0.027695 0.029695
13.15 11.052824 -2.097176 0.025755 0.031339
13.20 11.078170 -2.121830 0.021558 0.033289
13.25 11.103558 -2.146442 0.020582 0.035116
13.30 11.128964 -2.171036 0.018803 0.036810
13.35 11.154369 -2.195631 0.017322 0.039759
13.40 11.179762 -2.220238 0.017311 0.041372
13.45 11.205135 -2.244865 0.016257 0.043378
13.50 11.230484 -2.269516 0.014862 0.046162
13.55 11.255806 -2.294194 0.013420 0.048054
13.60 11.281101 -2.318899 0.013343 0.049225
13.65 11.306372 -2.343628 0.012333 0.052927
13.70 11.331620 -2.368380 0.011272 0.056960
13.75 11.356847 -2.393153 0.011089 0.060637
13.80 11.382055 -2.417945 0.011670 0.063401
13.85 11.407249 -2.442751 0.012022 0.066655
13.90 11.432428 -2.467572 0.012718 0.070345
13.95 11.457596 -2.492404 0.013093 0.074141
14.00 11.482754 -2.517246 0.012861 0.075748
14.05 11.507904 -2.542096 0.013851 0.078569
14.10 11.533046 -2.566954 0.015406 0.082268
14.15 11.558183 -2.591817 0.015006 0.086084
14.20 11.583316 -2.616684 0.015008 0.089812
14.25 11.608444 -2.641556 0.015397 0.093514
14.30 11.633568 -2.666432 0.015788 0.096009
14.35 11.658690 -2.691310 0.016180 0.098539
14.40 11.683810 -2.716190 0.016572 0.100232
