#Log10(Mpeak/Msun) Log10(Median_SM/Msun) Log10(Median_SM/Mpeak) Err+(dex) Err-(dex)
#Mpeak: peak historical halo mass, using Bryan & Norman virial overdensity.
#Best fit chi^2: 177.876282
10.00 6.533348 -3.466652 0.017288 0.204097
10.05 6.632549 -3.417451 0.014674 0.197424
10.10 6.731740 -3.368260 0.012419 0.190174
10.15 6.830918 -3.319082 0.011660 0.181845
10.20 6.930081 -3.269919 0.007376 0.177444
10.25 7.029226 -3.220774 0.004181 0.172312
10.30 7.128351 -3.171649 0.002790 0.165933
10.35 7.227452 -3.122548 0.001416 0.160526
10.40 7.326524 -3.073476 0.000000 0.154391
10.45 7.425563 -3.024437 0.000000 0.149149
10.50 7.524565 -2.975435 -0.002016 0.145821
10.55 7.623523 -2.926477 -0.003149 0.141559
10.60 7.722432 -2.877568 -0.006158 0.137710
10.65 7.821286 -2.828714 -0.007101 0.133022
10.70 7.920080 -2.779920 -0.009170 0.126687
10.75 8.018807 -2.731193 -0.011069 0.121040
10.80 8.117462 -2.682538 -0.011931 0.114047
10.85 8.216041 -2.633959 -0.014791 0.108946
10.90 8.314540 -2.585460 -0.016363 0.103186
10.95 8.412954 -2.537046 -0.015166 0.097624
11.00 8.511279 -2.488721 -0.012664 0.092627
11.05 8.609509 -2.440491 -0.012451 0.089790
11.10 8.707635 -2.392365 -0.010279 0.086474
11.15 8.805641 -2.344359 -0.005861 0.083439
11.20 8.903502 -2.296498 -0.003035 0.079798
11.25 9.001179 -2.248821 0.000020 0.077943
11.30 9.098614 -2.201386 0.002654 0.074342
11.35 9.195724 -2.154276 0.004703 0.070844
11.40 9.292393 -2.107607 0.006481 0.068363
11.45 9.388470 -2.061530 0.008384 0.064447
11.50 9.483761 -2.016239 0.010147 0.061342
11.55 9.578028 -1.971972 0.011241 0.056984
11.60 9.670986 -1.929014 0.010880 0.054600
11.65 9.762307 -1.887693 0.014862 0.051330
11.70 9.851625 -1.848375 0.016248 0.048363
11.75 9.938548 -1.811452 0.017443 0.048708
11.80 10.022670 -1.777330 0.019100 0.048977
11.85 10.103593 -1.746407 0.019479 0.045946
11.90 10.180938 -1.719062 0.019081 0.044395
11.95 10.254375 -1.695625 0.020954 0.046478
12.00 10.323638 -1.676362 0.020865 0.043660
12.05 10.388543 -1.661457 0.020424 0.043539
12.10 10.448997 -1.651003 0.019356 0.046079
12.15 10.505010 -1.644990 0.017329 0.047229
12.20 10.556690 -1.643310 0.014824 0.047038
12.25 10.604236 -1.645764 0.012157 0.048368
12.30 10.647927 -1.652073 0.010318 0.051335
12.35 10.688103 -1.661897 0.009423 0.050985
12.40 10.725146 -1.674854 0.008074 0.050764
12.45 10.759460 -1.690540 0.007454 0.050451
12.50 10.791447 -1.708553 0.007487 0.051865
12.55 10.821497 -1.728503 0.006621 0.053894
12.60 10.849969 -1.750031 0.006460 0.053620
12.65 10.877185 -1.772815 0.006131 0.053494
12.70 10.903420 -1.796580 0.007668 0.055164
12.75 10.928906 -1.821094 0.007639 0.054168
12.80 10.953829 -1.846171 0.007593 0.052777
12.85 10.978334 -1.871666 0.008877 0.052325
12.90 11.002529 -1.897471 0.009773 0.050423
12.95 11.026495 -1.923505 0.010661 0.050942
13.00 11.050284 -1.949716 0.011333 0.049805
13.05 11.073933 -1.976067 0.011871 0.048046
13.10 11.097467 -2.002533 0.012494 0.046964
13.15 11.120897 -2.029103 0.013419 0.046754
13.20 11.144234 -2.055766 0.014703 0.046293
13.25 11.167483 -2.082517 0.015690 0.046078
13.30 11.190648 -2.109352 0.016592 0.045497
13.35 11.213733 -2.136267 0.019383 0.045839
13.40 11.236743 -2.163257 0.022153 0.045994
13.45 11.259682 -2.190318 0.024698 0.043203
13.50 11.282555 -2.217445 0.027360 0.041260
13.55 11.305369 -2.244631 0.029192 0.039217
13.60 11.328129 -2.271871 0.031916 0.037616
13.65 11.350841 -2.299159 0.033808 0.036378
13.70 11.373510 -2.326490 0.036017 0.035656
13.75 11.396143 -2.353857 0.039276 0.036056
13.80 11.418743 -2.381257 0.042944 0.034880
13.85 11.441316 -2.408684 0.046614 0.033821
13.90 11.463865 -2.436135 0.049209 0.033535
13.95 11.486394 -2.463606 0.052012 0.033626
14.00 11.508906 -2.491094 0.053984 0.032298
14.05 11.531403 -2.518597 0.058500 0.032891
14.10 11.553888 -2.546112 0.061731 0.032922
14.15 11.576363 -2.573637 0.064580 0.033037
14.20 11.598830 -2.601170 0.068172 0.034056
14.25 11.621289 -2.628711 0.071607 0.035075
14.30 11.643742 -2.656258 0.074822 0.034882
14.35 11.666190 -2.683810 0.077794 0.036372
14.40 11.688634 -2.711366 0.080993 0.037012
14.45 11.711074 -2.738926 0.084021 0.037901
14.50 11.733511 -2.766489 0.087383 0.038084
