#Log10(Mpeak/Msun) Log10(Median_SM/Msun) Log10(Median_SM/Mpeak) Err+(dex) Err-(dex)
#Mpeak: peak historical halo mass, using Bryan & Norman virial overdensity.
#Best fit chi^2: 177.876282
10.00 6.253052 -3.746948 0.012759 0.201708
10.05 6.359439 -3.690561 0.008123 0.194508
10.10 6.465815 -3.634185 0.004281 0.188196
10.15 6.572178 -3.577822 0.001041 0.182543
10.20 6.678526 -3.521474 0.000380 0.179750
10.25 6.784858 -3.465142 -0.002445 0.173725
10.30 6.891172 -3.408828 -0.006452 0.172258
10.35 6.997466 -3.352534 -0.006833 0.166504
10.40 7.103741 -3.296259 -0.007088 0.159596
10.45 7.209998 -3.240002 -0.007720 0.153330
10.50 7.316239 -3.183761 -0.009655 0.147385
10.55 7.422473 -3.127527 -0.007515 0.142617
10.60 7.528709 -3.071291 -0.007368 0.135954
10.65 7.634963 -3.015037 -0.006538 0.130458
10.70 7.741261 -2.958739 -0.007154 0.129280
10.75 7.847631 -2.902369 -0.006797 0.119137
10.80 7.954116 -2.845884 -0.006370 0.113367
10.85 8.060765 -2.789235 -0.005701 0.107808
10.90 8.167637 -2.732363 -0.006660 0.104467
10.95 8.274798 -2.675202 -0.003280 0.101751
11.00 8.382318 -2.617682 -0.003144 0.098886
11.05 8.490264 -2.559736 -0.002236 0.096382
11.10 8.598692 -2.501308 -0.000200 0.094332
11.15 8.707640 -2.442360 -0.000303 0.092665
11.20 8.817111 -2.382889 0.001789 0.091125
11.25 8.927059 -2.322941 0.002975 0.089442
11.30 9.037379 -2.262621 0.003218 0.087044
11.35 9.147886 -2.202114 0.001277 0.084810
11.40 9.258305 -2.141695 0.001807 0.081982
11.45 9.368264 -2.081736 0.003563 0.078444
11.50 9.477289 -2.022711 0.005493 0.075433
11.55 9.584807 -1.965193 0.004170 0.071789
11.60 9.690162 -1.909838 0.000864 0.066963
11.65 9.792633 -1.857367 0.002275 0.062256
11.70 9.891466 -1.808534 0.002794 0.057076
11.75 9.985910 -1.764090 0.007475 0.051716
11.80 10.075257 -1.724743 0.011084 0.047308
11.85 10.158890 -1.691110 0.015505 0.040331
11.90 10.236316 -1.663684 0.018586 0.032100
11.95 10.307206 -1.642794 0.019520 0.026182
12.00 10.371415 -1.628585 0.022683 0.020120
12.05 10.428991 -1.621009 0.026377 0.015458
12.10 10.480178 -1.619822 0.030280 0.011961
12.15 10.525389 -1.624611 0.033102 0.008131
12.20 10.565186 -1.634814 0.035683 0.003835
12.25 10.600238 -1.649762 0.039537 0.000585
12.30 10.631279 -1.668721 0.042361 -0.000592
12.35 10.659067 -1.690933 0.043997 -0.000631
12.40 10.684343 -1.715657 0.047286 -0.001141
12.45 10.707800 -1.742200 0.049263 -0.001452
12.50 10.730052 -1.769948 0.049923 -0.001221
12.55 10.751624 -1.798376 0.052972 -0.000237
12.60 10.772937 -1.827063 0.052592 0.001580
12.65 10.794314 -1.855686 0.053733 0.003492
12.70 10.815982 -1.884018 0.051654 0.005703
12.75 10.838085 -1.911915 0.051726 0.010187
12.80 10.860695 -1.939305 0.050004 0.015551
12.85 10.883830 -1.966170 0.046569 0.019381
12.90 10.907471 -1.992529 0.043544 0.022797
12.95 10.931567 -2.018433 0.040758 0.027462
13.00 10.956055 -2.043945 0.039120 0.030897
13.05 10.980866 -2.069134 0.036399 0.034407
13.10 11.005933 -2.094067 0.034417 0.035605
13.15 11.031191 -2.118809 0.029249 0.037771
13.20 11.056587 -2.143413 0.026492 0.041471
13.25 11.082076 -2.167924 0.024220 0.044764
13.30 11.107621 -2.192379 0.022479 0.047405
13.35 11.133195 -2.216805 0.020689 0.049362
13.40 11.158779 -2.241221 0.017449 0.049933
13.45 11.184360 -2.265640 0.016478 0.055113
13.50 11.209928 -2.290072 0.015303 0.060324
13.55 11.235480 -2.314520 0.014621 0.061252
13.60 11.261012 -2.338988 0.012210 0.065178
13.65 11.286525 -2.363475 0.011170 0.068712
13.70 11.312019 -2.387981 0.011319 0.074836
13.75 11.337496 -2.412504 0.010144 0.081494
13.80 11.362957 -2.437043 0.009823 0.086029
13.85 11.388405 -2.461595 0.008367 0.088211
13.90 11.413840 -2.486160 0.008049 0.092085
13.95 11.439266 -2.510734 0.006931 0.096989
14.00 11.464683 -2.535317 0.008216 0.101734
14.05 11.490092 -2.559908 0.008769 0.104372
14.10 11.515496 -2.584504 0.008395 0.108341
14.15 11.540894 -2.609106 0.008053 0.113451
14.20 11.566288 -2.633712 0.008582 0.116691
14.25 11.591679 -2.658321 0.008678 0.120864
14.30 11.617067 -2.682933 0.008775 0.125035
14.35 11.642452 -2.707548 0.008874 0.129205
