#Log10(Mpeak/Msun) Log10(Median_SM/Msun) Log10(Median_SM/Mpeak) Err+(dex) Err-(dex)
#Mpeak: peak historical halo mass, using Bryan & Norman virial overdensity.
#Best fit chi^2: 177.876282
10.00 6.147236 -3.852764 0.028782 0.215104
10.05 6.254996 -3.795004 0.027871 0.206877
10.10 6.362746 -3.737254 0.026774 0.198488
10.15 6.470487 -3.679513 0.024245 0.192241
10.20 6.578217 -3.621783 0.017306 0.187187
10.25 6.685935 -3.564065 0.014773 0.183607
10.30 6.793640 -3.506360 0.011427 0.177063
10.35 6.901333 -3.448667 0.008389 0.171994
10.40 7.009014 -3.390986 0.007123 0.169253
10.45 7.116688 -3.333312 0.004589 0.161849
10.50 7.224361 -3.275639 0.001953 0.154782
10.55 7.332044 -3.217956 0.004632 0.146999
10.60 7.439754 -3.160246 0.006997 0.146476
10.65 7.547515 -3.102485 0.003263 0.141502
10.70 7.655360 -3.044640 0.001563 0.135578
10.75 7.763335 -2.986665 -0.001247 0.129802
10.80 7.871498 -2.928502 -0.001627 0.124100
10.85 7.979922 -2.870078 0.000000 0.115925
10.90 8.088693 -2.811307 0.000027 0.107101
10.95 8.197912 -2.752088 -0.000349 0.105218
11.00 8.307688 -2.692312 0.000311 0.100922
11.05 8.418134 -2.631866 0.001032 0.098366
11.10 8.529359 -2.570641 0.000376 0.094718
11.15 8.641452 -2.508548 0.000234 0.094451
11.20 8.754471 -2.445529 0.002187 0.092766
11.25 8.868423 -2.381577 0.002019 0.091690
11.30 8.983246 -2.316754 0.000410 0.090164
11.35 9.098784 -2.251216 -0.003687 0.088838
11.40 9.214778 -2.185222 -0.006586 0.089027
11.45 9.330843 -2.119157 -0.008188 0.089358
11.50 9.446463 -2.053537 -0.012586 0.089354
11.55 9.560994 -1.989006 -0.014628 0.088149
11.60 9.673673 -1.926327 -0.017530 0.085474
11.65 9.783636 -1.866364 -0.016041 0.080455
11.70 9.889957 -1.810043 -0.016461 0.078436
11.75 9.991690 -1.758310 -0.015321 0.074767
11.80 10.087917 -1.712083 -0.012768 0.069704
11.85 10.177807 -1.672193 -0.010427 0.065914
11.90 10.260667 -1.639333 -0.005370 0.058174
11.95 10.335988 -1.614012 -0.001949 0.049488
12.00 10.403485 -1.596515 -0.000336 0.041279
12.05 10.463116 -1.586884 0.004265 0.032707
12.10 10.515083 -1.584917 0.008652 0.027152
12.15 10.559821 -1.590179 0.015092 0.021032
12.20 10.597964 -1.602036 0.020512 0.016811
12.25 10.630302 -1.619698 0.026102 0.012845
12.30 10.657729 -1.642271 0.030286 0.011132
12.35 10.681187 -1.668813 0.037031 0.006251
12.40 10.701615 -1.698385 0.043976 0.005498
12.45 10.719901 -1.730099 0.047256 0.004424
12.50 10.736848 -1.763152 0.050879 0.004293
12.55 10.753142 -1.796858 0.055317 0.002402
12.60 10.769344 -1.830656 0.057251 0.001996
12.65 10.785882 -1.864118 0.058131 0.003020
12.70 10.803060 -1.896940 0.058562 0.007402
12.75 10.821066 -1.928934 0.056691 0.010432
12.80 10.839992 -1.960008 0.052735 0.013789
12.85 10.859854 -1.990146 0.051217 0.015975
12.90 10.880608 -2.019392 0.050813 0.017882
12.95 10.902175 -2.047825 0.047347 0.023701
13.00 10.924450 -2.075550 0.043167 0.028390
13.05 10.947322 -2.102678 0.039130 0.033370
13.10 10.970678 -2.129322 0.035260 0.036831
13.15 10.994415 -2.155585 0.033333 0.041210
13.20 11.018441 -2.181559 0.030078 0.044052
13.25 11.042678 -2.207322 0.026743 0.048941
13.30 11.067064 -2.232936 0.022789 0.054182
13.35 11.091548 -2.258452 0.019917 0.056695
13.40 11.116094 -2.283906 0.015525 0.059893
13.45 11.140674 -2.309326 0.012435 0.064905
13.50 11.165269 -2.334731 0.011370 0.067976
13.55 11.189866 -2.360134 0.009865 0.076982
13.60 11.214458 -2.385542 0.007817 0.081254
13.65 11.239040 -2.410960 0.006848 0.086467
13.70 11.263609 -2.436391 0.006399 0.093296
13.75 11.288166 -2.461834 0.005746 0.097989
13.80 11.312710 -2.487290 0.004890 0.102469
13.85 11.337243 -2.512757 0.004568 0.111196
13.90 11.361765 -2.538235 0.002427 0.117290
13.95 11.386279 -2.563721 0.002141 0.126018
14.00 11.410785 -2.589215 0.000945 0.129611
14.05 11.435284 -2.614716 0.001300 0.132612
14.10 11.459778 -2.640222 0.001783 0.138510
14.15 11.484267 -2.665733 0.001869 0.143388
14.20 11.508753 -2.691247 0.002635 0.153971
14.25 11.533235 -2.716765 0.000647 0.162811
14.30 11.557714 -2.742286 0.000000 0.170907
