#Log10(Mpeak/Msun) Log10(Median_SM/Msun) Log10(Median_SM/Mpeak) Err+(dex) Err-(dex)
#Mpeak: peak historical halo mass, using Bryan & Norman virial overdensity.
#Best fit chi^2: 156.438889
10.00 6.436048 -3.563952 -0.023850 0.217254
10.05 6.537570 -3.512430 -0.023857 0.211388
10.10 6.639078 -3.460922 -0.024306 0.203388
10.15 6.740570 -3.409430 -0.024754 0.198178
10.20 6.842042 -3.357958 -0.026352 0.190057
10.25 6.943492 -3.306508 -0.026671 0.181302
10.30 7.044915 -3.255085 -0.026073 0.174553
10.35 7.146307 -3.203693 -0.025496 0.170914
10.40 7.247664 -3.152336 -0.024299 0.163533
10.45 7.348980 -3.101020 -0.023101 0.157247
10.50 7.450249 -3.049751 -0.022065 0.152348
10.55 7.551467 -2.998533 -0.021639 0.148191
10.60 7.652630 -2.947370 -0.021414 0.141443
10.65 7.753734 -2.896266 -0.021261 0.133473
10.70 7.854777 -2.845223 -0.018620 0.122004
10.75 7.955763 -2.794237 -0.017439 0.113179
10.80 8.056696 -2.743304 -0.016657 0.111863
10.85 8.157588 -2.692412 -0.017087 0.106853
10.90 8.258455 -2.641545 -0.013645 0.100689
10.95 8.359320 -2.590680 -0.011512 0.096909
11.00 8.460211 -2.539789 -0.009153 0.092833
11.05 8.561160 -2.488840 -0.007634 0.087538
11.10 8.662201 -2.437799 -0.003317 0.083306
11.15 8.763361 -2.386639 -0.000590 0.077852
11.20 8.864658 -2.335342 0.002069 0.073991
11.25 8.966088 -2.283912 0.005462 0.070450
11.30 9.067613 -2.232387 0.008505 0.068598
11.35 9.169155 -2.180845 0.009466 0.065453
11.40 9.270573 -2.129427 0.011641 0.061271
11.45 9.371662 -2.078338 0.013147 0.056751
11.50 9.472136 -2.027864 0.013933 0.054571
11.55 9.571629 -1.978371 0.015309 0.049585
11.60 9.669694 -1.930306 0.018494 0.045445
11.65 9.765812 -1.884188 0.019255 0.041520
11.70 9.859409 -1.840591 0.020278 0.037997
11.75 9.949881 -1.800119 0.021834 0.034233
11.80 10.036626 -1.763374 0.023104 0.031957
11.85 10.119075 -1.730925 0.024337 0.030690
11.90 10.196732 -1.703268 0.026471 0.028754
11.95 10.269208 -1.680792 0.026479 0.028089
12.00 10.336247 -1.663753 0.025806 0.025847
12.05 10.397745 -1.652255 0.025581 0.024122
12.10 10.453760 -1.646240 0.025140 0.023048
12.15 10.504504 -1.645496 0.023232 0.021644
12.20 10.550332 -1.649668 0.020999 0.020982
12.25 10.591713 -1.658287 0.021046 0.020822
12.30 10.629197 -1.670803 0.020643 0.022119
12.35 10.663381 -1.686619 0.020340 0.020898
12.40 10.694872 -1.705128 0.020265 0.020424
12.45 10.724255 -1.725745 0.020906 0.018417
12.50 10.752066 -1.747934 0.021618 0.018743
12.55 10.778776 -1.771224 0.023266 0.018851
12.60 10.804773 -1.795227 0.023189 0.018236
12.65 10.830368 -1.819632 0.023325 0.018145
12.70 10.855787 -1.844213 0.023947 0.019347
12.75 10.881188 -1.868812 0.024618 0.019252
12.80 10.906667 -1.893333 0.026139 0.020730
12.85 10.932273 -1.917727 0.027720 0.022339
12.90 10.958016 -1.941984 0.028627 0.022004
12.95 10.983885 -1.966115 0.029075 0.020506
13.00 11.009855 -1.990145 0.029146 0.021135
13.05 11.035893 -2.014107 0.028923 0.020305
13.10 11.061965 -2.038035 0.028429 0.019926
13.15 11.088044 -2.061956 0.027444 0.021065
13.20 11.114103 -2.085897 0.027164 0.022329
13.25 11.140125 -2.109875 0.026387 0.022156
13.30 11.166097 -2.133903 0.026664 0.022611
13.35 11.192013 -2.157987 0.026559 0.021236
13.40 11.217869 -2.182131 0.026499 0.021723
13.45 11.243665 -2.206335 0.025689 0.021451
13.50 11.269404 -2.230596 0.025482 0.020650
13.55 11.295091 -2.254909 0.024318 0.022312
13.60 11.320730 -2.279270 0.024169 0.022277
13.65 11.346327 -2.303673 0.024091 0.022010
13.70 11.371887 -2.328113 0.023642 0.021974
13.75 11.397414 -2.352586 0.023436 0.023313
13.80 11.422913 -2.377087 0.022973 0.023652
13.85 11.448389 -2.401611 0.024488 0.024808
13.90 11.473845 -2.426155 0.025953 0.024338
13.95 11.499283 -2.450717 0.026097 0.025836
14.00 11.524707 -2.475293 0.026561 0.027757
14.05 11.550119 -2.499881 0.026220 0.028492
14.10 11.575521 -2.524479 0.026991 0.028091
14.15 11.600914 -2.549086 0.028152 0.028164
14.20 11.626300 -2.573700 0.029314 0.029785
14.25 11.651680 -2.598320 0.030477 0.030127
14.30 11.677055 -2.622945 0.031570 0.031428
14.35 11.702425 -2.647575 0.033038 0.032010
14.40 11.727792 -2.672208 0.034187 0.033472
14.45 11.753156 -2.696844 0.035614 0.034109
