#lMVirlo lMVirhi Rvirlo Rvirhi DM DMerrlo DMerrhi
11.0 12.0 0.0 1.0 71 53 53
11.0 12.0 1.0 1.5 87 48 48
11.0 12.0 1.5 2.0 41 43 43
12.0 13.0 0.0 1.0 69 49 49
12.0 13.0 1.0 1.5 0.0001 47 39
12.0 13.0 1.5 2.0 37 35 35
