#R(kpc),Ravg/Rvir,yavg,ymedian,yavgshft,yerr,"Ysum, avg","Ysum, med"
9.91083,0.03964,-3.61E-08,1.60E-07,-7.61E-08,2.56E-07,0,1.34E-04
27.77833,0.11111,6.04E-07,6.33E-07,5.64E-07,1.61E-07,0.0017,0.00193
44.87458,0.1795,5.20E-07,4.14E-07,4.80E-07,1.43E-07,0.0041,0.00382
63.33917,0.25336,3.93E-07,5.34E-07,3.53E-07,1.14E-07,0.00663,0.00741
81.45125,0.32581,1.36E-07,1.00E-07,9.61E-08,1.05E-07,0.0075,0.00798
100.27979,0.40112,1.09E-07,1.75E-07,6.90E-08,1.00E-07,0.00824,0.00952
117.70458,0.47082,2.35E-07,2.86E-07,1.95E-07,9.61E-08,0.01075,0.01276
135.825,0.5433,8.65E-08,1.26E-07,4.65E-08,8.65E-08,0.01142,0.01411
154.44563,0.61778,1.85E-07,1.89E-07,1.45E-07,8.17E-08,0.01397,0.0168
173.09854,0.69239,2.40E-07,2.15E-07,2.00E-07,7.76E-08,0.01777,0.02019
190.21625,0.76087,1.39E-07,1.31E-07,9.89E-08,7.59E-08,0.01974,0.02207
207.78188,0.83113,1.42E-07,1.57E-07,1.02E-07,7.49E-08,0.02209,0.02488
226.91229,0.90765,1.81E-07,1.28E-07,1.41E-07,7.29E-08,0.02575,0.02722
245.24583,0.98098,1.28E-07,1.17E-07,8.84E-08,6.77E-08,0.0281,0.02936
263.05708,1.05223,1.29E-07,1.26E-07,8.89E-08,6.78E-08,0.03062,0.03191
281.16896,1.12468,1.35E-07,1.75E-07,9.46E-08,6.61E-08,0.03354,0.03626
299.5525,1.19821,7.38E-08,5.49E-08,3.38E-08,6.21E-08,0.03456,0.03677
317.38833,1.26955,3.29E-08,3.89E-08,-7.08E-09,6.10E-08,0.03416,0.03673
335.71188,1.34285,4.53E-08,6.45E-08,5.34E-09,6.07E-08,0.03421,0.03767
353.78708,1.41515,-6.74E-10,-1.94E-08,-4.07E-08,6.12E-08,0.03243,0.0353
371.60125,1.48641,6.50E-10,3.30E-08,-3.93E-08,5.71E-08,0.03059,0.035
390.11188,1.56045,-3.65E-08,2.21E-08,-7.65E-08,5.88E-08,0.02693,0.03419
408.75,1.635,3.85E-09,3.78E-08,-3.61E-08,5.68E-08,0.02508,0.03409
425.96063,1.70384,-2.85E-08,-4.82E-08,-6.85E-08,5.52E-08,0.02163,0.0299
444.25938,1.77704,1.12E-08,-4.47E-08,-2.88E-08,5.38E-08,0.01994,0.02554
462.82375,1.8513,4.10E-08,2.41E-08,9.51E-10,5.35E-08,0.01978,0.0247
480.61167,1.92245,6.41E-08,6.12E-08,2.41E-08,5.17E-08,0.02087,0.02585
498.68292,1.99473,-1.26E-08,-6.17E-08,-5.26E-08,5.29E-08,0.01762,0.02001
517.28667,2.06915,5.71E-08,6.84E-08,1.71E-08,5.03E-08,0.0184,0.02169
535.19021,2.14076,9.67E-08,5.24E-08,5.67E-08,5.16E-08,0.02161,0.02244
553.56292,2.21425,6.72E-08,9.01E-09,2.72E-08,4.96E-08,0.02307,0.02048
571.52833,2.28611,1.58E-07,1.39E-07,1.18E-07,4.82E-08,0.03038,0.02684
589.41688,2.35767,9.87E-08,9.06E-08,5.87E-08,4.75E-08,0.034,0.03019
607.29563,2.42918,4.67E-08,8.83E-08,6.67E-09,4.84E-08,0.03419,0.03361
626.53729,2.50615,9.31E-08,1.23E-07,5.31E-08,4.87E-08,0.03772,0.03954
