#log(M500) nhalo Rlo/R500 Rhi/R500 log(ZFe_50) log(ZFe_16) log(ZFe_84)
13.45 20   0.000  0.100  -0.585 -0.923 -0.296
13.45 20   0.100  0.200  -0.655 -0.839 -0.399
13.45 20   0.200  0.300  -0.724 -0.958 -0.415
13.45 20   0.300  0.400  -0.690 -0.938 -0.551
13.45 20   0.400  0.500  -0.811 -1.088 -0.583
13.45 20   0.500  0.600  -1.137 -1.463 -0.801
13.45 20   0.600  0.700  -0.885 -1.187 -0.583
13.45 20   0.700  0.800  -0.896 -0.896 -0.896
13.45 20   0.800  0.900  -0.464 -0.464 -0.464
#log(M500) nhalo Rlo/R500 Rhi/R500 log(ZFe_50) log(ZFe_16) log(ZFe_84)
13.75 14   0.000  0.100  -0.324 -0.702 -0.111
13.75 14   0.100  0.200  -0.451 -0.786 -0.227
13.75 14   0.200  0.300  -0.465 -0.573 -0.272
13.75 14   0.300  0.400  -0.569 -0.840 -0.288
13.75 14   0.400  0.500  -0.680 -0.725 -0.523
13.75 14   0.500  0.600  -0.729 -0.983 -0.698
13.75 14   0.600  0.700  -0.816 -0.910 -0.616
13.75 14   0.700  0.800  -1.362 -1.796 -0.928
#log(M500) nhalo Rlo/R500 Rhi/R500 log(ZFe_50) log(ZFe_16) log(ZFe_84)
14.14  5   0.000  0.100  -0.620 -1.098 -0.372
14.14  5   0.100  0.200  -0.404 -0.539 -0.299
14.14  5   0.200  0.300  -0.437 -0.576 -0.211
14.14  5   0.300  0.400  -0.557 -0.772 -0.440
14.14  5   0.400  0.500  -0.818 -1.022 -0.557
14.14  5   0.500  0.600  -1.090 -1.090 -1.090
14.14  5   0.600  0.700  -1.099 -1.298 -0.900
14.14  5   0.700  0.800  -1.338 -1.788 -0.888
14.14  5   0.900  1.000  -0.920 -1.020 -0.820
