# R/R500  y_sz  y_sz_err
0.38 6.95e-07 2.00e-07
0.62 4.72e-07 1.39e-07
0.87 2.58e-07 1.08e-07
1.12 2.19e-07 1.25e-07
1.37 2.87e-07 1.23e-07
1.62 3.17e-07 9.86e-08
1.87 2.81e-07 7.00e-08
2.12 1.74e-07 6.13e-08
2.37 1.78e-07 7.88e-08
2.62 1.32e-07 6.40e-08
2.87 5.36e-09 1.01e-07
3.12 3.48e-08 1.08e-07
3.37 6.29e-08 9.26e-08
3.62 4.37e-08 6.20e-08
3.87 7.70e-08 6.61e-08
