#r  ne   nee1  nee2
  -2.0000000097072381       -1.74251962      -2.35815167      -1.10905814    
  -1.9800001225024073       -1.79433072      -2.46630144      -1.42224956    
  -1.9599999993740165       -1.80984664      -2.47604656      -1.44529021    
  -1.9400000929230596       -1.82569933      -2.48775864      -1.47008574    
  -1.9199999686980933       -1.84214950      -2.49967670      -1.49367905    
  -1.9000000539558020       -1.85850263      -2.51157236      -1.51303005    
  -1.8799999370888589       -1.87552142      -2.50114417      -1.52229404    
  -1.8600000053022163       -1.88166082      -2.48792744      -1.56540740    
  -1.8400000939991801       -1.91554821      -2.47765446      -1.58897042    
  -1.8199999774542761       -1.94840193      -2.46711946      -1.61244440    
  -1.8000000784283385       -1.97439504      -2.42504096      -1.63593102    
  -1.7799999690671786       -2.00131202      -2.43048406      -1.65979087    
  -1.7600000539065948       -2.03221703      -2.43765163      -1.68194950    
  -1.7400001153720468       -2.06759501      -2.44016242      -1.69554996    
  -1.7200000991007474       -2.09603882      -2.43769908      -1.70638692    
  -1.7000000805653999       -2.12500167      -2.43472528      -1.71804905    
  -1.6800000848739094       -2.13673496      -2.43333101      -1.73617220    
  -1.6599999549964890       -2.15586066      -2.43301892      -1.79279828    
  -1.6400000374345389       -2.15947223      -2.43313050      -1.75450099    
  -1.6200000057225086       -2.18532443      -2.44559073      -1.83858573    
  -1.5999999869008754       -2.20314169      -2.45836353      -1.85986304    
  -1.5800000847646207       -2.22103381      -2.47108269      -1.88040209    
  -1.5599999635267905       -2.23873544      -2.48443866      -1.90183830    
  -1.5399999504434532       -2.26254749      -2.49865818      -1.92322433    
  -1.5200000359816976       -2.27316499      -2.50968099      -1.94381046    
  -1.5000000233838935       -2.29236841      -2.53775382      -1.96382785    
  -1.4800000175451187       -2.31290793      -2.57726812      -1.98361969    
  -1.4600000679519853       -2.32762361      -2.61837149      -2.00362420    
  -1.4400000588004103       -2.34346080      -2.61977553      -2.02408028    
  -1.4200000594385997       -2.35988045      -2.62261748      -2.04432511    
  -1.4000001620054863       -2.36930871      -2.62612462      -2.06460834    
  -1.3800000118149436       -2.38544321      -2.64130282      -2.08495402    
  -1.3600000240118808       -2.40229988      -2.66558433      -2.10512018    
  -1.3400000941919015       -2.42088294      -2.68953586      -2.12551427    
  -1.3199999563544846       -2.43279028      -2.71493649      -2.14602757    
  -1.2999999470598462       -2.46374655      -2.72397208      -2.16760492    
  -1.2799999380492642       -2.48316574      -2.73009777      -2.19071054    
  -1.2600000149104393       -2.50158381      -2.73523998      -2.21481395    
  -1.2400000055660392       -2.51998973      -2.72460032      -2.24149942    
  -1.2200001000298308       -2.53826404      -2.71112871      -2.27193093    
  -1.2000000576475878       -2.55859900      -2.70883942      -2.30611801    
  -1.1800000660969840       -2.57957649      -2.75051522      -2.34059978    
  -1.1600001453484574       -2.60013318      -2.80410862      -2.36998844    
  -1.1400001279350123       -2.61929893      -2.82804251      -2.39963508    
  -1.1199999941654464       -2.63355970      -2.83756566      -2.43000340    
  -1.1000000038737294       -2.64744139      -2.84699917      -2.45338035    
  -1.0800000917707937       -2.67238641      -2.85698199      -2.47068048    
  -1.0599999785065739       -2.68807650      -2.87592959      -2.48605537    
  -1.0399999388682748       -2.70376992      -2.89756322      -2.50198603    
  -1.0200000174583976       -2.71502495      -2.91829681      -2.51872683    
  -1.0000000258859691       -2.72721004      -2.93841410      -2.53591919    
 -0.97999998344728390       -2.74136472      -2.95787024      -2.55356503    
 -0.96000009528267949       -2.75591612      -2.97822404      -2.57162809    
 -0.94000005769534112       -2.77095151      -2.98896933      -2.59018803    
 -0.92000005616782643       -2.78657985      -3.00217032      -2.60929918    
 -0.90000002182774375       -2.80305052      -3.01868463      -2.63698626    
 -0.88000001072578615       -2.81969690      -3.03459883      -2.66819096    
 -0.86000004632380755       -2.83677769      -3.04983377      -2.69986463    
 -0.84000004922738625       -2.85405135      -3.06461000      -2.72223926    
 -0.82000006831231964       -2.87332630      -3.07836199      -2.74431705    
 -0.80000008863642913       -2.89428782      -3.09260964      -2.76683974    
 -0.77999996906717861       -2.91570234      -3.10938573      -2.78952837    
 -0.76000003528681792       -2.93914199      -3.12814116      -2.81273580    
 -0.73999999089980206       -2.96298432      -3.14570403      -2.83602571    
 -0.72000004815642904       -2.98675776      -3.16825461      -2.85941815    
 -0.70000005623967709       -3.01029587      -3.18754268      -2.88493204    
 -0.68000006164302407       -3.03357506      -3.20577526      -2.91081786    
 -0.66000008071330474       -3.05853200      -3.22396493      -2.93671799    
 -0.63999995974954860       -3.07959294      -3.24139333      -2.96260190    
 -0.62000000572250857       -3.10216665      -3.25858164      -2.98887444    
 -0.60000006419130203       -3.12515092      -3.28002930      -3.01013350    
 -0.58000009091560356       -3.14584255      -3.30720758      -3.03633952    
 -0.56000004576477780       -3.16817951      -3.32818913      -3.06279731    
 -0.54000008507774555       -3.19186544      -3.34396195      -3.08944488    
 -0.51999997705160483       -3.21704674      -3.36070180      -3.11641455    
 -0.50000000291923796       -3.24359012      -3.37794805      -3.14329219    
 -0.48000002731691588       -3.27163267      -3.40525389      -3.17055893    
 -0.46000003995600125       -3.29638386      -3.43297791      -3.19827795    
 -0.44000006771239608       -3.31991863      -3.45425892      -3.22610736    
 -0.42000011050388525       -3.34515762      -3.48614001      -3.25419450    
 -0.40000009698285416       -3.37129951      -3.50568867      -3.28250241    
 -0.38000001181494353       -3.39798450      -3.52576661      -3.31114173    
 -0.36000002401188075       -3.42422915      -3.54959583      -3.34041858    
 -0.34000001632244053       -3.45466423      -3.57937479      -3.37004304    
 -0.32000005100052897       -3.48534751      -3.60964489      -3.40083861    
 -0.30000007618309227       -3.52124786      -3.65905762      -3.42694259    
 -0.28000010452012059       -3.55145645      -3.68725729      -3.45055103    
 -0.25999999724616962       -3.56874442      -3.70542049      -3.47313356    
 -0.24000000556603923       -3.59703231      -3.73866034      -3.51859999    
 -0.22000001410979123       -3.62792253      -3.74737883      -3.55629563    
 -0.20000006790421296       -3.65766263      -3.78857183      -3.58419633    
 -0.18000006609698413       -3.67304182      -3.83955097      -3.61693597    
 -0.16000009857768405       -3.70298076      -3.87080979      -3.63901711    
 -0.13999998500466029       -3.73725724      -3.91212678      -3.67955041    
 -0.11999999416544636       -3.76559615      -3.89266038      -3.68872333    
 -0.10000001202085528       -3.81080437      -3.93987584      -3.74604297    
  -8.0000045088117630E-002  -3.84840012      -3.99247265      -3.76969242    
  -6.0000067669783400E-002  -3.88741636      -4.04885387      -3.79517937    
  -4.0000080785277232E-002  -3.90296888      -4.11141205      -3.71981406    
  -2.0000105552703470E-002  -3.91058350      -4.06427956      -3.74236274    
   0.0000000000000000       -3.94071651      -4.15482904      -3.76586366    
