#log(M500) nhalo log(Rlo/R500) log(Rhi/R500) log(Pe_50) log(Pe_16) log(Pe_84) log(ne_50) log(ne_16) log(ne_84) log(T_50) log(T_16) log(T_84)
13.45 20  -2.000 -1.900  -2.117 -2.257 -1.975  -2.034 -2.119 -1.867  -0.097 -0.188  0.003
13.45 20  -1.900 -1.800  -2.214 -2.363 -2.052  -2.177 -2.267 -1.929  -0.076 -0.161  0.012
13.45 20  -1.800 -1.700  -2.282 -2.480 -2.118  -2.271 -2.400 -2.004  -0.064 -0.147  0.014
13.45 20  -1.700 -1.600  -2.394 -2.623 -2.230  -2.405 -2.543 -2.144  -0.043 -0.145  0.049
13.45 20  -1.600 -1.500  -2.503 -2.689 -2.336  -2.518 -2.677 -2.265  -0.021 -0.124  0.081
13.45 20  -1.500 -1.400  -2.630 -2.871 -2.457  -2.678 -2.802 -2.402  -0.008 -0.103  0.088
13.45 20  -1.400 -1.300  -2.723 -2.989 -2.558  -2.800 -2.916 -2.552   0.007 -0.087  0.093
13.45 20  -1.300 -1.200  -2.810 -3.061 -2.680  -2.887 -3.022 -2.672   0.026 -0.086  0.126
13.45 20  -1.200 -1.100  -2.924 -3.102 -2.800  -2.973 -3.120 -2.819   0.032 -0.084  0.142
13.45 20  -1.100 -1.000  -3.025 -3.182 -2.867  -3.081 -3.170 -2.947   0.031 -0.083  0.152
13.45 20  -1.000 -0.900  -3.096 -3.270 -2.941  -3.173 -3.256 -3.025   0.029 -0.080  0.159
13.45 20  -0.900 -0.800  -3.176 -3.338 -3.046  -3.240 -3.343 -3.109   0.023 -0.051  0.148
13.45 20  -0.800 -0.700  -3.265 -3.396 -3.138  -3.314 -3.424 -3.199   0.038 -0.044  0.120
13.45 20  -0.700 -0.600  -3.346 -3.502 -3.230  -3.390 -3.523 -3.276   0.036 -0.034  0.106
13.45 20  -0.600 -0.500  -3.437 -3.625 -3.328  -3.477 -3.637 -3.355   0.022 -0.039  0.091
13.45 20  -0.500 -0.400  -3.565 -3.779 -3.442  -3.563 -3.766 -3.460  -0.003 -0.058  0.058
13.45 20  -0.400 -0.300  -3.698 -3.926 -3.571  -3.666 -3.877 -3.581  -0.024 -0.098  0.036
13.45 20  -0.300 -0.200  -3.817 -4.051 -3.698  -3.786 -4.014 -3.705  -0.011 -0.122  0.032
13.45 20  -0.200 -0.100  -3.932 -4.049 -3.813  -3.876 -3.992 -3.803  -0.024 -0.109  0.038
13.45 20  -0.100  0.000  -4.046 -4.164 -3.952  -3.968 -4.096 -3.900  -0.074 -0.127 -0.007
13.45 20   0.000  0.100  -4.187 -4.336 -4.100  -4.083 -4.184 -4.014  -0.120 -0.198  0.005
13.45 20   0.100  0.200  -4.209 -4.223 -4.193  -4.140 -4.154 -4.125  -0.060 -0.061 -0.060
#log(M500) nhalo log(Rlo/R500) log(Rhi/R500) log(Pe_50) log(Pe_16) log(Pe_84) log(ne_50) log(ne_16) log(ne_84) log(T_50) log(T_16) log(T_84)
13.75 14  -2.000 -1.900  -2.037 -2.193 -1.840  -2.024 -2.200 -1.887   0.068 -0.043  0.195
13.75 14  -1.900 -1.800  -2.080 -2.283 -1.870  -2.114 -2.327 -1.942   0.060 -0.026  0.206
13.75 14  -1.800 -1.700  -2.160 -2.358 -1.944  -2.237 -2.472 -2.067   0.090  0.023  0.239
13.75 14  -1.700 -1.600  -2.249 -2.422 -2.020  -2.367 -2.592 -2.212   0.131  0.063  0.285
13.75 14  -1.600 -1.500  -2.373 -2.529 -2.087  -2.496 -2.725 -2.324   0.157  0.086  0.318
13.75 14  -1.500 -1.400  -2.461 -2.609 -2.157  -2.604 -2.803 -2.419   0.190  0.110  0.354
13.75 14  -1.400 -1.300  -2.510 -2.672 -2.206  -2.672 -2.846 -2.483   0.215  0.122  0.370
13.75 14  -1.300 -1.200  -2.547 -2.730 -2.268  -2.741 -2.921 -2.590   0.237  0.125  0.382
13.75 14  -1.200 -1.100  -2.589 -2.825 -2.332  -2.839 -3.014 -2.696   0.245  0.131  0.391
13.75 14  -1.100 -1.000  -2.610 -2.912 -2.409  -2.928 -3.102 -2.777   0.248  0.129  0.402
13.75 14  -1.000 -0.900  -2.707 -2.978 -2.490  -3.016 -3.184 -2.855   0.245  0.123  0.436
13.75 14  -0.900 -0.800  -2.788 -3.087 -2.578  -3.084 -3.252 -2.948   0.238  0.113  0.457
