flowobject_from,flowobject_to,classification_from,classification_to,comment,prefixed_id,skos_uri
A01,fi_01,cpa_2008,bonsai,one-to-many correspondence,0379ef92-c9fc-4763-bc02-1a20af70877e,http://www.w3.org/2004/02/skos/core#narrowMatch
A01,fi_02,cpa_2008,bonsai,one-to-many correspondence,060a523b-97f7-4a11-8aab-a867aca4e8a2,http://www.w3.org/2004/02/skos/core#narrowMatch
A01,fi_21429,cpa_2008,bonsai,one-to-many correspondence,6bf528d4-940b-4604-af86-cabfe74b5731,http://www.w3.org/2004/02/skos/core#narrowMatch
A01,fi_86111,cpa_2008,bonsai,one-to-many correspondence,0264a200-d8b1-4c0e-96ce-6be891b67f45,http://www.w3.org/2004/02/skos/core#narrowMatch
A01,fi_86112,cpa_2008,bonsai,one-to-many correspondence,b39da2a8-0d1a-4e0d-81fe-ba275ad5196d,http://www.w3.org/2004/02/skos/core#narrowMatch
A01,fi_86113,cpa_2008,bonsai,one-to-many correspondence,233ee404-785b-449b-b3d8-1f82610f593d,http://www.w3.org/2004/02/skos/core#narrowMatch
A01,fi_86119,cpa_2008,bonsai,one-to-many correspondence,cb01f1d2-14d8-45ae-9f56-d49617970c01,http://www.w3.org/2004/02/skos/core#narrowMatch
A01,fi_8612,cpa_2008,bonsai,one-to-many correspondence,9b466dc8-7e1a-4e0b-af09-0b25cdb2e941,http://www.w3.org/2004/02/skos/core#narrowMatch
A01,fi_86121,cpa_2008,bonsai,one-to-many correspondence,c520e811-a937-4714-816f-dafa5d04910a,http://www.w3.org/2004/02/skos/core#narrowMatch
A01,fi_86122,cpa_2008,bonsai,one-to-many correspondence,ee2898f1-c48a-4a99-80be-762257e4e446,http://www.w3.org/2004/02/skos/core#narrowMatch
A01,fi_8613,cpa_2008,bonsai,one-to-many correspondence,5eecd70a-c90a-49cc-94e4-df050fb92100,http://www.w3.org/2004/02/skos/core#narrowMatch
A01,fi_86131,cpa_2008,bonsai,one-to-many correspondence,e2a7ff05-28cd-451b-943c-b5316a7cfbd2,http://www.w3.org/2004/02/skos/core#narrowMatch
A01,fi_86132,cpa_2008,bonsai,one-to-many correspondence,61152fb7-752f-4a32-8f08-c5bbd63ee373,http://www.w3.org/2004/02/skos/core#narrowMatch
A02,fi_03,cpa_2008,bonsai,one-to-many correspondence,987a62c8-7464-4843-b32f-56e94ac82825,http://www.w3.org/2004/02/skos/core#narrowMatch
A02,fi_86141,cpa_2008,bonsai,one-to-many correspondence,431bac20-46e1-43fa-a025-872d903b35bb,http://www.w3.org/2004/02/skos/core#narrowMatch
A02,fi_86142,cpa_2008,bonsai,one-to-many correspondence,30cd44c6-3119-48dd-9e7a-257254b621e3,http://www.w3.org/2004/02/skos/core#narrowMatch
A03,C_FISH,cpa_2008,bonsai,one-to-many correspondence,0e58aede-ed84-45d6-927e-b25b986f1490,http://www.w3.org/2004/02/skos/core#narrowMatch
A03,fi_3821,cpa_2008,bonsai,one-to-many correspondence,d5e88e03-9c4a-48a6-a90e-a3f102b4bc80,http://www.w3.org/2004/02/skos/core#narrowMatch
A03,fi_38210,cpa_2008,bonsai,one-to-many correspondence,b193ce97-e2da-4cf1-8d79-c4079f04c6d1,http://www.w3.org/2004/02/skos/core#narrowMatch
A03,fi_8615,cpa_2008,bonsai,one-to-many correspondence,f278a162-25a5-4da6-9916-017d9572c565,http://www.w3.org/2004/02/skos/core#narrowMatch
A03,fi_86151,cpa_2008,bonsai,one-to-many correspondence,0342b4ac-6656-437f-bdec-90e0e05d29bd,http://www.w3.org/2004/02/skos/core#narrowMatch
A03,fi_86152,cpa_2008,bonsai,one-to-many correspondence,4819ee20-31c9-4030-a2b6-678cfa275bf5,http://www.w3.org/2004/02/skos/core#narrowMatch
A03,fi_86153,cpa_2008,bonsai,one-to-many correspondence,d647f704-4dd6-49d8-84e2-67229312a4bd,http://www.w3.org/2004/02/skos/core#narrowMatch
A03,fi_86154,cpa_2008,bonsai,one-to-many correspondence,a8daaad8-d435-41e9-a88b-46ab1a80b868,http://www.w3.org/2004/02/skos/core#narrowMatch
B,fi_11,cpa_2008,bonsai,one-to-many correspondence,f0d3f69f-2c7b-48dc-8049-8fabb1ba52e8,http://www.w3.org/2004/02/skos/core#narrowMatch
B,fi_12,cpa_2008,bonsai,many-to-many correspondence,c188d555-bb50-4fe6-9cbc-f46c364a4421,http://www.w3.org/2004/02/skos/core#relatedMatch
B,fi_13,cpa_2008,bonsai,many-to-many correspondence,324c661f-f423-4ee6-938f-c121bcab2f6f,http://www.w3.org/2004/02/skos/core#relatedMatch
B,fi_14,cpa_2008,bonsai,many-to-many correspondence,41b703a1-2f3a-4387-8c05-bebb1bc6da13,http://www.w3.org/2004/02/skos/core#relatedMatch
B,fi_15,cpa_2008,bonsai,many-to-many correspondence,4b2b2768-02a4-445b-8a0f-8cf7a9627821,http://www.w3.org/2004/02/skos/core#relatedMatch
B,fi_16,cpa_2008,bonsai,many-to-many correspondence,294cb1e4-b352-452f-9825-9c20f2e42584,http://www.w3.org/2004/02/skos/core#relatedMatch
B,fi_862,cpa_2008,bonsai,many-to-many correspondence,a9d6f92e-f0c4-489c-9dfa-4f3fdfc92b36,http://www.w3.org/2004/02/skos/core#relatedMatch
B05,fi_1101,cpa_2008,bonsai,one-to-many correspondence,2379f93a-d98c-4e5f-ad0b-ac3f7dd087e7,http://www.w3.org/2004/02/skos/core#narrowMatch
B05,fi_1103,cpa_2008,bonsai,one-to-many correspondence,31c98eca-12d3-4dc1-ae86-d3a5014c278b,http://www.w3.org/2004/02/skos/core#narrowMatch
B05,C_GASL,cpa_2008,bonsai,one-to-many correspondence,54257f74-6b16-4916-a093-9fd9470afa09,http://www.w3.org/2004/02/skos/core#narrowMatch
B06,fi_12,cpa_2008,bonsai,many-to-one correspondence,31940f16-f76f-462d-908b-1b702e0a1286,http://www.w3.org/2004/02/skos/core#broadMatch
B07,fi_13,cpa_2008,bonsai,many-to-many correspondence,5689877b-109c-433e-962e-0ebe5bffc646,http://www.w3.org/2004/02/skos/core#relatedMatch
B07,fi_14,cpa_2008,bonsai,many-to-many correspondence,da3aff79-923c-4719-8254-9e57e5880fc5,http://www.w3.org/2004/02/skos/core#relatedMatch
B08,fi_1105,cpa_2008,bonsai,one-to-many correspondence,6629345e-6253-44d1-8434-887274d833a1,http://www.w3.org/2004/02/skos/core#narrowMatch
B08,fi_15,cpa_2008,bonsai,many-to-many correspondence,55aeddeb-9bc8-4776-b9d1-51740cd9b1f1,http://www.w3.org/2004/02/skos/core#relatedMatch
B08,fi_16,cpa_2008,bonsai,many-to-many correspondence,ffefc62c-d845-4f9f-9b66-98b64d161ece,http://www.w3.org/2004/02/skos/core#relatedMatch
B09,fi_862,cpa_2008,bonsai,many-to-one correspondence,11ac5d62-d758-4760-bf02-5d8b0844a21c,http://www.w3.org/2004/02/skos/core#broadMatch
C10_12,fi_21,cpa_2008,bonsai,many-to-many correspondence,3eb8e00a-398d-4dfa-bde3-35fd9b20f25e,http://www.w3.org/2004/02/skos/core#relatedMatch
C10_12,fi_22,cpa_2008,bonsai,many-to-many correspondence,56d17f9c-e2d5-44e9-ae03-4a9dc5142093,http://www.w3.org/2004/02/skos/core#relatedMatch
C10_12,fi_23,cpa_2008,bonsai,many-to-many correspondence,25a1cde0-0dcf-4623-950b-39688edbfc6e,http://www.w3.org/2004/02/skos/core#relatedMatch
C10_12,fi_24,cpa_2008,bonsai,many-to-many correspondence,f8111bf0-a549-4458-b473-2f9511fbfa1c,http://www.w3.org/2004/02/skos/core#relatedMatch
C10_12,C_TOBC,cpa_2008,bonsai,many-to-many correspondence,1ea3d2c9-a9a9-433e-8ee5-49755f3a84bc,http://www.w3.org/2004/02/skos/core#relatedMatch
C10_12,fi_391,cpa_2008,bonsai,one-to-many correspondence,343d1d7e-1151-48fd-a463-524c45cb40c3,http://www.w3.org/2004/02/skos/core#narrowMatch
C10_12,fi_881,cpa_2008,bonsai,one-to-many correspondence,d2fb28db-1370-4900-98d8-84fb316712db,http://www.w3.org/2004/02/skos/core#narrowMatch
C10,fi_21,cpa_2008,bonsai,many-to-many correspondence,9e3db036-2489-453a-919f-11d0b38e2bc6,http://www.w3.org/2004/02/skos/core#relatedMatch
C10,fi_22,cpa_2008,bonsai,many-to-many correspondence,e0cbfb5a-20e9-406b-8de1-bf063bf78869,http://www.w3.org/2004/02/skos/core#relatedMatch
C10,fi_23,cpa_2008,bonsai,many-to-many correspondence,e028d139-19f5-4d1b-8c8f-59611222c4a9,http://www.w3.org/2004/02/skos/core#relatedMatch
C10,fi_3912,cpa_2008,bonsai,one-to-many correspondence,bb2bfa34-3639-4db1-b449-abfc86fd538d,http://www.w3.org/2004/02/skos/core#narrowMatch
C10,fi_3913,cpa_2008,bonsai,one-to-many correspondence,2e25bd8b-606e-43a5-91ea-37e0a8ce3ee3,http://www.w3.org/2004/02/skos/core#narrowMatch
C10,fi_3914,cpa_2008,bonsai,one-to-many correspondence,23b601cf-4e2f-4e9f-af3a-8f8a58281991,http://www.w3.org/2004/02/skos/core#narrowMatch
C10,fi_3915,cpa_2008,bonsai,one-to-many correspondence,bdd05dda-135a-4ea0-9019-8c75ad1022ad,http://www.w3.org/2004/02/skos/core#narrowMatch
C10,fi_8811,cpa_2008,bonsai,one-to-many correspondence,a5b468c1-f4c1-48c9-a6ea-73cb82aa5d41,http://www.w3.org/2004/02/skos/core#narrowMatch
C10,fi_8812,cpa_2008,bonsai,one-to-many correspondence,f05fc52d-591c-4c35-821b-15261bbecfcc,http://www.w3.org/2004/02/skos/core#narrowMatch
C10,fi_8813,cpa_2008,bonsai,one-to-many correspondence,d5d0372f-aa7c-4f2b-98cf-cae050b9e881,http://www.w3.org/2004/02/skos/core#narrowMatch
C10,fi_8814,cpa_2008,bonsai,one-to-many correspondence,355f7527-1bfd-47ec-876f-924289a6eaf6,http://www.w3.org/2004/02/skos/core#narrowMatch
C10,fi_8815,cpa_2008,bonsai,one-to-many correspondence,4ff3b2c4-82b1-49c5-9d0a-e2ff014f4483,http://www.w3.org/2004/02/skos/core#narrowMatch
C10,fi_8816,cpa_2008,bonsai,one-to-many correspondence,cba3e6ab-2669-49c7-80ed-ab672cc263e1,http://www.w3.org/2004/02/skos/core#narrowMatch
C10,fi_8817,cpa_2008,bonsai,one-to-many correspondence,1b30cf51-ec33-44db-a535-a4f6f12886fb,http://www.w3.org/2004/02/skos/core#narrowMatch
C11,fi_24,cpa_2008,bonsai,many-to-many correspondence,00b7dd5f-e134-4487-a835-2ea18ba18791,http://www.w3.org/2004/02/skos/core#relatedMatch
C11,fi_3916,cpa_2008,bonsai,one-to-many correspondence,134dd821-ffa9-4a29-9caf-45dfb4e87ffb,http://www.w3.org/2004/02/skos/core#narrowMatch
C11,fi_3917,cpa_2008,bonsai,one-to-many correspondence,0acf4a6a-6913-4415-8337-65d79a270503,http://www.w3.org/2004/02/skos/core#narrowMatch
C11,fi_8818,cpa_2008,bonsai,one-to-many correspondence,18e4bdd4-18d4-4c57-9017-ebe9c4920777,http://www.w3.org/2004/02/skos/core#narrowMatch
C12,C_TOBC,cpa_2008,bonsai,many-to-many correspondence,67cf9c94-9391-4d2c-aa27-b7d1b3be773a,http://www.w3.org/2004/02/skos/core#relatedMatch
C12,fi_3918,cpa_2008,bonsai,one-to-many correspondence,b20a1da0-2663-4b68-84ac-7d658835ab45,http://www.w3.org/2004/02/skos/core#narrowMatch
C12,fi_8819,cpa_2008,bonsai,one-to-many correspondence,af98e163-513d-4b38-8746-1052325547a8,http://www.w3.org/2004/02/skos/core#narrowMatch
C13_15,fi_26,cpa_2008,bonsai,many-to-many correspondence,5d9f69ca-6ee0-41b7-8c6d-b47ec52ea1f0,http://www.w3.org/2004/02/skos/core#relatedMatch
