flowobject_from,flowobject_to,classification_from,classification_to,comment,skos_uri,prefixed_id
A01,fi_01,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,ace8f294-918c-4c8f-b602-a1bc4c326f20
A01,fi_02,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,459a07c0-a2c3-46dc-af2d-c37482d0d8ab
A01,fi_21429,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,305ae17b-832e-4555-8e36-b46866e86a82
A01,fi_86111,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,02c056b2-7633-4d8b-8736-d86e40e13d78
A01,fi_86112,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,cb827e9c-0314-4107-bc8c-9bb67ddb66c8
A01,fi_86113,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,681f3990-4e52-4bed-98af-f97bc8601dcc
A01,fi_86119,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,0741ec73-a992-4cdb-9cb3-d7d9e87e1e3b
A01,fi_8612,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,f73ecbf1-cdb8-40b4-a2ea-af85f2870d7d
A01,fi_86121,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,44cf4e51-e276-432c-a5e7-c7210f1ddd68
A01,fi_86122,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,2a407fc6-ce36-4c54-8945-0ff64e966e0e
A01,fi_8613,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,9a94a9a8-8f50-4495-8f99-48d9da72b636
A01,fi_86131,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,871ecf3a-7bf1-4d81-b655-6a0af24905fc
A01,fi_86132,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,2cd3c7bf-0cb5-4299-bd00-d406dd4fb0aa
A02,fi_03,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,7f3472d9-70f9-45fb-904a-f88f4430dbab
A02,fi_86141,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,d15a9e7d-d49a-4600-a2c3-9ebf18b3c533
A02,fi_86142,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,2acfdb07-a673-4523-8276-ff1698f70d22
A03,C_FISH,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,7ecadabd-4b65-4dda-87a3-38699c347bdf
A03,fi_3821,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,fba3f7f6-8780-4c90-b6c0-bdbdd23a8d93
A03,fi_8615,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,55678161-c827-4a82-9f12-1bd858bebcf8
B,fi_11,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,ee3505a1-956a-4773-9f97-32c9b3ac5bfb
B,fi_12,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,2c2bdef3-2dc8-4a27-9832-f51010cd5843
B,fi_13,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,7c8bca53-540b-4a56-b079-5f4c3949a307
B,fi_14,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,5c3348fa-0826-4b8e-8372-cb8cee7d00f1
B,fi_15,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,f262ebdf-9a74-4a3b-b037-add903618194
B,fi_16,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,717e39d0-d534-4913-aa68-ecb550febee0
C10_12,fi_21,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,28fa87ee-ad20-47af-8c82-1da37f6f5748
C10_12,fi_22,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,f7932afd-a1ba-4606-9fd8-4517c6216646
C10_12,fi_23,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,cb74ee03-4ed6-49cd-88cb-7481186c95a6
C10_12,fi_24,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,0900341f-b132-4d7c-822b-1dac308faac9
C10_12,C_TOBC,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,c6fc797c-9cf5-405a-94a7-815561e3de77
C10_12,fi_391,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,c33c538a-fca8-4b76-bd0a-69291074b827
C10_12,fi_881,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,7e07b7c9-395d-4826-affc-0f61dec28bd8
C13_15,fi_26,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,11e0b083-75b9-471e-86b9-614da0daf717
C13_15,fi_27,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,d8531825-3614-471e-a1a6-a0bcd06080ff
C13_15,C_GARM,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,922fcdf9-aace-4a85-8598-905a397afb4b
C13_15,C_LETH,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,51752426-e3e2-4043-a5da-5df8c474a958
C13_15,fi_39213,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,5ee065ac-5983-4d49-ba85-55d47b461f40
C13_15,fi_39215,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,b2889658-9181-465d-9248-f1ec40b985b1
C13_15,fi_39218,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,bcbe83b0-87ff-474a-b331-1de201ff15a9
C13_15,C_TEXT,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,fc2d15b3-ff92-4cb5-87f1-237edd82a6af
C16,C_WOOD,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,33e0cf00-5722-4a93-8589-41113c7c4b21
C16,fi_38701,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,54f3c44e-2b35-4c06-92bc-d4a5ef488e9b
C16,fi_38922,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,270efa79-faee-42a3-bf70-92a362b78d0c
C16,fi_39281,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,59e78a04-7d48-4e4d-8686-7190cf9e6cc3
C16,fi_39282,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,c78f7345-e048-44a6-bc9e-6bd6096a10af
C16,fi_8831,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,5db7fc60-7997-4764-a7f0-f90f0c6f2046
C17,fi_32,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,e7ec5d9c-543c-4356-87d7-a12e78eb4c4e
C17,fi_8832,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,3cfca3f9-6e65-4bcc-9d80-9a7ef41807bd
C18,fi_32800,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,a1c275ca-5f46-4f24-9d57-cca02e83d580
C18,fi_8912,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,4eb09704-fd6a-48b0-9261-3c6751edc6bc
C19,fi_331,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,4fc4c8fc-6e5b-4c71-aa89-87e633954d8b
C19,fi_332,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,a72bd877-b8c3-4295-a4a1-5626485d3f2b
C19,fi_333,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,7c39c03d-d034-439d-bc4c-b4419e37a01e
C19,fi_334,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,941eee47-268f-4474-b3ed-cff0d755f60d
C19,fi_335,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,5e50351d-02dc-4fc2-abcd-353aa4836319
C20,fi_34,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,5e77435e-cb6a-4e60-8682-8e3de6ac1a33
C20,fi_351,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,9515a7d2-7146-4f79-a6cc-3883e5960244
C20,fi_353,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,0fa8341e-42f8-492c-8e39-cde00f415bf6
C20,C_CHEM,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,f2b150b8-f0c4-498f-9c45-d819280fbb6f
C20,fi_355,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,aa29e69c-e00e-41ce-855d-b9ec23091f25
C20,fi_24110,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,271bcbc1-5054-4ef5-910b-f2c5a2ecaafc
C20,fi_33620,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,85c32730-650a-4bd7-bd9a-a0d08fb41d57
C20,fi_33630,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,cd71288e-949c-4f99-bb9b-363fa3b8d2e6
C20,fi_33690,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,dfd02b5e-b74c-4ce4-b495-f20c692ae358
C20,fi_33710,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,2c39218e-c4c5-4058-b250-095228e1a071
C20,fi_38998,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,442042f9-d1c6-42f2-a1cf-ba20068272b6
C20,fi_3923,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,fdcd1064-167d-4a14-8440-d795cc194428
C20,fi_39230,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,1b8889a6-326c-4d48-b232-0b06c5d0b7f4
C20,fi_4834,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,cd251719-14d1-4693-a331-8fbcced60594
C20,fi_48341,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,2db82cd6-08e5-42dc-a44c-63fdfa48b637
C20,fi_48342,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,0f6c55f6-3ea3-4a0b-90ff-39e24c918e76
C20,fi_88421,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,d64cb6aa-5242-4b18-abba-41b98bc3b3de
C21,fi_352,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,ba1df7f8-c110-464a-b7db-f10282ffa29a
C21,fi_88430,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,fff5544c-a5f7-4f65-bf4d-b1f6913fe852
C22,C_RUBP,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,3ebaebdf-5aa2-47c7-bd93-31deb0745e59
C22,fi_38703,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,8f4e35e0-0fc2-457d-92d6-048bff97c73c
C22,fi_38930,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,25b634b9-6116-4892-a489-ef8a2dba2b83
C22,fi_88511,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,bb8a21fb-c8bb-48e0-8334-89dd41010563
C22,fi_88512,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,6fe39c17-c584-4866-9f61-0aa4bfed9386
C22,fi_88520,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,c3689281-b75c-450b-b594-afde777467bd
C22,fi_8920,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,a34b40f3-6426-4e53-a26c-680651122e9b
C22,fi_89200,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,17ea2b3f-19a6-417a-bb3d-4f01e6001ec5
C23,C_GLAS,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,cab07933-5682-4125-8430-9bef418334d3
C23,fi_38704,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,80267a5d-4276-4871-9775-c26e12ea0fe5
C23,fi_46932,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,4593ba73-fff6-4224-a040-e24beab6443b
C23,fi_8853,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,bbfacd53-0939-40db-9d59-aa9604d3531f
C24,fi_41,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,777ef577-6c0b-4273-aaaf-b24dfbe5be7d
C24,fi_3361,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,a0de63cd-dd7e-4547-8621-9048a2240207
C24,fi_39350,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,48feda8e-3dfa-43fc-94ec-4bf830911c69
C24,fi_886,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,9c8d00f7-0697-406c-80b0-faddcfc55694
C24,fi_8931,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,861c7f02-c9e6-43f7-b645-1ac0bfaf2517
C25,C_FABM,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,9e25bcf3-0a46-4a10-a043-2e74c6e76575
C25,fi_38702,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,f90cc3fb-d114-4206-bbf1-ec5b5906199d
C25,fi_44720,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,37ab75ef-d3cd-4de4-b42d-f137e6eacf48
C25,fi_44730,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,966a687f-0a9e-4b54-99aa-4fd3f53eb3d6
C25,fi_44740,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,f847c416-4238-4c41-9b13-cf33e960ad66
C25,fi_44750,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,611e6bb8-ce29-4946-ae09-bb5c0737fecf
C25,fi_44760,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,95a5c5fa-df44-4d0e-9e91-251e4acdf83e
C25,fi_44823,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,d7dc2af5-cbb4-4e23-ab0b-5029f3cdf070
C25,fi_44825,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,d9df7d4f-3fd1-4d8d-82f5-c477e19e3585
C25,fi_44833,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,16e3b9ee-917d-4a82-849c-c1b2ad6416a8
C25,fi_44916,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,9b27dc21-f14e-4ab3-a84d-52cc8c13a666
C25,fi_46931,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,724f91fc-5481-41bc-adf4-5121b2c9ca38
C25,fi_8871,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,bd7a4415-3192-4918-b295-041ef4033268
C25,fi_8872,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,03bdc7fa-75db-4ac8-a6a2-98eb44d49c6a
C25,fi_8873,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,e68816e4-a3ca-4591-9f9b-a880a924bbb7
C25,fi_8933,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,530def8f-6cc2-480e-a717-88c6355ffe8b
C26,fi_3858,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,bcf75d72-edd6-447f-9f43-e2f8735f6a51
C26,fi_45142,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,4b280246-13d4-4f51-a07d-01878329ebd9
C26,fi_452,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,498e2eb9-5800-41ca-8d30-adcef126f6aa
C26,fi_46921,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,d6fb6820-e2f2-4ea4-b5a0-e9c25d3d18d7
C26,fi_47130,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,f94cc4a5-657e-43a1-a5bb-b9312d4a2b3b
C26,fi_47140,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,9f2f8b66-4837-44ad-941e-63039839e25e
C26,fi_47150,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,60172657-d4e7-4837-912c-3edd744ba4a8
C26,fi_47160,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,e2975084-e3a6-4439-873a-799b0aca1397
C26,fi_47173,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,2e953ab3-6c2c-4b98-a1ec-aa84b3e4b6df
C26,fi_4721,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,eb93b935-4acb-445b-a627-9ef7af9490ca
C26,fi_4722,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,4732ae24-3b86-48be-ab7a-fac19179430b
C26,fi_4731,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,e0ffef3d-485f-4697-b1f6-f846eab7406f
C26,fi_47321,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,fcb96cf8-d1db-42bd-9e14-e72fe77b14a9
C26,fi_47323,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,15bb84ac-7dd2-4391-8087-32b82f2c5665
C26,fi_47330,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,558441c2-7985-4465-9aa3-6810b5ef2100
C26,fi_4740,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,5cf08bbc-6430-4ee3-a907-736f64f4dade
C26,fi_475,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,e880ac9e-5645-4d60-8816-4925af91b52a
C26,fi_479,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,8ca15e0a-7541-4a49-836a-0f4aed759c3f
C26,fi_48110,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,f0e65b0f-31b5-418a-af56-d6a0f61ba9f6
C26,fi_48121,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,171b36c6-4f0d-4535-a814-20cc6a8e3c54
C26,fi_48122,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,044aa2bd-836d-46f0-98e3-69d33c98b7a3
C26,fi_482,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,e1ed680f-bc57-4b94-8359-1ec2d88013b6
C26,fi_48311,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,bfb333ad-846d-4e7a-b6c4-a08554ac7c6c
C26,fi_48314,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,bb4c0249-9ed7-4079-a1e2-4ecb9b86ad42
C26,fi_48315,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,746f39b8-7a1f-4328-9fae-482b407819d8
C26,fi_4832,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,7756efec-a1ec-4e7f-b2f7-a58a46e5a109
C26,fi_48351,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,939dbfea-a0ec-46fb-abd3-0a9df9176e83
C26,fi_48353,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,62640aaf-3b61-4d13-ba41-2b25d8b2c76a
C26,fi_48354,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,83ac7dfb-f2b0-4f72-a855-4375046d66e2
C26,fi_484,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,0ef94dd9-52e7-4190-ad88-23f3b00b58ad
C26,fi_88741,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,6055fa12-bd5b-4731-81f4-1845838ccbe7
C27,fi_36950,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,6c225d14-5a3d-40d5-9787-eba7c93966a8
C27,fi_36980,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,dd8b86c0-7820-486d-a7ff-d25814d85c91
C27,fi_44241,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,6925c403-c978-4bfb-851a-8e043ce0520a
C27,fi_44255,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,cf9c9ab6-487a-4563-89e3-df1a8de4f1d1
C27,fi_44811,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,8c5ef02f-62b9-4d2a-a855-235ab2e6f772
C27,fi_44812,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,4b26435b-e823-4f39-8cf5-a2f4168fd1e1
C27,fi_44813,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,10838acb-a2f4-4ee2-bad0-33392c5904f2
C27,fi_44815,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,19a0e30f-900d-47b0-80c7-6eaa3eb442b6
C27,fi_44816,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,777ae592-232f-4950-aa02-18b38e2b44c7
C27,fi_44817,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,3ebfbb10-c7e0-4f1a-befd-fda5258fc238
C27,fi_44818,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,8337b22e-93fe-44bd-8a17-587b09b32fa2
C27,fi_44821,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,0d892e59-18d3-49c8-8005-4b78050bb241
C27,fi_44822,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,6fe5c01d-ca5d-4222-9957-c9bf0c555a62
C27,fi_44824,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,35becb3b-8bd2-404d-9ed9-c2bb6aba730c
C27,fi_44826,cpa_2_1_lvl2,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,b3771cbc-e721-4142-a214-d10ee5603030
