flowobject_from,flowobject_to,classification_from,classification_to,comment,prefixed_id,skos_uri
em1,349b29d1-3e58-4c66-98b9-9d1a076efd2e,bonsai,ecoinvent_v3_6,one-to-one correspondence,00cb87da-102b-466f-94df-c531f36f7d4c,http://www.w3.org/2004/02/skos/core#exactMatch
em65,eba59fd6-f37e-41dc-9ca3-c7ea22d602c7,bonsai,ecoinvent_v3_6,one-to-one correspondence,a6336782-7903-4a8b-a453-4577efb38c10,http://www.w3.org/2004/02/skos/core#exactMatch
em67,0795345f-c7ae-410c-ad25-1845784c75f5,bonsai,ecoinvent_v3_6,one-to-one correspondence,3bb1b7ce-25f1-4d26-978b-6ebb68281dd3,http://www.w3.org/2004/02/skos/core#exactMatch
em66,da1157e2-7593-4dfd-80dd-a3449b37a4d8,bonsai,ecoinvent_v3_6,one-to-one correspondence,e2c41213-a38a-4365-8b93-ac2b108cf4cf,http://www.w3.org/2004/02/skos/core#exactMatch
em2,20185046-64bb-4c09-a8e7-e8a9e144ca98,bonsai,ecoinvent_v3_6,one-to-one correspondence,9c3c2ce3-e6cf-452e-95dc-0eb8380097ff,http://www.w3.org/2004/02/skos/core#exactMatch
em15,1c5a7322-9261-4d59-a692-adde6c12de92,bonsai,ecoinvent_v3_6,one-to-one correspondence,79c8bc38-0cc1-401e-aa40-19bdfc2d779e,http://www.w3.org/2004/02/skos/core#exactMatch
em11,ba2f3f82-c93a-47a5-822a-37ec97495275,bonsai,ecoinvent_v3_6,one-to-one correspondence,b07602cf-f0f5-4870-a1c5-b9de8bd1f981,http://www.w3.org/2004/02/skos/core#exactMatch
em9,87883a4e-1e3e-4c9d-90c0-f1bea36f8014,bonsai,ecoinvent_v3_6,one-to-one correspondence,9c1d610f-7912-4408-bb70-6c0f70b4dea6,http://www.w3.org/2004/02/skos/core#exactMatch
em17,7348af7c-e102-4a03-a0df-efce16469eed,bonsai,ecoinvent_v3_6,one-to-one correspondence,669a3ad8-75eb-460a-8e2d-a52a91a3ee71,http://www.w3.org/2004/02/skos/core#exactMatch
em16,71234253-b3a7-4dfe-b166-a484ad15bee7,bonsai,ecoinvent_v3_6,one-to-one correspondence,e6d60b3e-bd8b-4401-b717-3eec17f92a9c,http://www.w3.org/2004/02/skos/core#exactMatch
em10,d3260d0e-8203-4cbb-a45a-6a13131a5108,bonsai,ecoinvent_v3_6,one-to-one correspondence,b97cd3e5-59df-4f63-b64e-e3fd86870bf6,http://www.w3.org/2004/02/skos/core#exactMatch
em22,5ce378a0-b48d-471c-977d-79681521efde,bonsai,ecoinvent_v3_6,one-to-one correspondence,b9fed52a-e35d-48a3-9367-6c236bafdce3,http://www.w3.org/2004/02/skos/core#exactMatch
em7,c1b91234-6f24-417b-8309-46111d09c457,bonsai,ecoinvent_v3_6,one-to-one correspondence,24ffc6ae-a367-4244-bb23-bd7c7d9054f3,http://www.w3.org/2004/02/skos/core#exactMatch
em8,fd7aa71c-508c-480d-81a6-8052aad92646,bonsai,ecoinvent_v3_6,one-to-one correspondence,a6272e4d-a7c8-42dd-adfc-5878b7576f1e,http://www.w3.org/2004/02/skos/core#exactMatch
em14,8e123669-94d3-41d8-9480-a79211fe7c43,bonsai,ecoinvent_v3_6,one-to-one correspondence,8482b1ba-0d75-45ab-95d5-46af657ef254,http://www.w3.org/2004/02/skos/core#exactMatch
em20,a5506f4b-113f-4713-95c3-c819dde6e48b,bonsai,ecoinvent_v3_6,one-to-one correspondence,49c35693-af41-485e-8684-e7c57b740597,http://www.w3.org/2004/02/skos/core#exactMatch
em19,ec8144d6-d123-43b1-9c17-a295422a0498,bonsai,ecoinvent_v3_6,one-to-one correspondence,1a54a30f-7ff7-4084-932c-e177e069b506,http://www.w3.org/2004/02/skos/core#exactMatch
em37,3e5d7d91-67d7-4afb-91dd-36fab58e4685,bonsai,ecoinvent_v3_6,one-to-one correspondence,91c3f350-5377-4684-ad80-f38457249761,http://www.w3.org/2004/02/skos/core#exactMatch
em34,c9b97088-efc6-43c1-8d26-f78d6cdbb50b,bonsai,ecoinvent_v3_6,one-to-one correspondence,c7e55f4b-cc2f-40e7-926b-b4b895cbde33,http://www.w3.org/2004/02/skos/core#exactMatch
em36,66020d27-7ae4-4e59-83a3-89214b72c40a,bonsai,ecoinvent_v3_6,one-to-one correspondence,ef5e2b4c-c4f5-4ebd-9cec-7e3579c267ce,http://www.w3.org/2004/02/skos/core#exactMatch
em41,21e46cb8-6233-4c99-bac3-c41d2ab99498,bonsai,ecoinvent_v3_6,one-to-one correspondence,b65c50fa-f5eb-4bdb-907e-5e6d4001c313,http://www.w3.org/2004/02/skos/core#exactMatch
em21,454c61fd-c52b-4a04-9731-f141bb7b5264,bonsai,ecoinvent_v3_6,one-to-one correspondence,876c45db-eb4b-4d81-8452-f89e8842c73c,http://www.w3.org/2004/02/skos/core#exactMatch
em35,082903e4-45d8-4078-94cb-736b15279277,bonsai,ecoinvent_v3_6,one-to-one correspondence,5bed9fe2-1460-42a8-a5cf-752014764681,http://www.w3.org/2004/02/skos/core#exactMatch
em38,04f42988-6207-4d09-a91f-155be8d27eb0,bonsai,ecoinvent_v3_6,one-to-one correspondence,b1a45ec6-5506-4f3e-ad37-de633a935924,http://www.w3.org/2004/02/skos/core#exactMatch
em43,5e13c2ab-5466-4ff5-816d-702dfdf25f76,bonsai,ecoinvent_v3_6,one-to-one correspondence,164b0545-4bd6-42e9-95ff-40080725ff01,http://www.w3.org/2004/02/skos/core#exactMatch
em45,35357464-0d86-4bbd-940f-7d0dd8e5df57,bonsai,ecoinvent_v3_6,one-to-one correspondence,10460cbb-6361-4a7c-a49e-60f7950d52fa,http://www.w3.org/2004/02/skos/core#exactMatch
em46,cc5f1637-8aa5-442f-a8c6-43c8739944a0,bonsai,ecoinvent_v3_6,one-to-one correspondence,b69923c2-57e5-43f3-9d4f-4ea6f688e1c3,http://www.w3.org/2004/02/skos/core#exactMatch
em47,76608f33-7127-47f2-9718-383b3efe3b43,bonsai,ecoinvent_v3_6,one-to-one correspondence,2ea1b041-f555-4735-9ba7-c20eb6682bc4,http://www.w3.org/2004/02/skos/core#exactMatch
em54,b748f6f1-7061-4243-89c7-3f2d01dcec07,bonsai,ecoinvent_v3_6,one-to-one correspondence,f3fc82b4-e0a4-4ff5-9d30-a70ef0bc9df5,http://www.w3.org/2004/02/skos/core#exactMatch
em51,dcfe0815-6fa3-4e1d-a55e-155b29904f1d,bonsai,ecoinvent_v3_6,one-to-one correspondence,97a84b07-31f8-4450-a12c-8ee97c25bb7b,http://www.w3.org/2004/02/skos/core#exactMatch
em55,8b0a4a41-c65c-4d94-b10c-94ddb98abdd2,bonsai,ecoinvent_v3_6,one-to-one correspondence,aa8d32af-0023-461f-9197-451ac2476b42,http://www.w3.org/2004/02/skos/core#exactMatch
em52,2d4b8ec1-8d53-4e62-8a11-ebc45909b02e,bonsai,ecoinvent_v3_6,one-to-one correspondence,3eb2fd3d-bc32-4ee7-8468-8a91e872f208,http://www.w3.org/2004/02/skos/core#exactMatch
em50,094310bb-49db-5b2d-ae1b-e7b4ffca1d03,bonsai,ecoinvent_v3_6,one-to-one correspondence,bc1d0ed3-6a48-4075-8505-0ddeb5306fad,http://www.w3.org/2004/02/skos/core#exactMatch
fn_1,c5f5aeb8-7558-4a0c-9594-27621b9cfbc5,bonsai,ecoinvent_v3_6,one-to-one correspondence,ef51155e-c331-4b1c-9f3b-392f3d7bc485,http://www.w3.org/2004/02/skos/core#exactMatch
fn_2,e16fd15c-0ebc-55ba-8d3b-9704f13663cb,bonsai,ecoinvent_v3_6,one-to-one correspondence,0716209b-70ac-47e2-9cc9-6eb88ed0a2bb,http://www.w3.org/2004/02/skos/core#exactMatch
fn_3,bf377e4f-3a95-4ce2-a9ba-66ee31f00f60,bonsai,ecoinvent_v3_6,one-to-one correspondence,0ee59370-c0db-499b-86f6-b2cf88f47632,http://www.w3.org/2004/02/skos/core#exactMatch
fn_4,3e0034cd-21d6-4582-9fbf-09c26edd05df,bonsai,ecoinvent_v3_6,one-to-one correspondence,31ee6d6d-c925-4aee-a754-b48a9a0031dd,http://www.w3.org/2004/02/skos/core#exactMatch
fn_5,4402f445-984c-4728-be22-6f9aea1146b9,bonsai,ecoinvent_v3_6,one-to-one correspondence,dcaf2c7c-ebaf-42fa-9302-071685525f98,http://www.w3.org/2004/02/skos/core#exactMatch
fn_6,f7519ca9-5ffc-41c3-a33e-806da82cfc0e,bonsai,ecoinvent_v3_6,many-to-one correspondence,f717d2f4-901e-42e5-9f95-e7321a550ccb,http://www.w3.org/2004/02/skos/core#broadMatch
fn_7,c13beafb-2aed-4a52-b09a-78d28913b6ce,bonsai,ecoinvent_v3_6,one-to-one correspondence,337f46fc-fa36-4936-8b4a-811e28ebc1ec,http://www.w3.org/2004/02/skos/core#exactMatch
fn_8,93806a54-46f5-409c-99c5-4144a1e73b5d,bonsai,ecoinvent_v3_6,one-to-one correspondence,be467437-309e-4bb9-a871-499525545161,http://www.w3.org/2004/02/skos/core#exactMatch
fn_9,0124b342-4bdd-5cbf-ba2a-dce8a259755c,bonsai,ecoinvent_v3_6,one-to-one correspondence,37ebe2d8-d0b8-476e-9136-ef6695a4bfc4,http://www.w3.org/2004/02/skos/core#exactMatch
fn10,cb7e3e15-ab58-4ef4-8cd0-361511d3b5fe,bonsai,ecoinvent_v3_6,one-to-one correspondence,a8881da6-3b5b-4487-924f-a6c804c4cb8e,http://www.w3.org/2004/02/skos/core#exactMatch
fn_11,45d6f26b-596b-5182-8c08-d6d975ff4efe,bonsai,ecoinvent_v3_6,one-to-one correspondence,6b283df2-0226-40a4-903d-07f0422e1728,http://www.w3.org/2004/02/skos/core#exactMatch
fn_12,3937f5a5-b4a4-434d-9fc3-1d29064fc3f8,bonsai,ecoinvent_v3_6,one-to-one correspondence,301b066e-ccbc-4d6a-8818-9cefb18c157f,http://www.w3.org/2004/02/skos/core#exactMatch
fn_13,99ee393d-4bd1-4cc8-b0a0-d956865fb7bf,bonsai,ecoinvent_v3_6,many-to-one correspondence,260d6cdc-c65c-4342-b9d8-1b161fb5e553,http://www.w3.org/2004/02/skos/core#broadMatch
fn_14,99ee393d-4bd1-4cc8-b0a0-d956865fb7bf,bonsai,ecoinvent_v3_6,many-to-one correspondence,a47c9064-9dd1-42fd-966e-35148fb1ad72,http://www.w3.org/2004/02/skos/core#broadMatch
fn_15,1c87de06-e58f-4684-a54c-d29f1a251a87,bonsai,ecoinvent_v3_6,one-to-one correspondence,3178d044-db37-4389-abad-ecf0d160f811,http://www.w3.org/2004/02/skos/core#exactMatch
fn_16,d0779a5e-6969-4144-954e-ceb81fb83f15,bonsai,ecoinvent_v3_6,one-to-one correspondence,bd1cb3a5-c334-49cd-9fb1-026dfc6d81a3,http://www.w3.org/2004/02/skos/core#exactMatch
