activitytype_from,activitytype_to,classification_from,classification_to,comment,prefixed_id,skos_uri
F_HOUS,F_HOUS,bonsai,hexio_v_3_3_18_fd,one-to-one correspondence,ebb05220-b1bd-458b-8aab-3f212ed23377,http://www.w3.org/2004/02/skos/core#exactMatch
F_NPSH,F_NPSH,bonsai,hexio_v_3_3_18_fd,one-to-one correspondence,28d51830-1aa9-4146-a592-24e73d7726c3,http://www.w3.org/2004/02/skos/core#exactMatch
F_GOVE,F_GOVE,bonsai,hexio_v_3_3_18_fd,one-to-one correspondence,bb6c9cad-df13-4107-950c-0b3b16824e1f,http://www.w3.org/2004/02/skos/core#exactMatch
I_GFCF,I_GFCF,bonsai,hexio_v_3_3_18_fd,one-to-one correspondence,de09608d-8a17-47e3-aaf4-ecf565ca0696,http://www.w3.org/2004/02/skos/core#exactMatch
I_CHIN,I_CHIN,bonsai,hexio_v_3_3_18_fd,one-to-one correspondence,d5c9dafd-a060-46a7-9b0f-1aeb4915762d,http://www.w3.org/2004/02/skos/core#exactMatch
I_CHVA,I_CHVA,bonsai,hexio_v_3_3_18_fd,one-to-one correspondence,b2015d07-06f3-4dd3-9c75-7d8b95585ccf,http://www.w3.org/2004/02/skos/core#exactMatch
