activitytype_from,activitytype_to,classification_from,classification_to,comment,prefixed_id,skos_uri
ai,total,bonsai,nace_rev2,one-to-one correspondence,fa6a61a2-b4d7-4473-949c-efdade4cf723,http://www.w3.org/2004/02/skos/core#exactMatch
A_Agavs,01.16,bonsai,nace_rev2,many-to-one correspondence,20e32adc-b5fd-43bf-9a36-8a5a459b034e,http://www.w3.org/2004/02/skos/core#broadMatch
A_AL_INCI,38.21,bonsai,nace_rev2,many-to-one correspondence,012a9e08-fc04-4802-aadf-8fbb7c0759be,http://www.w3.org/2004/02/skos/core#broadMatch
A_AL_LAND,38.21,bonsai,nace_rev2,many-to-one correspondence,f984cdc2-77cb-4e12-aabb-45caf69a9c2a,http://www.w3.org/2004/02/skos/core#broadMatch
A_Almod,10.39,bonsai,nace_rev2,many-to-one correspondence,af790ce4-4f0a-4644-aad3-8a80adef7415,http://www.w3.org/2004/02/skos/core#broadMatch
A_Almol,01.25,bonsai,nace_rev2,many-to-one correspondence,f702773e-33f4-4a04-99d1-295e197d23b1,http://www.w3.org/2004/02/skos/core#broadMatch
A_ALUM,24.42,bonsai,nace_rev2,many-to-one correspondence,df6e2165-73ef-4bd5-8573-cbc1e1fe5599,http://www.w3.org/2004/02/skos/core#broadMatch
A_ALUO,07.29,bonsai,nace_rev2,many-to-one correspondence,8afe87de-1736-41c5-9e24-8a95f7a886de,http://www.w3.org/2004/02/skos/core#broadMatch
A_ALUW,24.42,bonsai,nace_rev2,many-to-one correspondence,8f38ecbc-085e-4521-b54f-67674caed653,http://www.w3.org/2004/02/skos/core#broadMatch
A_Anisr,01.28,bonsai,nace_rev2,many-to-one correspondence,f2bc1998-5852-4cdc-8765-6bad0632769c,http://www.w3.org/2004/02/skos/core#broadMatch
A_Appls,01.22,bonsai,nace_rev2,many-to-one correspondence,00478513-b795-4cf5-ad50-7211dad4781b,http://www.w3.org/2004/02/skos/core#broadMatch
A_Apris,01.24,bonsai,nace_rev2,many-to-one correspondence,b4168a3b-caba-47a1-95d7-bfbe054687e2,http://www.w3.org/2004/02/skos/core#broadMatch
A_Apriy,10.39,bonsai,nace_rev2,many-to-one correspondence,04c8c4ba-5ef6-44a5-9fb4-3d91c0118b57,http://www.w3.org/2004/02/skos/core#broadMatch
A_Arecs,01.25,bonsai,nace_rev2,many-to-one correspondence,ce22cbe9-1796-469a-8f51-451b48cb2319,http://www.w3.org/2004/02/skos/core#broadMatch
A_Artis,01.13,bonsai,nace_rev2,many-to-one correspondence,ffe7afdd-659b-47c1-ae9e-6a8cef38c5df,http://www.w3.org/2004/02/skos/core#broadMatch
A_AS_LAND,38.21,bonsai,nace_rev2,many-to-one correspondence,c9bb77c4-94ab-4da3-8cd6-733eb89348ce,http://www.w3.org/2004/02/skos/core#broadMatch
A_ASHW,38.32,bonsai,nace_rev2,many-to-one correspondence,5fd1badb-7a80-4bfe-a5f1-43224117c792,http://www.w3.org/2004/02/skos/core#broadMatch
A_Aspas,01.13,bonsai,nace_rev2,many-to-one correspondence,692913d7-b337-486d-8976-305079edf042,http://www.w3.org/2004/02/skos/core#broadMatch
A_auto,29,bonsai,nace_rev2,many-to-one correspondence,30ed3013-0cf4-447b-a524-7c4e2c22cdee,http://www.w3.org/2004/02/skos/core#broadMatch
A_Avocs,01.22,bonsai,nace_rev2,many-to-one correspondence,fb92a05d-0699-41a1-be64-d4427548da53,http://www.w3.org/2004/02/skos/core#broadMatch
A_BA_INCI,38.21,bonsai,nace_rev2,many-to-one correspondence,ee2611f8-b179-4592-9c66-fa7e121d9a26,http://www.w3.org/2004/02/skos/core#broadMatch
A_BA_INCI_no_recov,38.21,bonsai,nace_rev2,many-to-one correspondence,ac70d3a1-e8cc-43e3-a8d6-722531d5bedf,http://www.w3.org/2004/02/skos/core#broadMatch
A_BA_LAND,38.21,bonsai,nace_rev2,many-to-one correspondence,84981c05-1f02-469d-a7dc-f478a6a224b3,http://www.w3.org/2004/02/skos/core#broadMatch
A_BA_RECY,24.43,bonsai,nace_rev2,many-to-one correspondence,b4f916a3-b492-405c-a5ac-1b723e8b988f,http://www.w3.org/2004/02/skos/core#broadMatch
A_Bambs,01.25,bonsai,nace_rev2,many-to-one correspondence,b86d9f2f-8c23-42f6-9d4d-a9fd3ea86613,http://www.w3.org/2004/02/skos/core#broadMatch
A_Banas,01.22,bonsai,nace_rev2,many-to-one correspondence,d424712d-10a2-4b0b-a457-b64d453981cb,http://www.w3.org/2004/02/skos/core#broadMatch
A_Barly,01.11,bonsai,nace_rev2,many-to-one correspondence,ddc715d4-3383-4244-99a1-381c4ac36042,http://www.w3.org/2004/02/skos/core#broadMatch
A_Bastr,01.16,bonsai,nace_rev2,many-to-one correspondence,83dc0e74-8c34-4c83-a923-0694852acb41,http://www.w3.org/2004/02/skos/core#broadMatch
A_Beann,01.25,bonsai,nace_rev2,many-to-one correspondence,18a4c3fd-7ee8-4ba4-8d3f-1e03d28b7db1,http://www.w3.org/2004/02/skos/core#broadMatch
A_Beany,01.25,bonsai,nace_rev2,many-to-one correspondence,7c8716a8-0ed8-4c9a-ac5c-7c46b0fed07d,http://www.w3.org/2004/02/skos/core#broadMatch
A_Beef_proc,10.13,bonsai,nace_rev2,many-to-one correspondence,911b7aa0-7411-4f61-b51e-0d70505c9030,http://www.w3.org/2004/02/skos/core#broadMatch
A_Beer,11.05,bonsai,nace_rev2,one-to-one correspondence,f4badd75-e7ef-41a6-87a9-2ce1c976e4c3,http://www.w3.org/2004/02/skos/core#exactMatch
A_Berrs,01.25,bonsai,nace_rev2,many-to-one correspondence,da21def5-4477-416f-83b4-a1ba6413ebf0,http://www.w3.org/2004/02/skos/core#broadMatch
A_Blues,01.25,bonsai,nace_rev2,many-to-one correspondence,0bc90694-7853-410c-bc70-cfc041276b77,http://www.w3.org/2004/02/skos/core#broadMatch
A_Brazd,10.39,bonsai,nace_rev2,many-to-one correspondence,1b2512ed-05bb-4636-8884-9b332b9d114c,http://www.w3.org/2004/02/skos/core#broadMatch
A_Brazl,01.25,bonsai,nace_rev2,many-to-one correspondence,05471d39-37ec-48e5-9309-47e0f7fab875,http://www.w3.org/2004/02/skos/core#broadMatch
A_BRIK,23.32,bonsai,nace_rev2,one-to-one correspondence,b9500acb-1bbb-4947-979f-5a856420f2d8,http://www.w3.org/2004/02/skos/core#exactMatch
A_Broay,01.25,bonsai,nace_rev2,many-to-one correspondence,20757a4a-68a2-4d01-bed2-64f49538bdc6,http://www.w3.org/2004/02/skos/core#broadMatch
A_Buckt,01.11,bonsai,nace_rev2,many-to-one correspondence,bac7802f-5ef5-4edc-9a10-3a6884ca4de5,http://www.w3.org/2004/02/skos/core#broadMatch
A_Bufmilk,01.42,bonsai,nace_rev2,many-to-one correspondence,28c1435f-ce86-490e-82df-0aa545b57b84,http://www.w3.org/2004/02/skos/core#broadMatch
A_bus,29,bonsai,nace_rev2,many-to-one correspondence,c47764a4-5358-498d-97ac-649fcde84418,http://www.w3.org/2004/02/skos/core#broadMatch
A_Cabbs,01.13,bonsai,nace_rev2,many-to-one correspondence,bfcf1742-2e64-4c44-835e-a18ad1f4ecd5,http://www.w3.org/2004/02/skos/core#broadMatch
A_Canad,01.11,bonsai,nace_rev2,many-to-one correspondence,b9dc57b6-d80d-4167-9222-e3636e32c44e,http://www.w3.org/2004/02/skos/core#broadMatch
A_Caros,01.13,bonsai,nace_rev2,many-to-one correspondence,b530596b-a932-4cec-ae6e-0725ce35e571,http://www.w3.org/2004/02/skos/core#broadMatch
A_Carrs,01.13,bonsai,nace_rev2,many-to-one correspondence,03608534-2684-4ca1-971c-ee9e7a44f7e6,http://www.w3.org/2004/02/skos/core#broadMatch
A_Cashd,10.39,bonsai,nace_rev2,many-to-one correspondence,bbf9aa7a-6c93-4852-b75c-c00035fe78b7,http://www.w3.org/2004/02/skos/core#broadMatch
A_Cashe,01.22,bonsai,nace_rev2,many-to-one correspondence,39d4b530-3da3-4982-96d2-72e85e5c1f03,http://www.w3.org/2004/02/skos/core#broadMatch
A_Cashl,01.25,bonsai,nace_rev2,many-to-one correspondence,06b7a319-de36-4b9b-842b-23db26f1f850,http://www.w3.org/2004/02/skos/core#broadMatch
A_Cassa,01.13,bonsai,nace_rev2,many-to-one correspondence,58a5188b-a9f0-4986-81dc-db45a3e9afaf,http://www.w3.org/2004/02/skos/core#broadMatch
A_Cassd,10.39,bonsai,nace_rev2,many-to-one correspondence,b28c6e54-1e99-4b46-9a46-aac2790044fa,http://www.w3.org/2004/02/skos/core#broadMatch
A_Castd,01.11,bonsai,nace_rev2,many-to-one correspondence,f7747ff4-617a-4301-930b-ca199caab0bb,http://www.w3.org/2004/02/skos/core#broadMatch
A_Cauli,01.13,bonsai,nace_rev2,many-to-one correspondence,2e3d6d40-e4fd-48cb-9e6b-bb3b400562cc,http://www.w3.org/2004/02/skos/core#broadMatch
A_Ceres,01.11,bonsai,nace_rev2,many-to-one correspondence,647a0bc1-8d11-4998-a857-17a54590ca07,http://www.w3.org/2004/02/skos/core#broadMatch
A_CHEM,20.59,bonsai,nace_rev2,one-to-one correspondence,8971c8cb-9875-4c81-9dd5-73049bd86a0f,http://www.w3.org/2004/02/skos/core#exactMatch
A_Cherr,01.24,bonsai,nace_rev2,many-to-one correspondence,41eafe84-53ed-4953-a9fb-15a17e6000d1,http://www.w3.org/2004/02/skos/core#broadMatch
A_Chers,01.24,bonsai,nace_rev2,many-to-one correspondence,a4c54458-ab1c-4849-984b-14624b620ec7,http://www.w3.org/2004/02/skos/core#broadMatch
A_Chest,01.25,bonsai,nace_rev2,many-to-one correspondence,16ab738b-967e-4e89-8527-6b9b7ba17fda,http://www.w3.org/2004/02/skos/core#broadMatch
A_Chick,01.11,bonsai,nace_rev2,many-to-one correspondence,86af9f18-3417-4d76-9d83-5ccecd1ef363,http://www.w3.org/2004/02/skos/core#broadMatch
A_Chics,01.13,bonsai,nace_rev2,many-to-one correspondence,1cfbc5e3-52c3-4080-bafc-1b84910ab18a,http://www.w3.org/2004/02/skos/core#broadMatch
A_Chiln,01.28,bonsai,nace_rev2,many-to-one correspondence,cad6f19c-db49-440c-bcb1-e07ac7e6f2e8,http://www.w3.org/2004/02/skos/core#broadMatch
A_Chily,01.28,bonsai,nace_rev2,many-to-one correspondence,b61f79c1-47de-44d0-889d-d9fc2cf1749e,http://www.w3.org/2004/02/skos/core#broadMatch
A_CHMF,08.91,bonsai,nace_rev2,one-to-one correspondence,e4544334-770d-4b9f-8574-41759b971af8,http://www.w3.org/2004/02/skos/core#exactMatch
A_CHP,35.30,bonsai,nace_rev2,many-to-one correspondence,de765548-4b69-473d-bfc2-1dea1f5a5d25,http://www.w3.org/2004/02/skos/core#broadMatch
A_Cinn,01.28,bonsai,nace_rev2,many-to-one correspondence,0d198f50-b803-4dcc-bdeb-30df9ea99c02,http://www.w3.org/2004/02/skos/core#broadMatch
A_Clovs,01.28,bonsai,nace_rev2,many-to-one correspondence,7bcb228f-e49c-4570-887b-721ceb033cec,http://www.w3.org/2004/02/skos/core#broadMatch
A_CMNT,23.5,bonsai,nace_rev2,one-to-one correspondence,9118105d-c528-43a5-98ef-ae1e83ca7574,http://www.w3.org/2004/02/skos/core#exactMatch
A_CO_INCI,38.21,bonsai,nace_rev2,many-to-one correspondence,b042b357-deb2-41ac-88c2-5e47e7f6364a,http://www.w3.org/2004/02/skos/core#broadMatch
A_CO_INCI_no_recov,38.21,bonsai,nace_rev2,many-to-one correspondence,7c13e24a-bdb5-4f7e-a558-63d42536c50a,http://www.w3.org/2004/02/skos/core#broadMatch
A_CO_LAND,38.21,bonsai,nace_rev2,many-to-one correspondence,83b0c853-2a80-4c77-bc7c-5b3b2822ea9f,http://www.w3.org/2004/02/skos/core#broadMatch
