code,parent_code,name,level,alias_code,prefixed_id,in_final_sut,comment
ai,,"industry activty, total",0,,16968ddc-0e34-4894-a137-40d7945f8775,,
ai_a,ai,"agriculture, forestry and fishing",1,,acf15257-92f2-43f0-9c6a-297132ea0af8,,
ai_01,ai_a,"crop and animal production, hunting and related service activities",2,,097fccff-f68d-4ee3-9dd1-ad0f43b2b749,,
ai_011,ai_01,Growing of non-perennial crops,3,,b2428ef0-b721-458f-a7a3-68f3d6ef039c,,
ai_0111,ai_011,"Growing of cereals (except rice), leguminous crops and oil seeds",4,,376c0b43-67dc-473f-95fd-c9466236459f,,
ai_0111_1,ai_0111,Growing of bambara bean,5,A_Bambs,c05eebe0-5919-4db1-8ca9-ac83aa38132d,True,
ai_0111_2,ai_0111,Growing of barley,5,A_Barly,ba930829-efc6-4be7-8e65-fafd17145b25,True,
ai_0111_3,ai_0111,"Growing of bean, green",5,A_Beann,1c6029d7-213a-4afa-9423-3932556be48c,True,
ai_0111_4,ai_0111,"Growing of cereal, nes",5,A_Ceres,680bd904-816b-4f1a-b243-25d8afddf88f,True,
ai_0111_5,ai_0111,Growing of buckwheat,5,A_Buckt,f809c9a5-270e-419d-8e64-3a5b02589810,True,
ai_0111_6,ai_0111,Growing of wheat,5,A_Wheat,eeaddf9c-70b6-4191-8f4c-1aae2691a305,True,
ai_0111_7,ai_0111,Growing of soybean,5,A_Soybs,ee7057d1-b74a-4668-b175-8e689e164cdf,True,
ai_0111_8,ai_0111,Growing of rye,5,A_Ryee,9d2c388b-1d7b-44f7-87ef-dd9ed2e4e1a6,True,
ai_0111_9,ai_0111,Growing of safflower seed,5,A_Saffd,1e997593-38dd-415d-aa94-614b6a641f5f,True,
ai_0111_10,ai_0111,Growing of sesame seed,5,A_Sesad,7699649c-77e5-4dee-8f62-e3d8c3fafa62,True,
ai_0111_11,ai_0111,Growing of sorghum,5,A_Sorgm,2501c662-f06a-4637-8efb-c89b14aab4c5,True,
ai_0111_12,ai_0111,Growing of germ of wheat,5,A_Germt,96f237a2-d64d-4abd-827e-6131fa435bf7,True,
ai_0111_13,ai_0111,"production of pea, dry",5,A_Peasy,fac9278d-130c-4dcd-85ca-e36f6361bb2d,True,
ai_0111_14,ai_0111,Growing of castor bean,5,A_Castd,7e4d33fd-1af4-40f1-a51c-de3fdda331fb,True,
ai_0111_15,ai_0111,Growing of linseed,5,A_Linsd,467b6eaa-9d4f-46a8-bd51-11bd047eadc5,True,
ai_0111_16,ai_0111,Growing of lupin,5,A_Lupis,3d1bfb64-692e-45af-91bf-8efcc3ab427f,True,
ai_0111_17,ai_0111,production of mixed grain,5,A_Graid,d22b137d-e220-45c6-8a43-7cdcf009fd34,True,
ai_0111_18,ai_0111,"production of chick-peas, dry",5,A_Chick,52ce509d-2dc3-4581-92c4-caab0e65863c,True,
ai_0111_19,ai_0111,Growing of maize,5,A_Maize,88b83229-68a5-4c04-b6bd-30dcbf164a69,True,
ai_0111_20,ai_0111,Growing of green corn (maize),5,A_Maizn,bfec9d64-08db-4367-ba6d-d53328a205ec,True,
ai_0111_21,ai_0111,Growing of oilseed nes,5,A_Oilss,c2437999-d980-4310-ab69-f5bb39a1e0f2,True,
ai_0111_22,ai_0111,"Growing of groundnut, in shell",5,A_Groul,d0ff7601-b6dc-40c0-b287-68d27b720e46,True,
ai_0111_23,ai_0111,Growing of rapeseed or colza seed,5,A_Raped,3ff29685-82e2-45c1-9ed0-65c8624fa408,True,
ai_0111_24,ai_0111,Growing of mustard seed,5,A_Mustd,1f2207d9-798a-4225-97cc-606d444ae5e7,True,
ai_0111_25,ai_0111,"Growing of broad bean, green",5,A_Vegleg_nes,3ffa7499-8f97-4acc-9109-d9a3abc595c5,True,
ai_0111_26,ai_0111,Growing of millet,5,A_Millt,7d19088d-67a6-4570-84ae-c40218f29b75,True,
ai_0111_27,ai_0111,Growing of fonio,5,A_Fonio,045705a5-527e-405f-b972-11a54a983580,True,
ai_0111_28,ai_0111,Growing of oat,5,A_Oatss,e21e8010-8a7f-4b3b-9094-49a1115426fd,True,
ai_0111_29,ai_0111,Growing of okra,5,A_Okraa,4d972219-dd92-42e1-a10e-cad596544dff,True,
ai_0111_30,ai_0111,"Growing of pea, green",5,A_Peasn,aafeaa07-89ef-4c21-9167-b82e4cb08e1d,True,
ai_0111_31,ai_0111,Growing of vetch,5,A_Vetcs,1422fca0-924a-4fd1-af4d-e73506d68ed3,True,
ai_0111_32,ai_0111,Growing of quinoa,5,A_Quina,ec5449ab-e4b8-4d31-a15e-eae490ec3348,True,
ai_0111_33,ai_0111,Growing of poppy seed,5,A_Poppd,c78f3f3a-1ba1-49e6-b84b-2692735ba396,True,
ai_0111_34,ai_0111,Growing of pigeon pea,5,A_Piges,fee413bd-a541-4861-8cac-6ec9ce008f55,True,
ai_0111_35,ai_0111,"production of lentil, dry",5,A_Lents,6b324fef-e897-49ea-b3df-27d83bc17274,True,
ai_0111_36,ai_0111,Growing of puls nes,5,A_Pulss,c57af5d2-6162-4b1e-ac7e-892cc43c5c93,True,
ai_0111_37,ai_0111,"production of cow pea, dry",5,A_Cowpea,4aba8626-c2ff-44b1-af0c-5ef457dff534,True,
ai_0111_38,ai_0111,Growing of string bean,5,A_Stris,f17adcd3-5f41-4d7e-827e-f8502e4fe600,True,
