code,name,description,prefixed_id
0,entry_point,Entry point of the classification tree (total),e5109467-c75d-458a-ad61-30495b7b4e19
1,1st_layer,First layer with categories in the classification tree,69cf688c-ddba-4bc0-b9c0-2ba9be93f537
2,2nd_layer,Second layer with categories in the classification tree,975f94f5-6752-4a9a-9e85-61888525abf2
3,3rd_layer,Third layer with categories in the classification tree,1f77d6f1-1b7f-48b6-b0f1-e40956e576e7
4,4th_layer,Fourth layer with categories in the classification tree,f3755448-cb32-415a-ac50-f5f02efd203a
