code,name,parent_code,level,prefixed_id
total,Total,,0,ac278930-e8c7-4e6e-93d5-05be148c87e7
A,"AGRICULTURE, FORESTRY AND FISHING",total,1,f3f7ec30-546c-4e39-9276-f29d4b3b1b35
01,"Crop and animal production, hunting and related service activities",A,2,dee58be2-aaf6-457f-a5de-4f10ee8159b1
01.1,Growing of non-perennial crops,01,3,0dd56ee3-2cbf-42d0-b699-2048b2829e97
01.11,"Growing of cereals (except rice), leguminous crops and oil seeds",01.1,4,1d34cbf1-a49e-4759-b5bd-a457f0747805
01.12,Growing of rice,01.1,4,8b588516-73b7-408e-ab08-65a9fd0492ff
01.13,"Growing of vegetables and melons, roots and tubers",01.1,4,6836961c-9e51-4ed1-8191-34b53661a8ca
01.14,Growing of sugar cane,01.1,4,0e231c22-5271-45b5-9ecd-b7d954241c36
01.15,Growing of tobacco,01.1,4,08b53abf-ea39-48b2-848c-fdef0591c47d
01.16,Growing of fibre crops,01.1,4,76703cbc-73b6-4481-b06a-c473bba72122
01.19,Growing of other non-perennial crops,01.1,4,c07d4e68-2c9b-46b6-b3ac-f8bd4eed161b
01.2,Growing of perennial crops,01,3,b8781599-42b0-4083-a9e2-56b91e18931c
01.21,Growing of grapes,01.2,4,67072cd0-3f0a-4449-b8b1-aa2e717a8795
01.22,Growing of tropical and subtropical fruits,01.2,4,84776878-2b90-482a-a9de-d2b806ef8bc0
01.23,Growing of citrus fruits,01.2,4,563c8e29-dd46-4292-95f5-3b4bc5c568b9
01.24,Growing of pome fruits and stone fruits,01.2,4,b26654dc-6c39-4c76-9ce5-fbb8f72b0b5e
01.25,Growing of other tree and bush fruits and nuts,01.2,4,d5ad63ac-95b2-4501-ac7f-ded7391eedda
01.26,Growing of oleaginous fruits,01.2,4,ce95cf6a-985e-4deb-a3fc-64cefd9fdc6c
01.27,Growing of beverage crops,01.2,4,9cd5064b-1c1b-47d1-92e4-17db04f99ba8
01.28,"Growing of spices, aromatic, drug and pharmaceutical crops",01.2,4,7109879e-0e90-4dd3-94a5-72cd5c94e571
01.29,Growing of other perennial crops,01.2,4,83af52c1-3e85-4538-933a-51c14357ce47
01.3,Plant propagation,01,3,ef522239-48f5-4c4b-ad04-2620c3ae6214
01.30,Plant propagation,01.3,4,0b26150d-6a93-4a14-a5c7-e4d5c2f014e5
01.4,Animal production,01,3,197a1b2c-c9a3-4dbf-b6fb-c0bd601a9cf2
01.41,Raising of dairy cattle,01.4,4,23f7f885-0050-4b84-a062-a6544e9e57a6
01.42,Raising of other cattle and buffaloes,01.4,4,c5b41993-b675-464b-af87-625feb6a9fa1
01.43,Raising of horses and other equines,01.4,4,5a26780c-7907-4426-a200-723a81204da2
01.44,Raising of camels and camelids,01.4,4,2d8aefa6-7ec1-4048-afae-a86241851e5e
01.45,Raising of sheep and goats,01.4,4,742fafbb-2665-4f61-9daf-d5eed35d4a2d
01.46,Raising of swine/pigs,01.4,4,3443a45d-9230-4b93-abbe-9fb23c204c27
01.47,Raising of poultry,01.4,4,4f57375b-680b-4307-af7f-aba393e76328
01.49,Raising of other animals,01.4,4,b887fd91-eeb3-440c-b8fa-7b7aba85f177
01.5,Mixed farming,01,3,f4df90cf-1333-41c0-b1e0-6e3a5d161740
01.50,Mixed farming,01.5,4,5af38b99-b5b5-44cb-acac-e64affe2016b
01.6,Support activities to agriculture and post-harvest crop activities,01,3,0cffb7a7-a084-46b0-84c6-56beee9bb8cd
01.61,Support activities for crop production,01.6,4,192828a1-ee62-4e34-96e9-dcbe0262cd13
01.62,Support activities for animal production,01.6,4,9886ceb1-6374-4bb4-9fc2-bdf48362bb02
01.63,Post-harvest crop activities,01.6,4,bf85ad2f-473d-49cd-b8a5-3258af352c8f
01.64,Seed processing for propagation,01.6,4,45198f84-7d68-41b4-97ac-496048bbb673
01.7,"Hunting, trapping and related service activities",01,3,409ab53a-5798-4bcc-a596-0c604812fc5d
01.70,"Hunting, trapping and related service activities",01.7,4,05a75791-58de-46f2-b5b6-951813c6d02d
02,Forestry and logging,A,2,99a71489-b221-488d-9a87-75c055545fcd
02.1,Silviculture and other forestry activities,02,3,d19c0ca2-c2e7-404b-ab11-1d07de35ed1a
02.10,Silviculture and other forestry activities,02.1,4,cc6deffd-d26d-46c3-9e7e-0043c7e3d4cd
02.2,Logging,02,3,cff7735b-fb3e-419c-b7eb-7a4540365184
02.20,Logging,02.2,4,a0b95ae0-3f5d-47ee-be2c-9c5f8848bb00
02.3,Gathering of wild growing non-wood products,02,3,18a47d28-ece9-4019-8e96-77efe1c4fd33
02.30,Gathering of wild growing non-wood products,02.3,4,55aca5f6-f5b4-4805-af18-56b3eaef5007
02.4,Support services to forestry,02,3,1657f5ca-4554-46a5-a3b0-945c5490602d
02.40,Support services to forestry,02.4,4,ab586e93-2878-43b2-9bf3-f3d637c5b39b
03,Fishing and aquaculture,A,2,dd137171-21a5-4567-8b32-6410d118437a
03.1,Fishing,03,3,0eb2c5f0-aad4-4feb-b65c-e5f965c399c7
03.11,Marine fishing,03.1,4,bc2764e1-ce74-4eac-ae1e-2ad3906f2f25
03.12,Freshwater fishing,03.1,4,19349046-62a3-4d1a-97fd-0126966e134d
03.2,Aquaculture,03,3,4c0c2294-dcc7-469d-92aa-9e9a0996a1ca
03.21,Marine aquaculture,03.2,4,654d4e46-3671-4b4a-a759-f28d7c044fb5
03.22,Freshwater aquaculture,03.2,4,890e5142-bd01-4890-b3b0-8b076f7692de
B,MINING AND QUARRYING,total,1,86e637aa-21c8-4a79-800b-5f3f59de1954
05,Mining of coal and lignite,B,2,ed65dbf6-bd18-43ab-b0a0-01b8322f6d8c
05.1,Mining of hard coal,05,3,d83fcf0b-2af4-44e6-978a-c279ff1c2711
05.10,Mining of hard coal,05.1,4,07f13ef0-43bd-4fb4-a354-2e3910abb773
05.2,Mining of lignite,05,3,23f90354-2cfe-4f70-96a5-7ba81d9901d6
05.20,Mining of lignite,05.2,4,e2fb4930-f1fd-4101-bd3f-0f3079d7eb95
06,Extraction of crude petroleum and natural gas,B,2,d5aa9331-f6b0-44a3-8fb6-cbe6c4f467f3
06.1,Extraction of crude petroleum,06,3,510a7f00-c599-48b6-8ecb-29f0f87324af
06.10,Extraction of crude petroleum,06.1,4,c89ffc09-694f-433d-a20b-e564c722a70c
06.2,Extraction of natural gas,06,3,d89eed8a-275b-45a6-80d9-62b07b388da3
06.20,Extraction of natural gas,06.2,4,b8bae79d-0234-4326-8354-d38d7a5bff98
07,Mining of metal ores,B,2,42a134e7-804b-49fd-9ef5-4a3ac6759cb5
07.1,Mining of iron ores,07,3,f982a680-edda-4d57-bf97-d9695584a469
