activitytype_from,activitytype_to,classification_from,classification_to,comment,prefixed_id,skos_uri
150,ai,japan_activ,bonsai,one-to-one correspondence,6cd2ad10-9b99-4b43-9087-d79b121f7e55,http://www.w3.org/2004/02/skos/core#exactMatch
001,ai_011,japan_activ,bonsai,one-to-many correspondence,23601964-8d54-4dae-827f-0e3725c4df69,http://www.w3.org/2004/02/skos/core#narrowMatch
001,ai_012,japan_activ,bonsai,one-to-many correspondence,ceac0720-2ed0-4ae8-ad30-130469d95880,http://www.w3.org/2004/02/skos/core#narrowMatch
001,ai_013,japan_activ,bonsai,one-to-many correspondence,3b871734-64cd-4fac-95b3-efbde2ad99b7,http://www.w3.org/2004/02/skos/core#narrowMatch
002,ai_014,japan_activ,bonsai,one-to-one correspondence,e1287cc7-bd10-4311-bc88-3c28b5febf6d,http://www.w3.org/2004/02/skos/core#exactMatch
003,ai_016,japan_activ,bonsai,one-to-one correspondence,fbfe7681-edd8-4959-a435-19fa02fd2ef7,http://www.w3.org/2004/02/skos/core#exactMatch
004,ai_02,japan_activ,bonsai,one-to-many correspondence,5466065d-dcb3-4fdd-bb4c-fa2d2510c4ef,http://www.w3.org/2004/02/skos/core#narrowMatch
004,ai_017,japan_activ,bonsai,one-to-many correspondence,34968de7-1355-4984-8286-f13c59c14a43,http://www.w3.org/2004/02/skos/core#narrowMatch
005,A_FISH,japan_activ,bonsai,one-to-one correspondence,a66a22b6-bc5d-4948-ac04-9cf3b6131ea9,http://www.w3.org/2004/02/skos/core#exactMatch
006,A_COAL,japan_activ,bonsai,one-to-many correspondence,ff08f859-8bcb-49eb-b0c8-a91d34884044,http://www.w3.org/2004/02/skos/core#narrowMatch
006,ai_06,japan_activ,bonsai,one-to-many correspondence,f85c909b-495e-442a-94b6-f630e2d67ba7,http://www.w3.org/2004/02/skos/core#narrowMatch
007,ai_07,japan_activ,bonsai,one-to-many correspondence,65504b9b-c4d1-406d-a00e-57f19b2c2033,http://www.w3.org/2004/02/skos/core#narrowMatch
007,ai_08,japan_activ,bonsai,one-to-many correspondence,e50b77bc-da4e-44fd-a2ae-4af65e699502,http://www.w3.org/2004/02/skos/core#narrowMatch
007,ai_09,japan_activ,bonsai,one-to-many correspondence,bfd9ba7b-d798-4b47-a67c-6ef81aa940bb,http://www.w3.org/2004/02/skos/core#narrowMatch
