#Log10(Mpeak/Msun) Log10(Median_SM/Msun) Log10(Median_SM/Mpeak) Err+(dex) Err-(dex)
#Mpeak: peak historical halo mass, using Bryan & Norman virial overdensity.
#Best fit chi^2: 177.876282
10.00 6.048313 -3.951687 0.051997 0.204202
10.05 6.155811 -3.894189 0.047056 0.195954
10.10 6.263305 -3.836695 0.042674 0.189100
10.15 6.370792 -3.779208 0.037884 0.187003
10.20 6.478273 -3.721727 0.033094 0.184092
10.25 6.585747 -3.664253 0.033644 0.179056
10.30 6.693212 -3.606788 0.029415 0.173674
10.35 6.800669 -3.549331 0.023575 0.168021
10.40 6.908119 -3.491881 0.020378 0.163930
10.45 7.015562 -3.434438 0.016650 0.156827
10.50 7.123003 -3.376997 0.014587 0.151316
10.55 7.230448 -3.319552 0.015638 0.143479
10.60 7.337909 -3.262091 0.011736 0.136016
10.65 7.445401 -3.204599 0.007424 0.130828
10.70 7.552949 -3.147051 0.005865 0.126267
10.75 7.660587 -3.089413 0.002473 0.122980
10.80 7.768360 -3.031640 0.001804 0.119546
10.85 7.876327 -2.973673 0.006725 0.113796
10.90 7.984564 -2.915436 0.005228 0.110269
10.95 8.093165 -2.856835 0.003883 0.100637
11.00 8.202237 -2.797763 0.003247 0.095331
11.05 8.311906 -2.738094 0.005359 0.090753
11.10 8.422304 -2.677696 0.002634 0.090378
11.15 8.533568 -2.616432 0.001634 0.087675
11.20 8.645825 -2.554175 0.001798 0.087687
11.25 8.759177 -2.490823 0.000554 0.088107
11.30 8.873686 -2.426314 -0.000919 0.087212
11.35 8.989348 -2.360652 -0.001948 0.087738
11.40 9.106076 -2.293924 -0.006013 0.088067
11.45 9.223672 -2.226328 -0.010124 0.087689
11.50 9.341812 -2.158188 -0.013244 0.087214
11.55 9.460029 -2.089971 -0.019537 0.088074
11.60 9.577706 -2.022294 -0.023127 0.088855
11.65 9.694079 -1.955921 -0.025833 0.087261
11.70 9.808257 -1.891743 -0.028538 0.085784
11.75 9.919241 -1.830759 -0.031928 0.085405
11.80 10.025977 -1.774023 -0.031256 0.085978
11.85 10.127398 -1.722602 -0.029163 0.084190
11.90 10.222491 -1.677509 -0.027331 0.081156
11.95 10.310356 -1.639644 -0.024579 0.078726
12.00 10.390267 -1.609733 -0.021171 0.073359
12.05 10.461726 -1.588274 -0.017162 0.067539
12.10 10.524495 -1.575505 -0.012257 0.060489
12.15 10.578620 -1.571380 -0.007008 0.054106
12.20 10.624419 -1.575581 -0.002098 0.046962
12.25 10.662468 -1.587532 0.004464 0.039538
12.30 10.693550 -1.606450 0.010277 0.034903
12.35 10.718609 -1.631391 0.016477 0.031362
12.40 10.738679 -1.661321 0.023952 0.028160
12.45 10.754831 -1.695169 0.028842 0.026869
12.50 10.768107 -1.731893 0.032567 0.025457
12.55 10.779476 -1.770524 0.038047 0.023714
12.60 10.789792 -1.810208 0.043105 0.021494
12.65 10.799775 -1.850225 0.044159 0.020851
12.70 10.809995 -1.890005 0.045817 0.019874
12.75 10.820874 -1.929126 0.046407 0.018476
12.80 10.832696 -1.967304 0.046688 0.018014
12.85 10.845620 -2.004380 0.045349 0.020526
12.90 10.859707 -2.040293 0.042412 0.023234
12.95 10.874937 -2.075063 0.040008 0.026064
13.00 10.891235 -2.108765 0.036874 0.028417
13.05 10.908488 -2.141512 0.032776 0.029797
13.10 10.926565 -2.173435 0.029027 0.034104
13.15 10.945330 -2.204670 0.026726 0.038201
13.20 10.964651 -2.235349 0.025037 0.042160
13.25 10.984408 -2.265592 0.022957 0.045879
13.30 11.004499 -2.295501 0.021310 0.051620
13.35 11.024834 -2.325166 0.019256 0.055951
13.40 11.045344 -2.354656 0.017276 0.061774
13.45 11.065973 -2.384027 0.016473 0.066360
13.50 11.086680 -2.413320 0.015287 0.072030
13.55 11.107435 -2.442565 0.013702 0.076230
13.60 11.128215 -2.471785 0.014685 0.084615
13.65 11.149007 -2.500993 0.013786 0.088658
13.70 11.169801 -2.530199 0.013890 0.095779
13.75 11.190591 -2.559409 0.013921 0.102069
13.80 11.211375 -2.588625 0.013270 0.107115
13.85 11.232150 -2.617850 0.012116 0.112386
13.90 11.252917 -2.647083 0.009528 0.118454
13.95 11.273676 -2.676324 0.007131 0.125183
14.00 11.294428 -2.705572 0.007281 0.127855
14.05 11.315173 -2.734827 0.005358 0.133007
14.10 11.335913 -2.764087 0.004342 0.141903
14.15 11.356648 -2.793352 0.002793 0.149625
14.20 11.377379 -2.822621 0.001936 0.154837
