#Log10(Mpeak/Msun) Log10(Median_SM/Msun) Log10(Median_SM/Mpeak) Err+(dex) Err-(dex)
#Mpeak: peak historical halo mass, using Bryan & Norman virial overdensity.
#Best fit chi^2: 156.438889
10.00 6.194566 -3.805434 0.012935 0.218977
10.05 6.301416 -3.748584 0.015279 0.212554
10.10 6.408253 -3.691747 0.012517 0.204914
10.15 6.515076 -3.634924 0.009756 0.195304
10.20 6.621881 -3.578119 0.007553 0.187974
10.25 6.728665 -3.521335 0.005290 0.181504
10.30 6.835428 -3.464572 0.005264 0.174266
10.35 6.942165 -3.407835 0.005801 0.170550
10.40 7.048875 -3.351125 0.004062 0.160535
10.45 7.155559 -3.294441 0.002020 0.152988
10.50 7.262217 -3.237783 0.001441 0.144611
10.55 7.368856 -3.181144 0.001660 0.139962
10.60 7.475485 -3.124515 0.001177 0.133867
10.65 7.582124 -3.067876 0.001543 0.130357
10.70 7.688800 -3.011200 0.001662 0.124265
10.75 7.795552 -2.954448 0.004429 0.120846
10.80 7.902434 -2.897566 0.003658 0.117399
10.85 8.009519 -2.840481 0.003878 0.111945
10.90 8.116896 -2.783104 0.005327 0.104605
10.95 8.224672 -2.725328 0.005258 0.101567
11.00 8.332970 -2.667030 0.007350 0.094053
11.05 8.441923 -2.608077 0.008881 0.088293
11.10 8.551661 -2.548339 0.009343 0.086056
11.15 8.662305 -2.487695 0.009816 0.085271
11.20 8.773938 -2.426062 0.011110 0.084785
11.25 8.886594 -2.363406 0.011146 0.083119
11.30 9.000226 -2.299774 0.008193 0.083122
11.35 9.114686 -2.235314 0.006467 0.083720
11.40 9.229696 -2.170304 0.004229 0.081907
11.45 9.344839 -2.105161 0.001378 0.081708
11.50 9.459540 -2.040460 -0.000028 0.081920
11.55 9.573076 -1.976924 -0.004538 0.080220
11.60 9.684588 -1.915412 -0.007488 0.079071
11.65 9.793111 -1.856889 -0.012279 0.076993
11.70 9.897620 -1.802380 -0.012805 0.076656
11.75 9.997086 -1.752914 -0.012784 0.072274
11.80 10.090543 -1.709457 -0.010712 0.067944
11.85 10.177146 -1.672854 -0.007941 0.062062
11.90 10.256241 -1.643759 -0.006282 0.058760
11.95 10.327408 -1.622592 -0.005529 0.052381
12.00 10.390496 -1.609504 -0.000760 0.045137
12.05 10.445637 -1.604363 0.003504 0.039694
12.10 10.493231 -1.606769 0.008762 0.038350
12.15 10.533919 -1.616081 0.014046 0.033536
12.20 10.568533 -1.631467 0.020064 0.028044
12.25 10.598033 -1.651967 0.026085 0.024640
12.30 10.623448 -1.676552 0.030895 0.020433
12.35 10.645802 -1.704198 0.035594 0.016526
12.40 10.666067 -1.733933 0.039470 0.010249
12.45 10.685110 -1.764890 0.042877 0.005730
12.50 10.703666 -1.796334 0.047069 0.001784
12.55 10.722319 -1.827681 0.049146 0.001309
12.60 10.741499 -1.858501 0.050666 0.000000
12.65 10.761490 -1.888510 0.052935 0.001330
12.70 10.782451 -1.917549 0.055924 0.001833
12.75 10.804434 -1.945566 0.054885 0.002699
12.80 10.827412 -1.972588 0.056311 0.005620
12.85 10.851301 -1.998699 0.056621 0.006122
12.90 10.875986 -2.024014 0.055533 0.009063
12.95 10.901334 -2.048666 0.054317 0.010452
13.00 10.927214 -2.072786 0.050684 0.013560
13.05 10.953501 -2.096499 0.048140 0.014960
13.10 10.980087 -2.119913 0.045798 0.016212
13.15 11.006881 -2.143119 0.042352 0.016521
13.20 11.033810 -2.166190 0.040369 0.017545
13.25 11.060819 -2.189181 0.039267 0.019028
13.30 11.087867 -2.212133 0.035987 0.020440
13.35 11.114925 -2.235075 0.032839 0.022392
13.40 11.141975 -2.258025 0.029265 0.024021
13.45 11.169007 -2.280993 0.027606 0.026193
13.50 11.196014 -2.303986 0.025134 0.029189
13.55 11.222993 -2.327007 0.021381 0.030838
13.60 11.249946 -2.350054 0.019285 0.032153
13.65 11.276874 -2.373126 0.018219 0.034432
13.70 11.303779 -2.396221 0.015930 0.035316
13.75 11.330663 -2.419337 0.013717 0.038558
13.80 11.357530 -2.442470 0.011768 0.040184
13.85 11.384382 -2.465618 0.010658 0.042223
13.90 11.411221 -2.488779 0.010020 0.044792
13.95 11.438050 -2.511950 0.009536 0.048636
14.00 11.464869 -2.535131 0.007710 0.052655
14.05 11.491680 -2.558320 0.007005 0.055396
14.10 11.518485 -2.581515 0.007071 0.059361
14.15 11.545285 -2.604715 0.006760 0.061418
14.20 11.572081 -2.627919 0.006303 0.064537
14.25 11.598872 -2.651128 0.005843 0.066372
14.30 11.625661 -2.674339 0.005827 0.069333
14.35 11.652447 -2.697553 0.005517 0.072300
