#Log10(Mpeak/Msun) Log10(Median_SM/Msun) Log10(Median_SM/Mpeak) Err+(dex) Err-(dex)
#Mpeak: peak historical halo mass, using Bryan & Norman virial overdensity.
#Best fit chi^2: 156.438889
10.00 6.004553 -3.995447 0.058107 0.188514
10.05 6.111121 -3.938879 0.057992 0.183354
10.10 6.217683 -3.882317 0.053060 0.177785
10.15 6.324239 -3.825761 0.050648 0.172090
10.20 6.430787 -3.769213 0.046976 0.165920
10.25 6.537325 -3.712675 0.043304 0.162432
10.30 6.643853 -3.656147 0.039710 0.157512
10.35 6.750368 -3.599632 0.038064 0.152332
10.40 6.856869 -3.543131 0.035646 0.146501
10.45 6.963354 -3.486646 0.032106 0.140535
10.50 7.069821 -3.430179 0.031030 0.135892
10.55 7.176271 -3.373729 0.027228 0.129304
10.60 7.282705 -3.317295 0.023418 0.121688
10.65 7.389127 -3.260873 0.019599 0.114489
10.70 7.495546 -3.204454 0.016291 0.106885
10.75 7.601976 -3.148024 0.014090 0.104238
10.80 7.708440 -3.091560 0.014433 0.101628
10.85 7.814971 -3.035029 0.015199 0.096833
10.90 7.921616 -2.978384 0.016050 0.093805
10.95 8.028438 -2.921562 0.013739 0.090260
11.00 8.135519 -2.864481 0.013021 0.083087
11.05 8.242962 -2.807038 0.013864 0.080092
11.10 8.350886 -2.749114 0.016033 0.077544
11.15 8.459431 -2.690569 0.013968 0.076354
11.20 8.568744 -2.631256 0.012042 0.075110
11.25 8.678974 -2.571026 0.010048 0.073229
11.30 8.790252 -2.509748 0.008278 0.071914
11.35 8.902675 -2.447325 0.007200 0.070568
11.40 9.016280 -2.383720 0.001712 0.069495
11.45 9.131019 -2.318981 0.000000 0.070613
11.50 9.246728 -2.253272 -0.001742 0.071321
11.55 9.363106 -2.186894 -0.005106 0.074084
11.60 9.479693 -2.120307 -0.011762 0.074795
11.65 9.595858 -2.054142 -0.016982 0.075594
11.70 9.710805 -1.989195 -0.021367 0.074626
11.75 9.823586 -1.926414 -0.025246 0.073802
11.80 9.933137 -1.866863 -0.026419 0.075497
11.85 10.038326 -1.811674 -0.025924 0.077712
11.90 10.138016 -1.761984 -0.022557 0.076883
11.95 10.231134 -1.718866 -0.019777 0.072989
12.00 10.316750 -1.683250 -0.016469 0.073327
12.05 10.394138 -1.655862 -0.012302 0.069593
12.10 10.462838 -1.637162 -0.007927 0.066972
12.15 10.522689 -1.627311 -0.004299 0.061489
12.20 10.573843 -1.626157 0.000000 0.057951
12.25 10.616752 -1.633248 0.004103 0.053603
12.30 10.652134 -1.647866 0.009131 0.045853
12.35 10.680917 -1.669083 0.014436 0.042226
12.40 10.704168 -1.695832 0.017162 0.035850
12.45 10.723024 -1.726976 0.020847 0.030334
12.50 10.738619 -1.761381 0.025419 0.028566
12.55 10.752019 -1.797981 0.028784 0.025844
12.60 10.764175 -1.835825 0.034628 0.025522
12.65 10.775890 -1.874110 0.040582 0.023372
12.70 10.787797 -1.912203 0.044635 0.020797
12.75 10.800362 -1.949638 0.046156 0.019224
12.80 10.813892 -1.986108 0.045826 0.016916
12.85 10.828551 -2.021449 0.048248 0.015022
12.90 10.844393 -2.055607 0.048891 0.015253
12.95 10.861382 -2.088618 0.047550 0.017045
13.00 10.879423 -2.120577 0.043968 0.018016
13.05 10.898384 -2.151616 0.044106 0.019519
13.10 10.918118 -2.181882 0.043519 0.021317
13.15 10.938477 -2.211523 0.042111 0.023641
13.20 10.959321 -2.240679 0.041854 0.025288
13.25 10.980530 -2.269470 0.039973 0.026174
13.30 11.002000 -2.298000 0.038466 0.028882
13.35 11.023650 -2.326350 0.035381 0.030294
13.40 11.045415 -2.354585 0.033104 0.032199
13.45 11.067248 -2.382752 0.030864 0.033581
13.50 11.089116 -2.410884 0.028592 0.033701
13.55 11.110995 -2.439005 0.026208 0.034751
13.60 11.132871 -2.467129 0.026492 0.036408
13.65 11.154737 -2.495263 0.024980 0.038655
13.70 11.176586 -2.523414 0.025646 0.040340
13.75 11.198418 -2.551582 0.024805 0.042000
13.80 11.220232 -2.579768 0.023822 0.044040
13.85 11.242031 -2.607969 0.023354 0.047522
13.90 11.263815 -2.636185 0.021783 0.051403
13.95 11.285586 -2.664414 0.021129 0.053411
14.00 11.307346 -2.692654 0.019926 0.057469
14.05 11.329097 -2.720903 0.020699 0.061535
14.10 11.350840 -2.749160 0.020591 0.066523
14.15 11.372576 -2.777424 0.020257 0.071030
