#Log10(Mpeak/Msun) Log10(Median_SM/Msun) Log10(Median_SM/Mpeak) Err+(dex) Err-(dex)
#Mpeak: peak historical halo mass, using Bryan & Norman virial overdensity.
#Best fit chi^2: 156.438889
10.00 6.101979 -3.898021 0.035102 0.214166
10.05 6.209672 -3.840328 0.032572 0.208669
10.10 6.317356 -3.782644 0.031253 0.201542
10.15 6.425028 -3.724972 0.030221 0.191039
10.20 6.532685 -3.667315 0.026587 0.183321
10.25 6.640327 -3.609673 0.023703 0.178333
10.30 6.747950 -3.552050 0.020285 0.172418
10.35 6.855553 -3.494447 0.017832 0.164449
10.40 6.963136 -3.436864 0.015379 0.159215
10.45 7.070697 -3.379303 0.012397 0.153376
10.50 7.178239 -3.321761 0.009700 0.145864
10.55 7.285769 -3.264231 0.008882 0.139477
10.60 7.393297 -3.206703 0.008655 0.137086
10.65 7.500843 -3.149157 0.008376 0.132618
10.70 7.608434 -3.091566 0.008016 0.126985
10.75 7.716112 -3.033888 0.007543 0.121930
10.80 7.823934 -2.976066 0.009389 0.117102
10.85 7.931978 -2.918022 0.009446 0.112591
10.90 8.040342 -2.859658 0.008941 0.106210
10.95 8.149147 -2.800853 0.009660 0.102325
11.00 8.258534 -2.741466 0.012205 0.096622
11.05 8.368664 -2.681336 0.011066 0.093764
11.10 8.479704 -2.620296 0.010753 0.088237
11.15 8.591820 -2.558180 0.009981 0.088544
11.20 8.705154 -2.494846 0.009474 0.087022
11.25 8.819805 -2.430195 0.009008 0.083953
11.30 8.935799 -2.364201 0.005253 0.084325
11.35 9.053063 -2.296937 0.002323 0.085642
11.40 9.171394 -2.228606 -0.001244 0.087824
11.45 9.290435 -2.159565 -0.006965 0.088892
11.50 9.409656 -2.090344 -0.013380 0.090055
11.55 9.528349 -2.021651 -0.016134 0.089827
11.60 9.645634 -1.954366 -0.020515 0.091072
11.65 9.760482 -1.889518 -0.027452 0.093568
11.70 9.871761 -1.828239 -0.028772 0.095861
11.75 9.978287 -1.771713 -0.031066 0.092767
11.80 10.078896 -1.721104 -0.029668 0.092430
11.85 10.172522 -1.677478 -0.028014 0.089244
11.90 10.258267 -1.641733 -0.023689 0.084452
11.95 10.335472 -1.614528 -0.020793 0.079621
12.00 10.403765 -1.596235 -0.015615 0.075636
12.05 10.463094 -1.586906 -0.011003 0.068960
12.10 10.513728 -1.586272 -0.005480 0.063614
12.15 10.556235 -1.593765 0.002267 0.056452
12.20 10.591441 -1.608559 0.011245 0.050615
12.25 10.620367 -1.629633 0.020163 0.045005
12.30 10.644153 -1.655847 0.027009 0.035911
12.35 10.663982 -1.686018 0.031898 0.030786
12.40 10.681012 -1.718988 0.035797 0.022811
12.45 10.696311 -1.753689 0.039113 0.015549
12.50 10.710811 -1.789189 0.044115 0.011612
12.55 10.725279 -1.824721 0.046057 0.008302
12.60 10.740303 -1.859697 0.049084 0.006125
12.65 10.756294 -1.893706 0.050211 0.000857
12.70 10.773504 -1.926496 0.053696 0.001589
12.75 10.792047 -1.957953 0.052585 0.002034
12.80 10.811923 -1.988077 0.050571 0.002581
12.85 10.833057 -2.016943 0.050195 0.004780
12.90 10.855315 -2.044685 0.047879 0.006375
12.95 10.878540 -2.071460 0.046825 0.008031
13.00 10.902562 -2.097438 0.046252 0.009726
13.05 10.927218 -2.122782 0.044688 0.011582
13.10 10.952359 -2.147641 0.042573 0.012859
13.15 10.977857 -2.172143 0.039956 0.014693
13.20 11.003606 -2.196394 0.037429 0.016839
13.25 11.029523 -2.220477 0.034658 0.018986
13.30 11.055543 -2.244457 0.032633 0.021205
13.35 11.081622 -2.268378 0.030149 0.023039
13.40 11.107725 -2.292275 0.025712 0.026018
13.45 11.133832 -2.316168 0.024670 0.027835
13.50 11.159930 -2.340070 0.021204 0.031088
13.55 11.186010 -2.363990 0.017195 0.033747
13.60 11.212070 -2.387930 0.015705 0.035728
13.65 11.238108 -2.411892 0.013664 0.037919
13.70 11.264126 -2.435874 0.010909 0.041056
13.75 11.290125 -2.459875 0.009322 0.044174
13.80 11.316108 -2.483892 0.007122 0.047280
13.85 11.342075 -2.507925 0.005654 0.049275
13.90 11.368030 -2.531970 0.004395 0.052752
13.95 11.393975 -2.556025 0.004167 0.055852
14.00 11.419910 -2.580090 0.003371 0.059638
14.05 11.445838 -2.604162 0.003240 0.064470
14.10 11.471759 -2.628241 0.003109 0.067304
14.15 11.497675 -2.652325 0.001397 0.069800
14.20 11.523587 -2.676413 0.000000 0.072895
14.25 11.549496 -2.700504 0.000000 0.075120
