#Log10(Mpeak/Msun) Log10(Median_SM/Msun) Log10(Median_SM/Mpeak) Err+(dex) Err-(dex)
#Mpeak: peak historical halo mass, using Bryan & Norman virial overdensity.
#Best fit chi^2: 156.438889
10.00 6.020079 -3.979921 0.055285 0.199766
10.05 6.127145 -3.922855 0.051415 0.194356
10.10 6.234204 -3.865796 0.048918 0.189535
10.15 6.341255 -3.808745 0.047184 0.180961
10.20 6.448297 -3.751703 0.043465 0.173773
10.25 6.555328 -3.694672 0.039991 0.166926
10.30 6.662347 -3.637653 0.036028 0.162691
10.35 6.769351 -3.580649 0.032682 0.159661
10.40 6.876339 -3.523661 0.030039 0.152946
10.45 6.983310 -3.466690 0.027389 0.147522
10.50 7.090263 -3.409737 0.026168 0.140736
10.55 7.197198 -3.352802 0.022830 0.133420
10.60 7.304121 -3.295879 0.019349 0.126403
10.65 7.411037 -3.238963 0.016617 0.118979
10.70 7.517962 -3.182038 0.013841 0.113922
10.75 7.624914 -3.125086 0.012648 0.112003
10.80 7.731927 -3.068073 0.012278 0.106706
10.85 7.839046 -3.010954 0.011705 0.102751
10.90 7.946331 -2.953669 0.011765 0.098761
10.95 8.053864 -2.896136 0.012575 0.091283
11.00 8.161748 -2.838252 0.011850 0.086836
11.05 8.270106 -2.779894 0.014139 0.084947
11.10 8.379081 -2.720919 0.013489 0.080930
11.15 8.488832 -2.661168 0.011133 0.080392
11.20 8.599521 -2.600479 0.009281 0.079254
11.25 8.711300 -2.538700 0.007716 0.077405
11.30 8.824296 -2.475704 0.006143 0.076108
11.35 8.938581 -2.411419 0.002263 0.074315
11.40 9.054148 -2.345852 0.001357 0.076659
11.45 9.170881 -2.279119 -0.003062 0.079060
11.50 9.288529 -2.211471 -0.006536 0.078820
11.55 9.406682 -2.143318 -0.012593 0.081229
11.60 9.524753 -2.075247 -0.018625 0.081317
11.65 9.641981 -2.008019 -0.022970 0.082084
11.70 9.757438 -1.942562 -0.028495 0.081431
11.75 9.870059 -1.879941 -0.031413 0.083285
11.80 9.978690 -1.821310 -0.030864 0.082708
11.85 10.082146 -1.767854 -0.030959 0.086246
11.90 10.179283 -1.720717 -0.028234 0.082455
11.95 10.269077 -1.680923 -0.026611 0.080045
12.00 10.350692 -1.649308 -0.022381 0.080719
12.05 10.423551 -1.626449 -0.016644 0.076595
12.10 10.487373 -1.612627 -0.011118 0.071287
12.15 10.542203 -1.607797 -0.005657 0.067769
12.20 10.588402 -1.611598 0.000351 0.062315
12.25 10.626624 -1.623376 0.006149 0.053793
12.30 10.657761 -1.642239 0.011544 0.049485
12.35 10.682876 -1.667124 0.016491 0.042957
12.40 10.703133 -1.696867 0.021408 0.036910
12.45 10.719713 -1.730287 0.023732 0.030526
12.50 10.733754 -1.766246 0.029400 0.027542
12.55 10.746287 -1.803713 0.032608 0.023967
12.60 10.758197 -1.841803 0.038411 0.020372
12.65 10.770200 -1.879800 0.041464 0.017313
12.70 10.782834 -1.917166 0.044658 0.015226
12.75 10.796465 -1.953535 0.045186 0.012873
12.80 10.811306 -1.988694 0.047496 0.010468
12.85 10.827439 -2.022561 0.047362 0.011314
12.90 10.844849 -2.055151 0.045855 0.011585
12.95 10.863446 -2.086554 0.047560 0.011964
13.00 10.883094 -2.116906 0.046861 0.013107
13.05 10.903638 -2.146362 0.046336 0.016271
13.10 10.924913 -2.175087 0.043668 0.018934
13.15 10.946766 -2.203234 0.040836 0.020647
13.20 10.969058 -2.230942 0.039739 0.022121
13.25 10.991671 -2.258329 0.036890 0.023702
13.30 11.014508 -2.285492 0.035359 0.026905
13.35 11.037494 -2.312506 0.033859 0.029444
13.40 11.060571 -2.339429 0.030238 0.030487
13.45 11.083700 -2.366300 0.028459 0.033011
13.50 11.106850 -2.393150 0.025429 0.034382
13.55 11.130003 -2.419997 0.023339 0.036090
13.60 11.153148 -2.446852 0.021124 0.038454
13.65 11.176279 -2.473721 0.018945 0.039358
13.70 11.199392 -2.500608 0.018126 0.041969
13.75 11.222488 -2.527512 0.017832 0.043924
13.80 11.245566 -2.554434 0.016331 0.047456
13.85 11.268628 -2.581372 0.016085 0.049150
13.90 11.291676 -2.608324 0.014836 0.052167
13.95 11.314713 -2.635287 0.012655 0.054420
14.00 11.337739 -2.662261 0.012514 0.058366
14.05 11.360756 -2.689244 0.011612 0.061615
14.10 11.383766 -2.716234 0.010542 0.065957
14.15 11.406770 -2.743230 0.010371 0.071947
