#Log10(Mpeak/Msun) Log10(Median_SM/Msun) Log10(Median_SM/Mpeak) Err+(dex) Err-(dex)
#Mpeak: peak historical halo mass, using Bryan & Norman virial overdensity.
#Best fit chi^2: 177.876282
10.00 6.012179 -3.987821 0.066640 0.191919
10.05 6.118697 -3.931303 0.062218 0.186380
10.10 6.225212 -3.874788 0.059507 0.181091
10.15 6.331723 -3.818277 0.053018 0.177406
10.20 6.438230 -3.761770 0.048408 0.172538
10.25 6.544731 -3.705269 0.043808 0.166950
10.30 6.651226 -3.648774 0.039027 0.158651
10.35 6.757715 -3.592285 0.033894 0.154877
10.40 6.864197 -3.535803 0.029687 0.151723
10.45 6.970673 -3.479327 0.026949 0.144031
10.50 7.077144 -3.422856 0.023672 0.137724
10.55 7.183613 -3.366387 0.020636 0.130333
10.60 7.290085 -3.309915 0.017924 0.126149
10.65 7.396570 -3.253430 0.015426 0.123375
10.70 7.503080 -3.196920 0.011803 0.117992
10.75 7.609637 -3.140363 0.007771 0.112477
10.80 7.716267 -3.083733 0.008435 0.110192
10.85 7.823011 -3.026989 0.004918 0.105308
10.90 7.929919 -2.970081 0.006626 0.099914
10.95 8.037058 -2.912942 0.006628 0.095407
11.00 8.144507 -2.855493 0.007261 0.090187
11.05 8.252365 -2.797635 0.006218 0.086006
11.10 8.360742 -2.739258 0.007449 0.083585
11.15 8.469761 -2.680239 0.004791 0.081537
11.20 8.579549 -2.620451 0.002164 0.079461
11.25 8.690226 -2.559774 0.001255 0.077199
11.30 8.801896 -2.498104 0.000000 0.076612
11.35 8.914627 -2.435373 -0.001609 0.075513
11.40 9.028435 -2.371565 -0.002514 0.077371
11.45 9.143257 -2.306743 -0.004233 0.076463
11.50 9.258936 -2.241064 -0.007450 0.074390
11.55 9.375195 -2.174805 -0.010746 0.075863
11.60 9.491622 -2.108378 -0.015047 0.075397
11.65 9.607662 -2.042338 -0.018223 0.076364
11.70 9.722615 -1.977385 -0.023640 0.077060
11.75 9.835642 -1.914358 -0.022358 0.078794
11.80 9.945795 -1.854205 -0.023934 0.078460
11.85 10.052046 -1.797954 -0.023807 0.080485
11.90 10.153337 -1.746663 -0.024210 0.076934
11.95 10.248638 -1.701362 -0.021634 0.077219
12.00 10.337005 -1.662995 -0.020988 0.075325
12.05 10.417649 -1.632351 -0.015959 0.072320
12.10 10.489984 -1.610016 -0.011257 0.066403
12.15 10.553676 -1.596324 -0.007730 0.061830
12.20 10.608665 -1.591335 -0.003037 0.057256
12.25 10.655172 -1.594828 -0.000224 0.050678
12.30 10.693680 -1.606320 0.003285 0.044308
12.35 10.724900 -1.625100 0.007832 0.041088
12.40 10.749718 -1.650282 0.013219 0.037010
12.45 10.769134 -1.680866 0.017913 0.034950
12.50 10.784203 -1.715797 0.023268 0.035351
12.55 10.795971 -1.754029 0.028751 0.034455
12.60 10.805425 -1.794575 0.033213 0.034770
12.65 10.813455 -1.836545 0.037223 0.032582
12.70 10.820819 -1.879181 0.039613 0.032278
12.75 10.828135 -1.921865 0.039743 0.030960
12.80 10.835875 -1.964125 0.041212 0.031279
12.85 10.844371 -2.005629 0.041984 0.029697
12.90 10.853827 -2.046173 0.041133 0.028715
12.95 10.864344 -2.085656 0.040556 0.031200
13.00 10.875937 -2.124063 0.038778 0.033674
13.05 10.888556 -2.161444 0.038531 0.036794
13.10 10.902113 -2.197887 0.035964 0.039196
13.15 10.916490 -2.233510 0.034620 0.041994
13.20 10.931561 -2.268439 0.033747 0.044990
13.25 10.947204 -2.302796 0.033952 0.052271
13.30 10.963299 -2.336701 0.032577 0.056216
13.35 10.979745 -2.370255 0.032001 0.063127
13.40 10.996453 -2.403547 0.030293 0.065120
13.45 11.013352 -2.436648 0.031522 0.068152
13.50 11.030383 -2.469617 0.030662 0.074236
13.55 11.047504 -2.502496 0.030723 0.077003
13.60 11.064681 -2.535319 0.031559 0.080084
13.65 11.081892 -2.568108 0.031680 0.084046
13.70 11.099121 -2.600879 0.030690 0.089077
13.75 11.116356 -2.633644 0.030080 0.094858
13.80 11.133591 -2.666409 0.029077 0.101945
13.85 11.150822 -2.699178 0.027005 0.107878
13.90 11.168047 -2.731953 0.027264 0.117358
13.95 11.185266 -2.764734 0.028416 0.123373
14.00 11.202478 -2.797522 0.029491 0.130348
14.05 11.219683 -2.830317 0.030611 0.135285
14.10 11.236883 -2.863117 0.032504 0.145307
14.15 11.254079 -2.895921 0.034810 0.155386
