#Log10(Mpeak/Msun) Log10(Median_SM/Msun) Log10(Median_SM/Mpeak) Err+(dex) Err-(dex)
#Mpeak: peak historical halo mass, using Bryan & Norman virial overdensity.
#Best fit chi^2: 177.876282
10.00 6.195189 -3.804811 0.021332 0.210755
10.05 6.302480 -3.747520 0.019829 0.202895
10.10 6.409762 -3.690238 0.017966 0.196009
10.15 6.517032 -3.632968 0.013472 0.189810
10.20 6.624289 -3.575711 0.009379 0.183001
10.25 6.731532 -3.518468 0.006763 0.178240
10.30 6.838760 -3.461240 0.004156 0.173472
10.35 6.945972 -3.404028 0.003380 0.168698
10.40 7.053170 -3.346830 0.000557 0.165892
10.45 7.160357 -3.289643 0.000000 0.159545
10.50 7.267537 -3.232463 0.000000 0.154258
10.55 7.374721 -3.175279 0.000959 0.148842
10.60 7.481925 -3.118075 0.000519 0.142662
10.65 7.589169 -3.060831 0.000000 0.137270
10.70 7.696485 -3.003515 -0.000323 0.131190
10.75 7.803913 -2.946087 -0.003379 0.127376
10.80 7.911507 -2.888493 -0.002875 0.120497
10.85 8.019330 -2.830670 -0.000441 0.110720
10.90 8.127459 -2.772541 -0.001239 0.105495
10.95 8.235981 -2.714019 -0.001710 0.103361
11.00 8.344989 -2.655011 0.000000 0.099807
11.05 8.454576 -2.595424 0.001456 0.099595
11.10 8.564824 -2.535176 0.000090 0.097699
11.15 8.675798 -2.474202 0.001016 0.096557
11.20 8.787525 -2.412475 0.002301 0.095181
11.25 8.899980 -2.350020 0.001984 0.092116
11.30 9.013068 -2.286932 0.000627 0.089150
11.35 9.126610 -2.223390 0.000000 0.086399
11.40 9.240320 -2.159680 0.001827 0.086792
11.45 9.353802 -2.096198 0.000000 0.085311
11.50 9.466540 -2.033460 -0.003737 0.082890
11.55 9.577905 -1.972095 -0.004171 0.079714
11.60 9.687166 -1.912834 -0.005509 0.075726
11.65 9.793512 -1.856488 -0.004776 0.072492
11.70 9.896088 -1.803912 -0.004477 0.067928
11.75 9.994037 -1.755963 -0.003372 0.062496
11.80 10.086546 -1.713454 -0.002102 0.056962
11.85 10.172893 -1.677107 0.001539 0.050682
11.90 10.252501 -1.647499 0.006760 0.043940
11.95 10.324971 -1.625029 0.010197 0.037962
12.00 10.390113 -1.609887 0.013449 0.028421
12.05 10.447961 -1.602039 0.017062 0.022515
12.10 10.498768 -1.601232 0.021106 0.017556
12.15 10.542991 -1.607009 0.023696 0.013124
12.20 10.581254 -1.618746 0.029922 0.009564
12.25 10.614310 -1.635690 0.035283 0.006404
12.30 10.642991 -1.657009 0.039562 0.004005
12.35 10.668159 -1.681841 0.043667 0.002435
12.40 10.690659 -1.709341 0.047418 0.000139
12.45 10.711281 -1.738719 0.050398 0.000000
12.50 10.730729 -1.769271 0.053637 0.000649
12.55 10.749598 -1.800402 0.057716 0.000000
12.60 10.768370 -1.831630 0.057594 0.000932
12.65 10.787406 -1.862594 0.058787 0.002901
12.70 10.806958 -1.893042 0.058597 0.005344
12.75 10.827181 -1.922819 0.058318 0.008251
12.80 10.848146 -1.951854 0.052934 0.012644
12.85 10.869860 -1.980140 0.052915 0.016800
12.90 10.892283 -2.007717 0.049932 0.021155
12.95 10.915345 -2.034655 0.047324 0.026948
13.00 10.938959 -2.061041 0.043939 0.030685
13.05 10.963030 -2.086970 0.039514 0.034536
13.10 10.987468 -2.112532 0.036023 0.037999
13.15 11.012188 -2.137812 0.032411 0.042535
13.20 11.037118 -2.162882 0.030793 0.046367
13.25 11.062195 -2.187805 0.028471 0.051098
13.30 11.087372 -2.212628 0.024994 0.054436
13.35 11.112610 -2.237390 0.022571 0.056773
13.40 11.137882 -2.262118 0.019258 0.058846
13.45 11.163168 -2.286832 0.015778 0.063213
13.50 11.188454 -2.311546 0.014195 0.067783
13.55 11.213732 -2.336268 0.012084 0.072154
13.60 11.238998 -2.361002 0.011258 0.076302
13.65 11.264249 -2.385751 0.010276 0.081914
13.70 11.289484 -2.410516 0.009052 0.086922
13.75 11.314704 -2.435296 0.007589 0.090751
13.80 11.339910 -2.460090 0.006352 0.094235
13.85 11.365104 -2.484896 0.004817 0.100138
13.90 11.390287 -2.509713 0.004198 0.104030
13.95 11.415461 -2.534539 0.003505 0.109835
14.00 11.440627 -2.559373 0.003595 0.113189
14.05 11.465786 -2.584214 0.003990 0.120866
14.10 11.490939 -2.609061 0.005006 0.127940
14.15 11.516088 -2.633912 0.005326 0.131205
14.20 11.541233 -2.658767 0.004396 0.134815
14.25 11.566374 -2.683626 0.004233 0.142373
14.30 11.591512 -2.708488 0.005252 0.148317
14.35 11.616649 -2.733351 0.005185 0.151146
