location_from,location_to,classification_from,classification_to,comment,prefixed_id,skos_uri
004,AF,undata_energy,iso_3166_1,one-to-one correspondence,b1cd1962-be7b-4c89-a9bf-90a4ccbfa9c3,http://www.w3.org/2004/02/skos/core#exactMatch
008,AL,undata_energy,iso_3166_1,one-to-one correspondence,6dd02dd3-8391-4f5a-b92f-9ac4a6f223b5,http://www.w3.org/2004/02/skos/core#exactMatch
012,DZ,undata_energy,iso_3166_1,one-to-one correspondence,89e25967-6825-44eb-931d-425b374abecd,http://www.w3.org/2004/02/skos/core#exactMatch
016,AS,undata_energy,iso_3166_1,one-to-one correspondence,223fdc57-4fae-4088-b971-cf1edee97f7d,http://www.w3.org/2004/02/skos/core#exactMatch
020,AD,undata_energy,iso_3166_1,one-to-one correspondence,2370e479-3b0e-47e8-8112-780363216ce2,http://www.w3.org/2004/02/skos/core#exactMatch
024,AO,undata_energy,iso_3166_1,one-to-one correspondence,5de745b2-4501-4cee-a8ff-2ae1c22a4ddf,http://www.w3.org/2004/02/skos/core#exactMatch
028,AG,undata_energy,iso_3166_1,one-to-one correspondence,164a2a08-47be-4879-b50e-f137add8ab70,http://www.w3.org/2004/02/skos/core#exactMatch
031,AZ,undata_energy,iso_3166_1,many-to-one correspondence,5bfe91cf-361a-4da9-8b7e-72d9805cff21,http://www.w3.org/2004/02/skos/core#broadMatch
032,AR,undata_energy,iso_3166_1,one-to-one correspondence,317da219-331c-4b8f-8be9-f65c107bc57f,http://www.w3.org/2004/02/skos/core#exactMatch
036,AU,undata_energy,iso_3166_1,one-to-one correspondence,92b29144-3531-452e-90c9-4614db3e0031,http://www.w3.org/2004/02/skos/core#exactMatch
040,AT,undata_energy,iso_3166_1,one-to-one correspondence,4cc7c991-ac74-4ba5-8a51-afd6c60b9052,http://www.w3.org/2004/02/skos/core#exactMatch
044,BS,undata_energy,iso_3166_1,one-to-one correspondence,c930dfdb-50f7-4a85-9c8f-b70d4e6a3388,http://www.w3.org/2004/02/skos/core#exactMatch
048,BH,undata_energy,iso_3166_1,one-to-one correspondence,f3148b26-a853-4f6c-b53d-59ca2b8f411b,http://www.w3.org/2004/02/skos/core#exactMatch
050,BD,undata_energy,iso_3166_1,one-to-one correspondence,f4cb5c6c-d452-4bc8-b6d3-e13541a9909d,http://www.w3.org/2004/02/skos/core#exactMatch
051,AM,undata_energy,iso_3166_1,many-to-one correspondence,c649c157-c9db-4300-849f-f3d53ec66cc8,http://www.w3.org/2004/02/skos/core#broadMatch
052,BB,undata_energy,iso_3166_1,one-to-one correspondence,8898cd32-d13a-4883-b1e4-f08967abc03b,http://www.w3.org/2004/02/skos/core#exactMatch
056,BE,undata_energy,iso_3166_1,one-to-one correspondence,13bd64bf-4a44-4077-9b44-9564ec33642f,http://www.w3.org/2004/02/skos/core#exactMatch
060,BM,undata_energy,iso_3166_1,one-to-one correspondence,e5178cbd-a55e-430f-9001-c875e8bf6adf,http://www.w3.org/2004/02/skos/core#exactMatch
064,BT,undata_energy,iso_3166_1,one-to-one correspondence,79d17110-b282-4e33-bea7-48e37b6209c8,http://www.w3.org/2004/02/skos/core#exactMatch
068,BO,undata_energy,iso_3166_1,one-to-one correspondence,33763c8a-27aa-403f-8d5a-4849fa8c0adc,http://www.w3.org/2004/02/skos/core#exactMatch
070,BA,undata_energy,iso_3166_1,many-to-one correspondence,b49a41de-3d8f-4aa6-a840-c0695ec34060,http://www.w3.org/2004/02/skos/core#broadMatch
072,BW,undata_energy,iso_3166_1,one-to-one correspondence,3242d83c-8305-4779-bc82-d79ce78335a3,http://www.w3.org/2004/02/skos/core#exactMatch
076,BR,undata_energy,iso_3166_1,one-to-one correspondence,f112c6c3-f044-466d-8305-6a2f0b76fb69,http://www.w3.org/2004/02/skos/core#exactMatch
081,WF,undata_energy,iso_3166_1,many-to-one correspondence,409f9bac-ef70-40dc-8fe5-5bc3aae592c5,http://www.w3.org/2004/02/skos/core#broadMatch
084,BZ,undata_energy,iso_3166_1,one-to-one correspondence,bb17b93e-6d05-4446-b748-ff824d8dca9e,http://www.w3.org/2004/02/skos/core#exactMatch
090,SB,undata_energy,iso_3166_1,one-to-one correspondence,4ef5b971-905e-4220-8c1d-f7548d9a8b28,http://www.w3.org/2004/02/skos/core#exactMatch
092,VG,undata_energy,iso_3166_1,one-to-one correspondence,daad8860-dc54-4560-99c1-1671616d86e9,http://www.w3.org/2004/02/skos/core#exactMatch
096,BN,undata_energy,iso_3166_1,one-to-one correspondence,200ba455-7eca-47cc-afb6-5751658bb08c,http://www.w3.org/2004/02/skos/core#exactMatch
100,BG,undata_energy,iso_3166_1,one-to-one correspondence,a991aaa6-27a8-4ca0-9da1-36dc814f77ca,http://www.w3.org/2004/02/skos/core#exactMatch
104,MM,undata_energy,iso_3166_1,one-to-one correspondence,8f052bdc-edda-4709-96c5-2e05f34348c8,http://www.w3.org/2004/02/skos/core#exactMatch
108,BI,undata_energy,iso_3166_1,one-to-one correspondence,fe607fd5-c1d3-40ee-aad0-519f249bce1f,http://www.w3.org/2004/02/skos/core#exactMatch
112,BY,undata_energy,iso_3166_1,one-to-one correspondence,a2e37503-4b02-4a1f-9d93-d97b301f6826,http://www.w3.org/2004/02/skos/core#exactMatch
116,KH,undata_energy,iso_3166_1,one-to-one correspondence,f97fd924-3cc6-47b6-b8e1-f3a03e9d139f,http://www.w3.org/2004/02/skos/core#exactMatch
120,CM,undata_energy,iso_3166_1,one-to-one correspondence,880a4f29-8850-40a7-9b09-9db34b5f06ca,http://www.w3.org/2004/02/skos/core#exactMatch
124,CA,undata_energy,iso_3166_1,one-to-one correspondence,3210a6cd-7e7c-4cdb-ae90-93c327309632,http://www.w3.org/2004/02/skos/core#exactMatch
132,CV,undata_energy,iso_3166_1,one-to-one correspondence,26c7f8aa-dda6-45af-8ddc-787feb17c999,http://www.w3.org/2004/02/skos/core#exactMatch
136,KY,undata_energy,iso_3166_1,one-to-one correspondence,2a389c23-8e75-42ca-af74-d2a6380a8d02,http://www.w3.org/2004/02/skos/core#exactMatch
140,CF,undata_energy,iso_3166_1,one-to-one correspondence,b95e7631-aec7-4a11-afca-98e5bf8133f6,http://www.w3.org/2004/02/skos/core#exactMatch
144,LK,undata_energy,iso_3166_1,one-to-one correspondence,61308f8f-45d6-42ff-af5f-ed0fc67a31d6,http://www.w3.org/2004/02/skos/core#exactMatch
148,TD,undata_energy,iso_3166_1,one-to-one correspondence,11e84c41-9455-45e2-9447-9a51a909e1c6,http://www.w3.org/2004/02/skos/core#exactMatch
152,CL,undata_energy,iso_3166_1,one-to-one correspondence,37227d1a-0330-421a-bd8b-4e1882160ccb,http://www.w3.org/2004/02/skos/core#exactMatch
156,CN,undata_energy,iso_3166_1,one-to-one correspondence,275580a1-7bec-46ba-a246-a05ff91722bd,http://www.w3.org/2004/02/skos/core#exactMatch
170,CO,undata_energy,iso_3166_1,one-to-one correspondence,490b991b-e1d3-4f6f-b708-2cbafe2ca850,http://www.w3.org/2004/02/skos/core#exactMatch
174,KM,undata_energy,iso_3166_1,one-to-one correspondence,dffa4b72-1cc3-4664-8377-993e6e111e3f,http://www.w3.org/2004/02/skos/core#exactMatch
175,YT,undata_energy,iso_3166_1,many-to-one correspondence,b6a86542-7818-4968-b4da-e0a5af43a7d0,http://www.w3.org/2004/02/skos/core#broadMatch
176,YT,undata_energy,iso_3166_1,many-to-one correspondence,824b9132-b92e-4b71-805e-471306474c6f,http://www.w3.org/2004/02/skos/core#broadMatch
178,CG,undata_energy,iso_3166_1,one-to-one correspondence,92f8cab0-3c8d-4639-8da2-0cd8bfe57f29,http://www.w3.org/2004/02/skos/core#exactMatch
180,CD,undata_energy,iso_3166_1,one-to-one correspondence,5ca53409-65f7-4b0c-9385-2354fb81576b,http://www.w3.org/2004/02/skos/core#exactMatch
184,CK,undata_energy,iso_3166_1,one-to-one correspondence,25cdc51e-7ebe-4911-8bb7-af7a22558841,http://www.w3.org/2004/02/skos/core#exactMatch
188,CR,undata_energy,iso_3166_1,one-to-one correspondence,2d9cc078-78a1-4d3f-934c-949c24b2798b,http://www.w3.org/2004/02/skos/core#exactMatch
191,HR,undata_energy,iso_3166_1,many-to-one correspondence,3bb37996-8f03-4e4f-b5b1-ac2b8f151312,http://www.w3.org/2004/02/skos/core#broadMatch
192,CU,undata_energy,iso_3166_1,one-to-one correspondence,14fa18a5-786c-4df6-a460-0eadd4663ba3,http://www.w3.org/2004/02/skos/core#exactMatch
196,CY,undata_energy,iso_3166_1,one-to-one correspondence,ff259ea2-5a7d-458f-8651-fe004810a538,http://www.w3.org/2004/02/skos/core#exactMatch
200,CZ,undata_energy,iso_3166_1,many-to-many correspondence,3e939a14-066a-477f-8ea3-de9802e865ce,http://www.w3.org/2004/02/skos/core#relatedMatch
200,SK,undata_energy,iso_3166_1,many-to-many correspondence,3e939a14-066a-477f-8ea3-de9802e865ce,http://www.w3.org/2004/02/skos/core#relatedMatch
203,CZ,undata_energy,iso_3166_1,many-to-one correspondence,124cc75d-1bc8-4086-b740-f0787323d65f,http://www.w3.org/2004/02/skos/core#broadMatch
204,BJ,undata_energy,iso_3166_1,one-to-one correspondence,299335cb-a9ed-4659-97e9-338301fb27fa,http://www.w3.org/2004/02/skos/core#exactMatch
208,DK,undata_energy,iso_3166_1,one-to-one correspondence,e7bd8245-fc73-4f73-b6ba-6447ec4a0af2,http://www.w3.org/2004/02/skos/core#exactMatch
212,DM,undata_energy,iso_3166_1,one-to-one correspondence,1fa049a5-52a6-4a19-9ce6-484d8f06426a,http://www.w3.org/2004/02/skos/core#exactMatch
214,DO,undata_energy,iso_3166_1,one-to-one correspondence,2a985b45-faf8-485d-adde-a82a467aac88,http://www.w3.org/2004/02/skos/core#exactMatch
218,EC,undata_energy,iso_3166_1,one-to-one correspondence,ac3a2fa6-30e8-4d60-b5cd-c529057ea538,http://www.w3.org/2004/02/skos/core#exactMatch
222,SV,undata_energy,iso_3166_1,one-to-one correspondence,c3369c23-af93-4d11-8c4d-21d405d57044,http://www.w3.org/2004/02/skos/core#exactMatch
226,GQ,undata_energy,iso_3166_1,one-to-one correspondence,9510e668-cd26-4c3b-9870-6687b8f5f551,http://www.w3.org/2004/02/skos/core#exactMatch
230,ET,undata_energy,iso_3166_1,many-to-one correspondence,89ad40ad-2982-4d0f-bc4a-da62df8125a1,http://www.w3.org/2004/02/skos/core#broadMatch
231,ET,undata_energy,iso_3166_1,many-to-one correspondence,de17ea2f-da87-4250-b71c-4edac22d8dbb,http://www.w3.org/2004/02/skos/core#broadMatch
232,ER,undata_energy,iso_3166_1,one-to-one correspondence,547c28f3-bfe3-427d-b153-faefe3acdcd2,http://www.w3.org/2004/02/skos/core#exactMatch
233,EE,undata_energy,iso_3166_1,many-to-one correspondence,f3bb96e6-e385-4097-952c-0185199c701d,http://www.w3.org/2004/02/skos/core#broadMatch
234,FO,undata_energy,iso_3166_1,one-to-one correspondence,2f93da6d-3d9a-4549-b4eb-af2e223c98bd,http://www.w3.org/2004/02/skos/core#exactMatch
238,FK,undata_energy,iso_3166_1,one-to-one correspondence,4ec61373-128d-4ccd-a809-aa3b18051b3d,http://www.w3.org/2004/02/skos/core#exactMatch
242,FJ,undata_energy,iso_3166_1,one-to-one correspondence,7fe195c5-1f24-44d4-8cb8-693dab640f1d,http://www.w3.org/2004/02/skos/core#exactMatch
246,FI,undata_energy,iso_3166_1,one-to-one correspondence,6e787d90-f5d7-4519-9d25-aede620d85c2,http://www.w3.org/2004/02/skos/core#exactMatch
251,FR,undata_energy,iso_3166_1,one-to-one correspondence,6ce467f4-86eb-42e1-a8c8-bd4d362c5014,http://www.w3.org/2004/02/skos/core#exactMatch
254,GF,undata_energy,iso_3166_1,many-to-one correspondence,ce74d7db-ad4f-4a6d-9351-3754f5c4e42b,http://www.w3.org/2004/02/skos/core#broadMatch
255,GF,undata_energy,iso_3166_1,many-to-one correspondence,08592a09-230c-4d6a-92bf-2251777f46c9,http://www.w3.org/2004/02/skos/core#broadMatch
258,PF,undata_energy,iso_3166_1,one-to-one correspondence,542dc796-8fcf-4733-b51e-2c571857facb,http://www.w3.org/2004/02/skos/core#exactMatch
262,DJ,undata_energy,iso_3166_1,one-to-one correspondence,3d35ca28-61ab-4ab7-9d83-8fa8afd6071c,http://www.w3.org/2004/02/skos/core#exactMatch
266,GA,undata_energy,iso_3166_1,one-to-one correspondence,293cc9ac-35f7-48f1-8c70-1161f30509e7,http://www.w3.org/2004/02/skos/core#exactMatch
268,GE,undata_energy,iso_3166_1,many-to-one correspondence,411006bc-00f4-4d27-8bda-4573d8f41ecd,http://www.w3.org/2004/02/skos/core#broadMatch
270,GM,undata_energy,iso_3166_1,one-to-one correspondence,52dcc138-7c68-4ab6-906d-cc26d5647126,http://www.w3.org/2004/02/skos/core#exactMatch
275,PS,undata_energy,iso_3166_1,one-to-one correspondence,b5775c70-c22f-4877-8fa2-15788f7bd1fb,http://www.w3.org/2004/02/skos/core#exactMatch
276,DE,undata_energy,iso_3166_1,many-to-one correspondence,6abceb8b-6524-4718-a230-112838b5276d,http://www.w3.org/2004/02/skos/core#broadMatch
278,DE,undata_energy,iso_3166_1,many-to-one correspondence,d92eb666-eb5f-4dee-9fd6-f87bea0342d0,http://www.w3.org/2004/02/skos/core#broadMatch
280,DE,undata_energy,iso_3166_1,many-to-one correspondence,dfbc4134-60ed-4ed8-a6a8-7bc4286d99df,http://www.w3.org/2004/02/skos/core#broadMatch
288,GH,undata_energy,iso_3166_1,one-to-one correspondence,7b681031-9ff7-4e23-9b7a-8b013b2cefe5,http://www.w3.org/2004/02/skos/core#exactMatch
292,GI,undata_energy,iso_3166_1,one-to-one correspondence,15fb9e79-7596-4144-8fd2-eea5fd3d8dd7,http://www.w3.org/2004/02/skos/core#exactMatch
296,KI,undata_energy,iso_3166_1,one-to-one correspondence,5d1f42bb-e59d-4cd6-9bd5-9a9ad6806c63,http://www.w3.org/2004/02/skos/core#exactMatch
300,GR,undata_energy,iso_3166_1,one-to-one correspondence,1d0cfa31-b4a2-4a2f-b07b-dbb16d3c34d1,http://www.w3.org/2004/02/skos/core#exactMatch
304,GL,undata_energy,iso_3166_1,one-to-one correspondence,b79799be-4a78-4af3-ba18-eb79b975c108,http://www.w3.org/2004/02/skos/core#exactMatch
308,GD,undata_energy,iso_3166_1,one-to-one correspondence,e11cc391-3211-40ca-bde0-227624693adb,http://www.w3.org/2004/02/skos/core#exactMatch
312,GP,undata_energy,iso_3166_1,many-to-one correspondence,c7603dbc-038d-453a-b473-8a38d73ac4be,http://www.w3.org/2004/02/skos/core#broadMatch
313,GP,undata_energy,iso_3166_1,many-to-one correspondence,72b341e2-5b18-4d59-95c0-a87403ede7b5,http://www.w3.org/2004/02/skos/core#broadMatch
316,GU,undata_energy,iso_3166_1,one-to-one correspondence,3b711daa-e636-49b5-a741-fe0c24778eda,http://www.w3.org/2004/02/skos/core#exactMatch
320,GT,undata_energy,iso_3166_1,one-to-one correspondence,e43f676a-3a8b-4601-840a-0ed4bc043193,http://www.w3.org/2004/02/skos/core#exactMatch
324,GN,undata_energy,iso_3166_1,one-to-one correspondence,f8cb7a2b-56e6-4909-947e-832ccd3cc1b0,http://www.w3.org/2004/02/skos/core#exactMatch
328,GY,undata_energy,iso_3166_1,one-to-one correspondence,6f70bc39-4c9c-48f7-81ce-ee40e52be88c,http://www.w3.org/2004/02/skos/core#exactMatch
332,HT,undata_energy,iso_3166_1,one-to-one correspondence,d22e0518-2283-4b38-b4df-95ef5ec83ace,http://www.w3.org/2004/02/skos/core#exactMatch
340,HN,undata_energy,iso_3166_1,one-to-one correspondence,cf8223c8-4775-4fc5-9d92-5dc78550f35b,http://www.w3.org/2004/02/skos/core#exactMatch
344,HK,undata_energy,iso_3166_1,one-to-one correspondence,a3f927c7-6462-4ebc-ae7e-5ddd25b8c73f,http://www.w3.org/2004/02/skos/core#exactMatch
348,HU,undata_energy,iso_3166_1,one-to-one correspondence,d9be0b3b-5c35-4359-9076-cc077d9dabac,http://www.w3.org/2004/02/skos/core#exactMatch
352,IS,undata_energy,iso_3166_1,one-to-one correspondence,d1118e68-bb15-4756-bf96-361a1a696da1,http://www.w3.org/2004/02/skos/core#exactMatch
356,IN,undata_energy,iso_3166_1,one-to-one correspondence,52316195-cdfa-42b5-858a-318d1f0414ed,http://www.w3.org/2004/02/skos/core#exactMatch
360,ID,undata_energy,iso_3166_1,one-to-one correspondence,a6d10568-2bed-4701-9c62-48cb87bc21a2,http://www.w3.org/2004/02/skos/core#exactMatch
364,IR,undata_energy,iso_3166_1,one-to-one correspondence,81aaded2-171b-47bb-a071-5b854f3bd796,http://www.w3.org/2004/02/skos/core#exactMatch
368,IQ,undata_energy,iso_3166_1,one-to-one correspondence,2782eb6c-cbf1-4eca-a4c2-d6e1b6220700,http://www.w3.org/2004/02/skos/core#exactMatch
372,IE,undata_energy,iso_3166_1,one-to-one correspondence,7671e04a-1627-44ec-9e26-2aacf0d2d281,http://www.w3.org/2004/02/skos/core#exactMatch
376,IL,undata_energy,iso_3166_1,one-to-one correspondence,6fdbcaf0-6ae8-4e0a-9de2-86bd83b63956,http://www.w3.org/2004/02/skos/core#exactMatch
382,IT,undata_energy,iso_3166_1,one-to-one correspondence,e5ef20ab-8ca0-44a2-b02b-fba8cd44adf7,http://www.w3.org/2004/02/skos/core#exactMatch
384,CI,undata_energy,iso_3166_1,one-to-one correspondence,28c61b88-0811-4d30-86fe-37a1fa2857fc,http://www.w3.org/2004/02/skos/core#exactMatch
388,JM,undata_energy,iso_3166_1,one-to-one correspondence,0c044249-87be-41d2-b7a6-c91984f66351,http://www.w3.org/2004/02/skos/core#exactMatch
392,JP,undata_energy,iso_3166_1,one-to-one correspondence,b55e9bc8-33e8-4474-89d5-ccd6078cefd0,http://www.w3.org/2004/02/skos/core#exactMatch
398,KZ,undata_energy,iso_3166_1,many-to-one correspondence,debd8692-c886-4f7b-bc28-5b1f677940ad,http://www.w3.org/2004/02/skos/core#broadMatch
400,JO,undata_energy,iso_3166_1,one-to-one correspondence,dae1ccb3-6547-4b51-bc7b-facb810acdf5,http://www.w3.org/2004/02/skos/core#exactMatch
404,KE,undata_energy,iso_3166_1,one-to-one correspondence,ed5a2e62-6f5c-4d31-ab89-adc104fc0678,http://www.w3.org/2004/02/skos/core#exactMatch
408,KP,undata_energy,iso_3166_1,one-to-one correspondence,59d421e3-172e-40e3-8e4b-4cd939e8d724,http://www.w3.org/2004/02/skos/core#exactMatch
410,KR,undata_energy,iso_3166_1,one-to-one correspondence,0bbb560f-9af7-45ba-b61c-fe2d038efcb4,http://www.w3.org/2004/02/skos/core#exactMatch
412,XK,undata_energy,iso_3166_1,many-to-one correspondence,ae9c3da1-490f-4810-8acb-067edf4e8d60,http://www.w3.org/2004/02/skos/core#broadMatch
414,KW,undata_energy,iso_3166_1,one-to-one correspondence,5f10990f-a26f-4c0a-b26e-79b7d221c57a,http://www.w3.org/2004/02/skos/core#exactMatch
417,KG,undata_energy,iso_3166_1,many-to-one correspondence,035c72f4-d08f-4e05-9e43-2176655a57c5,http://www.w3.org/2004/02/skos/core#broadMatch
418,LA,undata_energy,iso_3166_1,one-to-one correspondence,551a00c7-ee5f-4278-998a-2c50c82eabf8,http://www.w3.org/2004/02/skos/core#exactMatch
422,LB,undata_energy,iso_3166_1,one-to-one correspondence,176738f8-b2fc-49b4-a83b-43545da71b3e,http://www.w3.org/2004/02/skos/core#exactMatch
426,LS,undata_energy,iso_3166_1,one-to-one correspondence,5802fe7b-e124-41df-80ba-b91dcd23e93e,http://www.w3.org/2004/02/skos/core#exactMatch
428,LV,undata_energy,iso_3166_1,many-to-one correspondence,d18a9d18-49b0-47ae-b6f0-db678e277526,http://www.w3.org/2004/02/skos/core#broadMatch
430,LR,undata_energy,iso_3166_1,one-to-one correspondence,e51f0a41-9d7b-4438-940c-db044de92127,http://www.w3.org/2004/02/skos/core#exactMatch
434,LY,undata_energy,iso_3166_1,one-to-one correspondence,41d50b0e-5477-421d-ae43-e3dddd9b488a,http://www.w3.org/2004/02/skos/core#exactMatch
438,LI,undata_energy,iso_3166_1,one-to-one correspondence,345c30ad-9e38-4b81-9da3-9bface0cc020,http://www.w3.org/2004/02/skos/core#exactMatch
440,LT,undata_energy,iso_3166_1,many-to-one correspondence,bceeb108-4da1-4233-a0a8-a45bef0cbfef,http://www.w3.org/2004/02/skos/core#broadMatch
442,LU,undata_energy,iso_3166_1,one-to-one correspondence,94b4de8a-1dd5-48b2-9aa3-81371d72c54a,http://www.w3.org/2004/02/skos/core#exactMatch
446,MO,undata_energy,iso_3166_1,one-to-one correspondence,e9fb1c53-81a6-41f5-acea-48b96c8a8be7,http://www.w3.org/2004/02/skos/core#exactMatch
450,MG,undata_energy,iso_3166_1,one-to-one correspondence,07fb2e48-e00a-4737-90d0-a68835d3e0e8,http://www.w3.org/2004/02/skos/core#exactMatch
454,MW,undata_energy,iso_3166_1,one-to-one correspondence,d0610924-5e36-480d-9e78-10816d3bbb29,http://www.w3.org/2004/02/skos/core#exactMatch
458,MY,undata_energy,iso_3166_1,one-to-one correspondence,8afd96c1-fbd7-468f-bec1-ffde35284bdd,http://www.w3.org/2004/02/skos/core#exactMatch
462,MV,undata_energy,iso_3166_1,one-to-one correspondence,dd06690f-6d68-4af5-b447-613de2fdd224,http://www.w3.org/2004/02/skos/core#exactMatch
466,ML,undata_energy,iso_3166_1,one-to-one correspondence,9a0f4ec3-eb1d-4e2c-95ff-01a2cd0a3bce,http://www.w3.org/2004/02/skos/core#exactMatch
470,MT,undata_energy,iso_3166_1,one-to-one correspondence,e54976eb-6ec4-4755-8cde-a517e578251d,http://www.w3.org/2004/02/skos/core#exactMatch
474,MQ,undata_energy,iso_3166_1,many-to-one correspondence,db4f7294-fc0c-457b-a48f-f1bdedc97dbd,http://www.w3.org/2004/02/skos/core#broadMatch
475,MQ,undata_energy,iso_3166_1,many-to-one correspondence,5c8ce7c1-bdc9-498a-b7f3-16d92af4ee8f,http://www.w3.org/2004/02/skos/core#broadMatch
478,MR,undata_energy,iso_3166_1,one-to-one correspondence,82378d5e-7176-4253-bad2-cd1062714533,http://www.w3.org/2004/02/skos/core#exactMatch
480,MU,undata_energy,iso_3166_1,one-to-one correspondence,4889ab17-d066-480d-91ed-d0fae9a8e8cd,http://www.w3.org/2004/02/skos/core#exactMatch
484,MX,undata_energy,iso_3166_1,one-to-one correspondence,f0815bfc-83c2-44e2-84a7-42a2f146124e,http://www.w3.org/2004/02/skos/core#exactMatch
496,MN,undata_energy,iso_3166_1,one-to-one correspondence,20412b6f-ae3e-411f-90bd-b6e8a43c9093,http://www.w3.org/2004/02/skos/core#exactMatch
498,MD,undata_energy,iso_3166_1,many-to-one correspondence,0cf46d03-fa4d-4b3c-b3ab-7910e98f03f0,http://www.w3.org/2004/02/skos/core#broadMatch
499,ME,undata_energy,iso_3166_1,many-to-one correspondence,6099ab48-0c12-4d5a-bf63-063fcc7b796a,http://www.w3.org/2004/02/skos/core#broadMatch
500,MS,undata_energy,iso_3166_1,one-to-one correspondence,70d0f707-cf55-433c-9e0f-7d7eaab3e393,http://www.w3.org/2004/02/skos/core#exactMatch
504,MA,undata_energy,iso_3166_1,one-to-one correspondence,2c8f3532-a225-4295-a2dd-a1dea894cda9,http://www.w3.org/2004/02/skos/core#exactMatch
508,MZ,undata_energy,iso_3166_1,one-to-one correspondence,ec3560b0-8c4f-4c22-a98a-9ec7a4e84082,http://www.w3.org/2004/02/skos/core#exactMatch
512,OM,undata_energy,iso_3166_1,one-to-one correspondence,10795f13-133e-405e-9a6f-554b9a4fbe4a,http://www.w3.org/2004/02/skos/core#exactMatch
516,NA,undata_energy,iso_3166_1,one-to-one correspondence,d35acae8-f5e0-4b5c-9638-65953cde9ce9,http://www.w3.org/2004/02/skos/core#exactMatch
520,NR,undata_energy,iso_3166_1,one-to-one correspondence,65b670be-24ed-4178-9945-2be3d00d8ed1,http://www.w3.org/2004/02/skos/core#exactMatch
524,NP,undata_energy,iso_3166_1,one-to-one correspondence,57a7c564-0f57-497c-b55e-0b0070f6df6b,http://www.w3.org/2004/02/skos/core#exactMatch
528,NL,undata_energy,iso_3166_1,one-to-one correspondence,042ea258-3cd9-416c-856a-657284209177,http://www.w3.org/2004/02/skos/core#exactMatch
531,CW,undata_energy,iso_3166_1,one-to-one correspondence,261c5e9e-3dd3-4ce0-887b-f6b0dc230c32,http://www.w3.org/2004/02/skos/core#exactMatch
533,AW,undata_energy,iso_3166_1,one-to-one correspondence,31e6dfbf-ddea-4971-bd31-5fae7fce6e7a,http://www.w3.org/2004/02/skos/core#exactMatch
534,SX,undata_energy,iso_3166_1,one-to-one correspondence,7c9ac4fb-2882-4022-9f0f-605d18423704,http://www.w3.org/2004/02/skos/core#exactMatch
535,BQ,undata_energy,iso_3166_1,one-to-one correspondence,0ad207c7-9741-4688-9785-2ed0891b2f3f,http://www.w3.org/2004/02/skos/core#exactMatch
540,NC,undata_energy,iso_3166_1,one-to-one correspondence,ff066c02-cd98-4951-97bb-b504be959bf5,http://www.w3.org/2004/02/skos/core#exactMatch
548,VU,undata_energy,iso_3166_1,one-to-one correspondence,c4fed8e6-e503-46ad-8c75-22192bb9a46b,http://www.w3.org/2004/02/skos/core#exactMatch
554,NZ,undata_energy,iso_3166_1,one-to-one correspondence,e42ec4df-5a0e-4c0e-9910-294a8af281c3,http://www.w3.org/2004/02/skos/core#exactMatch
558,NI,undata_energy,iso_3166_1,one-to-one correspondence,816c7aee-0a86-44b7-b6b8-d4adb8da1579,http://www.w3.org/2004/02/skos/core#exactMatch
562,NE,undata_energy,iso_3166_1,one-to-one correspondence,38c1bcdc-b650-4209-af84-3071f8b23129,http://www.w3.org/2004/02/skos/core#exactMatch
566,NG,undata_energy,iso_3166_1,one-to-one correspondence,6af0533b-3394-4c8d-a0a1-5f3cfd8005db,http://www.w3.org/2004/02/skos/core#exactMatch
570,NU,undata_energy,iso_3166_1,one-to-one correspondence,a59c5c9d-2bff-41d0-8ce4-48a0c30d3114,http://www.w3.org/2004/02/skos/core#exactMatch
579,NO,undata_energy,iso_3166_1,one-to-one correspondence,b7823a65-d029-45b6-93c7-f62be82e4941,http://www.w3.org/2004/02/skos/core#exactMatch
580,MP,undata_energy,iso_3166_1,one-to-one correspondence,486e4e22-b2ae-4b7f-b136-ab29ee36cea6,http://www.w3.org/2004/02/skos/core#exactMatch
583,FM,undata_energy,iso_3166_1,one-to-one correspondence,1d813deb-6d1b-422e-955d-7d37ab7c0908,http://www.w3.org/2004/02/skos/core#exactMatch
584,MH,undata_energy,iso_3166_1,one-to-one correspondence,b92eb86c-231a-4608-a72b-e478eccd889f,http://www.w3.org/2004/02/skos/core#exactMatch
